,time,mean,median,sd
0,601.0,238.66666666666666,240.0,16.35712552851373
0,910.0,453.0,538.0,164.57824886661055
0,964.0,507.0,592.0,164.57824886661055
0,979.0,522.0,607.0,164.57824886661055
0,1074.0,508.6,691.0,262.051597972613
0,1242.0,576.8333333333334,680.0,327.09754746184745
0,1257.0,591.8333333333334,695.0,327.09754746184745
0,1331.0,579.7142857142857,590.0,369.06240830581726
0,1352.0,600.7142857142857,611.0,369.06240830581726
0,1453.0,701.7142857142857,712.0,369.06240830581726
0,1456.0,704.7142857142857,715.0,369.06240830581726
0,1511.0,759.7142857142857,770.0,369.06240830581726
0,1544.0,792.7142857142857,803.0,369.06240830581726
0,1560.0,743.6666666666666,690.0,359.5690321605698
0,1580.0,763.6666666666666,710.0,359.5690321605698
0,1730.0,716.375,648.5,462.4224090320451
0,1747.0,733.375,665.5,462.4224090320451
0,1801.0,787.375,719.5,462.4224090320451
0,1847.0,742.8888888888889,683.0,505.54622702016184
0,1856.0,751.8888888888889,692.0,505.54622702016184
0,1934.0,829.8888888888889,770.0,505.54622702016184
0,2010.0,905.8888888888889,846.0,505.54622702016184
0,2016.0,911.8888888888889,852.0,505.54622702016184
0,2024.0,919.8888888888889,860.0,505.54622702016184
0,2032.0,927.8888888888889,868.0,505.54622702016184
0,2038.0,933.8888888888889,874.0,505.54622702016184
0,2089.0,984.8888888888889,925.0,505.54622702016184
0,2097.0,992.8888888888889,933.0,505.54622702016184
0,2112.0,1015.375,978.5,535.7422275451133
0,2117.0,1020.375,983.5,535.7422275451133
0,2166.0,1069.375,1032.5,535.7422275451133
0,2222.0,1081.5,913.0,540.3038496994076
0,2231.0,1090.5,922.0,540.3038496994076
0,2234.0,1093.5,925.0,540.3038496994076
0,2327.0,1186.5,1018.0,540.3038496994076
0,2384.0,1243.5,1075.0,540.3038496994076
0,2407.0,1127.0,1057.0,644.3397999330615
0,2410.0,1130.0,1060.0,644.3397999330615
0,2429.0,1081.625,961.0,652.8521918282881
0,2434.0,1086.625,966.0,652.8521918282881
0,2457.0,1109.625,989.0,652.8521918282881
0,2528.0,1180.625,1060.0,652.8521918282881
0,2531.0,1183.625,1063.0,652.8521918282881
0,2572.0,1224.625,1104.0,652.8521918282881
0,2593.0,1245.625,1125.0,652.8521918282881
0,2606.0,1258.625,1138.0,652.8521918282881
