,time,mean,median,sd
0,283.0,153.0,168.0,104.75208828467335
0,310.0,163.5,166.5,119.0892522438528
0,601.0,267.64285714285717,231.0,153.77051879011006
0,657.0,294.26666666666665,279.0,176.75047068929942
0,885.0,464.70588235294116,499.0,219.44147409647343
0,913.0,485.875,519.0,224.43481096968893
0,967.0,556.4,581.0,222.17074514886068
0,982.0,559.4285714285714,588.0,225.2461238879165
0,1168.0,502.6190476190476,533.0,348.0452182158268
0,1201.0,538.45,575.0,356.40419119308905
0,1222.0,557.0526315789474,587.0,365.5057741187236
0,1257.0,580.421052631579,622.0,379.7319436529812
0,1333.0,676.7222222222222,759.5,379.9692685754052
0,1418.0,740.1666666666666,844.5,408.6128635055708
0,1489.0,794.9411764705883,854.0,414.78562437342407
0,1510.0,788.7647058823529,875.0,450.5475791825614
0,1517.0,795.7647058823529,882.0,450.5475791825614
0,1540.0,836.6875,966.5,458.49682642713026
0,1544.0,840.6875,970.5,458.49682642713026
0,1677.0,763.8421052631579,650.0,549.3683706295799
0,1746.0,785.2105263157895,675.0,576.8197364083941
0,1801.0,849.8888888888889,752.0,591.1224622970258
0,1824.0,856.5555555555555,775.0,610.0431881088622
0,1856.0,888.5555555555555,807.0,610.0431881088622
0,1934.0,922.5882352941177,863.0,623.2372845094942
0,2013.0,853.0,702.0,674.3519852421285
0,2031.0,895.4736842105264,794.0,683.1585597271924
0,2060.0,924.4736842105264,823.0,683.1585597271924
0,2093.0,1003.5555555555555,939.0,672.5224673836573
0,2144.0,1054.5555555555557,990.0,672.5224673836574
0,2277.0,846.1304347826087,662.0,722.9723251873253
0,2310.0,866.3478260869565,695.0,735.2053016258467
0,2346.0,864.8333333333334,723.0,741.8717132287017
0,2361.0,875.8333333333334,738.0,746.2950526136129
0,2367.0,814.2083333333334,650.5,705.1568962038796
0,2401.0,862.8260869565217,770.0,716.7547426132604
0,2457.0,869.3333333333334,740.5,735.9977732454239
0,2465.0,910.6521739130435,834.0,733.8944722562758
0,2560.0,884.0,682.5,764.9023567649765
0,2562.0,886.0,684.5,764.9023567649765
0,2564.0,888.0,686.5,764.9023567649765
0,2647.0,910.3076923076923,680.5,776.8067163433983
0,2657.0,954.52,704.0,772.7440000414109
0,2661.0,958.52,708.0,772.7440000414109
0,2678.0,999.2916666666666,800.5,779.670789455752
0,2684.0,965.2,731.0,788.7631330126935
0,2703.0,1017.1666666666666,825.5,787.9721159759117
0,2712.0,1011.125,834.5,803.6813377877661
0,2723.0,1047.391304347826,921.0,811.5819088095757
0,2764.0,972.4166666666666,797.5,833.7796429846171
0,2767.0,975.4166666666666,800.5,833.7796429846171
0,2769.0,1017.1304347826087,816.0,829.1933903734047
0,2776.0,1066.3636363636363,898.5,823.2804418607387
0,2779.0,1069.3636363636363,901.5,823.2804418607387
0,2825.0,1000.5,858.5,863.652080797972
0,2835.0,1040.695652173913,882.0,869.7370134642954
0,2864.0,985.6,884.0,881.6237746340555
0,2871.0,992.6,891.0,881.6237746340555
0,2929.0,1031.04,949.0,898.8565393876822
0,2982.0,943.074074074074,537.0,913.3293968254959
0,2997.0,924.0357142857143,540.0,914.1450917247711
0,3001.0,928.0357142857143,544.0,914.1450917247711
0,3057.0,998.7037037037037,612.0,927.6785368671955
0,3072.0,1047.8076923076924,737.5,928.5923598167601
0,3077.0,1052.8076923076924,742.5,928.5923598167601
0,3112.0,1095.8,667.0,946.1048144893886
0,3128.0,1129.6666666666667,847.5,961.4729874289529
0,3141.0,1142.6666666666667,860.5,961.4729874289529
0,3181.0,1029.64,444.0,939.5629571242154
0,3182.0,1030.64,445.0,939.5629571242154
0,3220.0,1131.3478260869565,483.0,950.262920536968
0,3236.0,1186.7727272727273,877.5,953.0454502096369
0,3239.0,1189.7727272727273,880.5,953.0454502096369
0,3248.0,1270.6,1281.5,970.7118212940441
0,3258.0,1280.6,1291.5,970.7118212940441
0,3274.0,1342.6842105263158,1321.0,974.3716492198058
0,3283.0,1351.6842105263158,1330.0,974.3716492198058
0,3292.0,1411.0555555555557,1414.5,976.6966703140075
0,3297.0,1470.1764705882354,1495.0,978.4308707610013
0,3311.0,1475.7058823529412,1509.0,990.4935647090817
0,3346.0,1567.8125,1629.5,993.4561023738039
0,3361.0,1490.4117647058824,1559.0,1032.233105161331
0,3374.0,1503.4117647058824,1572.0,1032.233105161331
0,3396.0,1497.7058823529412,1594.0,1065.7253682603382
0,3398.0,1499.7058823529412,1596.0,1065.7253682603382
0,3411.0,1485.0,1609.0,1098.0274827804524
0,3417.0,1408.5,1539.5,1119.9952008825753
0,3429.0,1420.5,1551.5,1119.9952008825753
0,3435.0,1426.5,1557.5,1119.9952008825753
0,3488.0,1457.2941176470588,1535.0,1148.6083018774802
0,3516.0,1455.5882352941176,1563.0,1179.208311628837
0,3520.0,1459.5882352941176,1567.0,1179.208311628837
0,3593.0,1219.6842105263158,788.0,1182.2494639516021
0,3594.0,1220.6842105263158,789.0,1182.2494639516021
0,3601.0,1227.6842105263158,796.0,1182.2494639516021
0,3621.0,1231.9473684210527,816.0,1196.4510007643091
0,3626.0,1236.9473684210527,821.0,1196.4510007643091
0,3636.0,1200.1176470588234,831.0,1128.265033650857
0,3662.0,1158.4444444444443,585.0,1131.4216829685374
0,3676.0,1172.4444444444443,599.0,1131.4216829685374
0,3704.0,1189.4444444444443,627.0,1141.940367299946
0,3720.0,1205.4444444444443,643.0,1141.940367299946
0,3757.0,1169.0526315789473,408.0,1153.01939882728
0,3772.0,1080.6315789473683,384.0,1165.938754847527
0,3780.0,1137.111111111111,411.5,1179.1018186591996
0,3819.0,1091.5263157894738,410.0,1193.540701946195
0,3844.0,1153.2222222222222,434.0,1215.769420552523
0,3849.0,1219.7058823529412,440.0,1223.5185887530363
0,3850.0,1220.7058823529412,441.0,1223.5185887530363
0,3883.0,1184.611111111111,473.0,1222.6981156846384
0,3885.0,1186.611111111111,475.0,1222.6981156846384
0,3891.0,1388.4,1086.0,1247.5113252658941
0,3922.0,1380.142857142857,814.0,1282.31464030272
0,3974.0,1186.0,414.0,1279.4178363615226
0,3982.0,1250.6875,496.5,1297.9167307049208
0,4014.0,1173.235294117647,360.0,1317.6339547667726
0,4027.0,1186.235294117647,373.0,1317.6339547667726
0,4038.0,1197.235294117647,384.0,1317.6339547667726
0,4070.0,1199.7058823529412,303.0,1338.8757252308583
0,4107.0,1294.125,396.5,1359.623747356231
0,4119.0,1224.4666666666667,352.0,1365.6961041494146
0,4126.0,1154.75,337.5,1355.299667047845
0,4156.0,1153.9375,290.0,1375.9188960813606
0,4165.0,1162.9375,299.0,1375.9188960813606
