,time,mean,median,sd
0,601.0,298.65,268.5,179.53363890925846
0,608.0,309.7894736842105,279.0,183.26500195571512
0,640.0,310.65,295.5,203.8865554665143
0,733.0,358.6363636363636,376.0,228.81603278508288
0,853.0,429.125,462.0,265.1850474197216
0,888.0,470.7826086956522,527.0,268.91795362991115
0,901.0,493.09090909090907,544.0,271.3137916762047
0,903.0,514.4285714285714,550.0,262.46842375681643
0,916.0,533.9,571.5,267.3101008192545
0,974.0,527.4545454545455,617.0,319.5204826657834
0,1032.0,542.4090909090909,641.0,325.9798737639696
0,1190.0,692.8181818181819,799.0,339.2197780956171
0,1198.0,723.1904761904761,837.0,330.96548792134104
0,1220.0,763.75,863.0,328.3009099896009
0,1224.0,767.75,867.0,328.3009099896009
0,1266.0,754.8095238095239,905.0,390.45621900146006
0,1301.0,827.15,944.0,361.6605141565775
0,1371.0,774.0909090909091,874.5,450.53613608383887
0,1476.0,875.2727272727273,979.5,456.8244323407748
0,1477.0,876.2727272727273,980.5,456.8244323407748
0,1483.0,855.75,986.5,461.8049236420071
0,1528.0,892.1,1031.5,476.64346213915485
0,1556.0,876.4761904761905,984.0,504.41173837853825
0,1590.0,945.9,1093.5,490.71477458906816
0,1631.0,984.75,1134.5,494.76538631961716
0,1683.0,1073.1052631578948,1262.0,480.87681919121144
0,1750.0,1013.55,1138.0,564.3587932335245
0,1759.0,1022.55,1147.0,564.3587932335245
0,1788.0,1001.952380952381,1136.0,593.7445720004903
0,1863.0,1066.7142857142858,1211.0,609.2563103494952
0,1887.0,1099.15,1275.0,623.1039459833327
0,1899.0,1164.9473684210527,1327.0,592.2921997304167
0,1931.0,1137.3,1319.0,633.1413033438903
0,1961.0,1215.7368421052631,1389.0,612.4080890958477
0,2012.0,1083.5454545454545,1348.5,728.9476055041597
0,2087.0,1156.0454545454545,1423.5,732.7370530026274
0,2095.0,1218.047619047619,1443.0,705.9130849096875
0,2116.0,1293.95,1504.0,678.1808368717006
0,2150.0,1148.2608695652175,1475.0,782.8041688249231
0,2157.0,1048.0416666666667,1122.0,775.263045637128
0,2158.0,1031.8333333333333,1123.0,787.4189729038086
0,2162.0,1068.4347826086957,1326.0,788.3386949278876
0,2279.0,1050.8461538461538,1044.5,829.7525902018899
0,2312.0,1072.8846153846155,1077.5,841.7387374185686
0,2352.0,1110.6153846153845,1117.5,844.5760919822021
0,2369.0,1118.8076923076924,1134.5,854.9071483199334
0,2378.0,1036.923076923077,999.0,843.3330815226761
0,2382.0,1025.9615384615386,1003.0,857.8086338845419
0,2401.0,1034.1923076923076,1022.0,869.28781722258
0,2411.0,1078.0,1176.0,869.5808185556994
0,2427.0,1082.72,1192.0,881.5922195663934
0,2456.0,1069.1923076923076,1077.0,890.2401153721121
0,2468.0,1123.72,1233.0,881.5922195663934
0,2471.0,1083.4615384615386,1092.0,891.1199190115613
0,2522.0,1213.25,1287.5,882.7333142952443
0,2572.0,1078.0,921.5,900.2803836754243
0,2577.0,997.5,627.0,893.3924217446493
0,2584.0,989.3461538461538,634.0,906.7924850519801
0,2587.0,992.3461538461538,637.0,906.7924850519801
0,2608.0,1046.04,830.0,909.6001530342878
0,2642.0,1122.2916666666667,991.5,904.0001142683678
0,2652.0,1176.391304347826,1129.0,897.815500516595
0,2673.0,1184.9565217391305,1150.0,911.9718473086511
0,2680.0,1239.2272727272727,1301.0,904.4903603596176
0,2732.0,1052.5555555555557,610.0,957.6520799188186
0,2766.0,1110.0384615384614,816.0,968.2362426585948
0,2771.0,1156.68,993.0,964.3112659302492
0,2776.0,1161.68,998.0,964.3112659302492
0,2803.0,1143.1538461538462,853.0,972.5979362316838
0,2814.0,1154.1538461538462,864.0,972.5979362316838
0,2841.0,1137.7407407407406,719.0,979.7519184331946
0,2844.0,1140.7407407407406,722.0,979.7519184331946
0,2875.0,1166.148148148148,753.0,985.9340261792632
0,2883.0,1126.7857142857142,660.0,998.0925149340351
0,2901.0,1185.962962962963,779.0,992.7782745064285
0,2938.0,1238.6153846153845,887.0,1008.4154774436622
0,2941.0,1241.6153846153845,890.0,1008.4154774436622
0,2953.0,1152.3846153846155,608.0,996.1947244359824
0,2965.0,1201.16,641.0,998.4672926040191
0,2981.0,1257.4583333333333,930.0,998.9379768520276
0,3001.0,1218.92,677.0,1018.4201851888052
0,3002.0,1265.5833333333333,951.0,1014.035005833406
0,3007.0,1270.5833333333333,956.0,1014.035005833406
0,3008.0,1271.5833333333333,957.0,1014.035005833406
0,3057.0,1062.4074074074074,672.0,1019.134464259465
0,3068.0,1066.8148148148148,683.0,1025.4035894524666
0,3074.0,1112.1923076923076,698.5,1024.7083269523303
0,3086.0,1159.0,720.0,1029.8190520669152
0,3090.0,1163.0,724.0,1029.8190520669152
0,3097.0,1135.36,712.0,1056.4529286248396
0,3119.0,1111.0,692.0,1061.406722594704
0,3132.0,1066.56,663.0,1042.0481785407046
0,3136.0,1070.56,667.0,1042.0481785407046
0,3141.0,1067.88,672.0,1049.1854104971153
0,3160.0,1045.2307692307693,649.0,1049.6753823368554
0,3161.0,1046.2307692307693,650.0,1049.6753823368554
0,3184.0,1104.12,715.0,1055.5768212688265
0,3194.0,1153.0,767.0,1059.6593005930413
0,3214.0,1083.923076923077,703.0,1063.8228569672292
0,3227.0,1135.56,758.0,1066.8527201071383
0,3253.0,1207.6666666666667,826.0,1064.1677760370098
0,3258.0,1085.36,705.0,1032.068132634663
0,3274.0,1110.8333333333333,763.0,1058.012589192061
0,3281.0,1156.7826086956522,812.0,1063.7907180791979
0,3285.0,1160.7826086956522,816.0,1063.7907180791979
0,3286.0,1161.7826086956522,817.0,1063.7907180791979
0,3292.0,1316.95,916.5,1063.3423942926381
0,3314.0,1394.157894736842,948.0,1062.661369202611
0,3315.0,1395.157894736842,949.0,1062.661369202611
0,3378.0,1366.75,1002.5,1104.2550826235758
0,3383.0,1371.75,1007.5,1104.2550826235758
0,3399.0,1139.0,888.0,1106.6676022266947
0,3409.0,1199.6666666666667,940.0,1107.5000734530054
0,3426.0,1149.1363636363637,915.0,1122.2724225854736
0,3432.0,1155.1363636363637,921.0,1122.2724225854736
0,3476.0,1142.8695652173913,923.0,1128.417834436218
0,3481.0,1195.1363636363637,970.0,1131.291229101208
0,3483.0,1197.1363636363637,972.0,1131.291229101208
0,3493.0,1253.1904761904761,1024.0,1137.5860666151445
0,3504.0,1206.909090909091,993.0,1142.0085539040776
0,3515.0,1217.909090909091,1004.0,1142.0085539040776
0,3552.0,1301.047619047619,1083.0,1148.6751986606746
0,3570.0,1377.45,1143.0,1146.2110833088293
0,3580.0,1387.45,1153.0,1146.2110833088293
0,3586.0,1412.421052631579,1201.0,1172.9233526261355
0,3596.0,1342.15,1169.0,1194.051224822453
0,3602.0,1411.0,1217.0,1192.3907872311343
0,3642.0,1437.6842105263158,1257.0,1206.9957507722518
0,3657.0,1443.4736842105262,1272.0,1217.258324372788
0,3685.0,1394.5,1258.0,1232.686963506956
0,3716.0,1357.8095238095239,1247.0,1240.4834548731633
0,3729.0,1438.5,1302.0,1232.686963506956
0,3731.0,1440.5,1304.0,1232.686963506956
0,3734.0,1443.5,1307.0,1232.686963506956
0,3735.0,1444.5,1308.0,1232.686963506956
0,3759.0,1535.5263157894738,1374.0,1229.0549372510422
0,3773.0,1620.4444444444443,1397.5,1224.3115172855414
0,3784.0,1611.2777777777778,1408.5,1247.6740050347712
0,3788.0,1703.2941176470588,1422.0,1228.338991565721
0,3800.0,1620.3333333333333,1424.5,1256.300875144521
0,3818.0,1459.9,1391.0,1302.375095738551
0,3838.0,1547.3684210526317,1453.0,1301.6965128763113
0,3856.0,1487.2,1429.0,1313.692833199603
0,3859.0,1490.2,1432.0,1313.692833199603
0,3868.0,1363.5,1343.5,1324.0257052571972
0,3871.0,1366.5,1346.5,1324.0257052571972
0,3892.0,1387.5,1367.5,1324.0257052571972
0,3901.0,1448.1904761904761,1432.0,1333.3193315591343
0,3912.0,1526.8,1485.0,1330.6522686261803
0,3960.0,1567.65,1533.0,1338.4674921341946
0,3984.0,1591.65,1557.0,1338.4674921341946
0,3997.0,1598.05,1570.0,1345.9630929189702
0,4006.0,1599.95,1579.0,1354.001974703139
0,4014.0,1684.6315789473683,1629.0,1346.1837369912073
0,4018.0,1770.0,1642.5,1336.822143908622
0,4023.0,1598.5,1596.0,1292.9619849185221
0,4032.0,1676.5294117647059,1647.0,1297.8127354105336
0,4034.0,1678.5294117647059,1649.0,1297.8127354105336
0,4038.0,1769.9375,1662.5,1288.2953110967028
0,4056.0,1682.8823529411766,1671.0,1318.5827455064791
0,4065.0,1691.8823529411766,1680.0,1318.5827455064791
0,4107.0,1624.0,1680.0,1356.1197914966394
0,4114.0,1589.5294117647059,1645.0,1384.299233107498
0,4121.0,1596.5294117647059,1652.0,1384.299233107498
0,4134.0,1605.8823529411766,1665.0,1388.4338566869014
0,4161.0,1618.764705882353,1692.0,1403.6415048182505
0,4196.0,1563.5,1671.5,1413.9535294108266
0,4200.0,1567.5,1675.5,1413.9535294108266
0,4201.0,1568.5,1676.5,1413.9535294108266
0,4211.0,1649.9411764705883,1742.0,1424.3503563787467
0,4213.0,1651.9411764705883,1744.0,1424.3503563787467
0,4234.0,1573.388888888889,1709.5,1443.1267804046142
0,4265.0,1445.55,1123.5,1449.6281066190736
0,4274.0,1311.7894736842106,571.0,1343.2838230853824
0,4277.0,1249.2,432.5,1340.122554097199
0,4296.0,1261.8,451.5,1345.8031282472186
0,4310.0,1325.8947368421052,607.0,1362.4690781517456
0,4346.0,1234.904761904762,217.0,1353.7858346754115
0,4390.0,1170.8695652173913,223.0,1340.119310209156
0,4398.0,1178.8695652173913,231.0,1340.119310209156
0,4400.0,1180.8695652173913,233.0,1340.119310209156
0,4402.0,1182.8695652173913,235.0,1340.119310209156
0,4416.0,1342.55,481.0,1379.2435055130763
0,4420.0,1346.55,485.0,1379.2435055130763
0,4431.0,1266.6842105263158,264.0,1375.1670540675404
0,4435.0,1207.3,247.0,1368.5261451649362
0,4436.0,1208.3,248.0,1368.5261451649362
0,4439.0,1211.3,251.0,1368.5261451649362
0,4440.0,1212.3,252.0,1368.5261451649362
0,4444.0,1274.0526315789473,277.0,1380.118929798375
0,4452.0,1217.3,264.0,1374.4561870063374
0,4453.0,1218.3,265.0,1374.4561870063374
0,4454.0,1219.3,266.0,1374.4561870063374
0,4484.0,1129.090909090909,255.5,1363.7035771314056
0,4486.0,1131.090909090909,257.5,1363.7035771314056
0,4489.0,1174.7619047619048,241.0,1382.6977738417202
0,4491.0,1176.7619047619048,243.0,1382.6977738417202
0,4500.0,1231.25,292.5,1401.8249846182655
