,time,mean,median,sd
0,601.0,347.4,265.0,149.79399186883296
0,608.0,354.4,272.0,149.79399186883296
0,640.0,386.4,304.0,149.79399186883296
0,733.0,479.4,397.0,149.79399186883296
0,853.0,599.4,517.0,149.79399186883296
0,888.0,634.4,552.0,149.79399186883296
0,901.0,647.4,565.0,149.79399186883296
0,903.0,649.4,567.0,149.79399186883296
0,916.0,662.4,580.0,149.79399186883296
0,974.0,720.4,638.0,149.79399186883296
0,1032.0,778.4,696.0,149.79399186883296
0,1190.0,936.4,854.0,149.79399186883296
0,1198.0,944.4,862.0,149.79399186883296
0,1220.0,966.4,884.0,149.79399186883296
0,1224.0,970.4,888.0,149.79399186883296
0,1266.0,1012.4,930.0,149.79399186883296
0,1301.0,1047.4,965.0,149.79399186883296
0,1371.0,1138.0,1137.0,161.01552720157147
0,1476.0,1243.0,1242.0,161.01552720157147
0,1477.0,1244.0,1243.0,161.01552720157147
0,1483.0,1186.6666666666667,1122.0,136.10126948546642
0,1528.0,925.0,1137.0,544.0827142999491
0,1556.0,953.0,1165.0,544.0827142999491
0,1590.0,987.0,1199.0,544.0827142999491
0,1631.0,1028.0,1240.0,544.0827142999491
0,1683.0,1080.0,1292.0,544.0827142999491
0,1750.0,1147.0,1359.0,544.0827142999491
0,1759.0,1156.0,1368.0,544.0827142999491
0,1788.0,950.0,1367.0,676.5506632913754
0,1863.0,1025.0,1442.0,676.5506632913754
0,1887.0,1049.0,1466.0,676.5506632913754
0,1899.0,1061.0,1478.0,676.5506632913754
0,1931.0,1093.0,1510.0,676.5506632913754
0,1961.0,1123.0,1540.0,676.5506632913754
0,2012.0,984.1666666666666,1040.0,749.4114171950025
0,2087.0,1059.1666666666667,1115.0,749.4114171950025
0,2095.0,1067.1666666666667,1123.0,749.4114171950025
0,2116.0,1088.1666666666667,1144.0,749.4114171950025
0,2150.0,1122.1666666666667,1178.0,749.4114171950025
0,2157.0,1129.1666666666667,1185.0,749.4114171950025
0,2158.0,1130.1666666666667,1186.0,749.4114171950025
0,2162.0,1134.1666666666667,1190.0,749.4114171950025
0,2279.0,1251.1666666666667,1307.0,749.4114171950025
0,2312.0,1284.1666666666667,1340.0,749.4114171950025
0,2352.0,1324.1666666666667,1380.0,749.4114171950025
0,2369.0,1341.1666666666667,1397.0,749.4114171950025
0,2378.0,1350.1666666666667,1406.0,749.4114171950025
0,2382.0,1289.3333333333333,1410.0,840.0652091091237
0,2401.0,1308.3333333333333,1429.0,840.0652091091237
0,2411.0,1318.3333333333333,1439.0,840.0652091091237
0,2427.0,1334.3333333333333,1455.0,840.0652091091237
0,2456.0,1363.3333333333333,1484.0,840.0652091091237
0,2468.0,1375.3333333333333,1496.0,840.0652091091237
0,2471.0,1181.7142857142858,948.0,914.7940774194118
0,2522.0,1232.7142857142858,999.0,914.7940774194118
0,2572.0,1282.7142857142858,1049.0,914.7940774194118
0,2577.0,1287.7142857142858,1054.0,914.7940774194118
0,2584.0,1294.7142857142858,1061.0,914.7940774194118
0,2587.0,1297.7142857142858,1064.0,914.7940774194118
0,2608.0,1318.7142857142858,1085.0,914.7940774194118
0,2642.0,1352.7142857142858,1119.0,914.7940774194118
0,2652.0,1362.7142857142858,1129.0,914.7940774194118
0,2673.0,1383.7142857142858,1150.0,914.7940774194118
0,2680.0,1390.7142857142858,1157.0,914.7940774194118
0,2732.0,1442.7142857142858,1209.0,914.7940774194118
0,2766.0,1476.7142857142858,1243.0,914.7940774194118
0,2771.0,1481.7142857142858,1248.0,914.7940774194118
0,2776.0,1486.7142857142858,1253.0,914.7940774194118
0,2803.0,1513.7142857142858,1280.0,914.7940774194118
0,2814.0,1524.7142857142858,1291.0,914.7940774194118
0,2841.0,1551.7142857142858,1318.0,914.7940774194118
0,2844.0,1554.7142857142858,1321.0,914.7940774194118
0,2875.0,1585.7142857142858,1352.0,914.7940774194118
0,2883.0,1593.7142857142858,1360.0,914.7940774194118
0,2901.0,1611.7142857142858,1378.0,914.7940774194118
0,2938.0,1648.7142857142858,1415.0,914.7940774194118
0,2941.0,1651.7142857142858,1418.0,914.7940774194118
0,2953.0,1663.7142857142858,1430.0,914.7940774194118
0,2965.0,1675.7142857142858,1442.0,914.7940774194118
0,2981.0,1691.7142857142858,1458.0,914.7940774194118
0,3001.0,1711.7142857142858,1478.0,914.7940774194118
0,3002.0,1712.7142857142858,1479.0,914.7940774194118
0,3007.0,1717.7142857142858,1484.0,914.7940774194118
0,3008.0,1718.7142857142858,1485.0,914.7940774194118
0,3057.0,1767.7142857142858,1534.0,914.7940774194118
0,3068.0,1778.7142857142858,1545.0,914.7940774194118
0,3074.0,1784.7142857142858,1551.0,914.7940774194118
0,3086.0,1796.7142857142858,1563.0,914.7940774194118
0,3090.0,1800.7142857142858,1567.0,914.7940774194118
0,3097.0,1807.7142857142858,1574.0,914.7940774194118
0,3119.0,1829.7142857142858,1596.0,914.7940774194118
0,3132.0,1842.7142857142858,1609.0,914.7940774194118
0,3136.0,1846.7142857142858,1613.0,914.7940774194118
0,3141.0,1851.7142857142858,1618.0,914.7940774194118
0,3160.0,1870.7142857142858,1637.0,914.7940774194118
0,3161.0,1871.7142857142858,1638.0,914.7940774194118
0,3184.0,1894.7142857142858,1661.0,914.7940774194118
0,3194.0,1904.7142857142858,1671.0,914.7940774194118
0,3214.0,1924.7142857142858,1691.0,914.7940774194118
0,3227.0,1937.7142857142858,1704.0,914.7940774194118
0,3253.0,1963.7142857142858,1730.0,914.7940774194118
0,3258.0,1968.7142857142858,1735.0,914.7940774194118
0,3274.0,1984.7142857142858,1751.0,914.7940774194118
0,3281.0,1991.7142857142858,1758.0,914.7940774194118
0,3285.0,1995.7142857142858,1762.0,914.7940774194118
0,3286.0,1996.7142857142858,1763.0,914.7940774194118
0,3292.0,2002.7142857142858,1769.0,914.7940774194118
0,3314.0,2024.7142857142858,1791.0,914.7940774194118
0,3315.0,2025.7142857142858,1792.0,914.7940774194118
0,3378.0,2088.714285714286,1855.0,914.7940774194118
0,3383.0,2093.714285714286,1860.0,914.7940774194118
0,3399.0,1847.75,1748.5,1101.1898962031935
0,3409.0,1857.75,1758.5,1101.1898962031935
0,3426.0,1874.75,1775.5,1101.1898962031935
0,3432.0,1880.75,1781.5,1101.1898962031935
0,3476.0,1924.75,1825.5,1101.1898962031935
0,3481.0,1929.75,1830.5,1101.1898962031935
0,3483.0,1931.75,1832.5,1101.1898962031935
0,3493.0,1941.75,1842.5,1101.1898962031935
0,3504.0,1952.75,1853.5,1101.1898962031935
0,3515.0,1963.75,1864.5,1101.1898962031935
0,3552.0,2000.75,1901.5,1101.1898962031935
0,3570.0,2018.75,1919.5,1101.1898962031935
0,3580.0,2028.75,1929.5,1101.1898962031935
0,3586.0,2034.75,1935.5,1101.1898962031935
0,3596.0,2044.75,1945.5,1101.1898962031935
0,3602.0,2050.75,1951.5,1101.1898962031935
0,3642.0,2090.75,1991.5,1101.1898962031935
0,3657.0,2105.75,2006.5,1101.1898962031935
0,3685.0,2133.75,2034.5,1101.1898962031935
0,3716.0,2164.75,2065.5,1101.1898962031935
0,3729.0,2177.75,2078.5,1101.1898962031935
0,3731.0,2179.75,2080.5,1101.1898962031935
0,3734.0,2182.75,2083.5,1101.1898962031935
0,3735.0,2183.75,2084.5,1101.1898962031935
0,3759.0,2207.75,2108.5,1101.1898962031935
0,3773.0,2221.75,2122.5,1101.1898962031935
0,3784.0,2232.75,2133.5,1101.1898962031935
0,3788.0,2236.75,2137.5,1101.1898962031935
0,3800.0,2248.75,2149.5,1101.1898962031935
0,3818.0,2227.0,2167.5,1170.2404667417718
0,3838.0,2247.0,2187.5,1170.2404667417718
0,3856.0,2013.5555555555557,2078.0,1312.667014653002
0,3859.0,2016.5555555555557,2081.0,1312.667014653002
0,3868.0,2025.5555555555557,2090.0,1312.667014653002
0,3871.0,2028.5555555555557,2093.0,1312.667014653002
0,3892.0,2049.5555555555557,2114.0,1312.667014653002
0,3901.0,2058.5555555555557,2123.0,1312.667014653002
