,time,mean,median,sd
0,307.0,139.77777777777777,119.0,87.92392896106621
0,347.0,162.375,134.5,77.2737625264876
0,601.0,265.77777777777777,236.5,124.25044402136425
0,657.0,310.55555555555554,292.5,140.45925554813326
0,772.0,362.23809523809524,405.0,188.8813950761051
0,885.0,442.1304347826087,464.0,209.96030770803904
0,901.0,473.8636363636364,507.0,200.98220080724144
0,912.0,497.76190476190476,545.0,196.61465932894868
0,957.0,487.90909090909093,519.5,239.20586590004794
0,973.0,515.3333333333334,552.0,238.89932793729017
0,1176.0,701.7619047619048,755.0,271.3777730242659
0,1184.0,677.5714285714286,763.0,309.9893349054158
0,1215.0,728.9,821.0,303.67711471232076
0,1257.0,756.9,863.0,330.2620020529156
0,1272.0,807.5263157894736,905.0,299.0467959192749
0,1300.0,828.2105263157895,933.0,316.6644544802936
0,1388.0,916.2105263157895,1021.0,316.6644544802936
0,1415.0,816.0,977.5,434.84835392248056
0,1438.0,803.2608695652174,984.0,457.1344790617636
0,1483.0,848.2608695652174,1029.0,457.1344790617636
0,1501.0,901.0909090909091,1063.5,436.5416682278721
0,1515.0,945.3333333333334,1094.0,423.70040328754914
0,1536.0,966.3333333333334,1115.0,423.70040328754914
0,1539.0,969.3333333333334,1118.0,423.70040328754914
0,1557.0,981.55,1163.0,433.3540671321777
0,1585.0,1009.55,1191.0,433.3540671321777
0,1633.0,1101.421052631579,1266.0,398.9816399666417
0,1786.0,1242.421052631579,1419.0,427.93043160498513
0,1813.0,1249.6666666666667,1419.0,431.1421523761688
0,1870.0,1230.2631578947369,1449.0,526.93141889776
0,1909.0,1335.9444444444443,1515.0,456.7281554980943
0,1979.0,1258.6842105263158,1558.0,610.1991954859865
0,2022.0,1180.4761904761904,1550.0,690.2535503123622
0,2083.0,1241.4761904761904,1611.0,690.2535503123622
0,2117.0,1212.2272727272727,1564.5,733.1396947263673
0,2157.0,1166.6363636363637,1500.0,759.7343761565944
0,2167.0,1223.1904761904761,1534.0,746.325386655472
0,2181.0,1228.4761904761904,1548.0,759.4776161501447
0,2219.0,1145.4347826086957,1538.0,821.6231457138842
0,2228.0,1206.409090909091,1571.0,802.2585538279305
0,2299.0,1224.0434782608695,1618.0,823.5829716264894
0,2311.0,1203.8181818181818,1628.0,827.7894789664841
0,2317.0,1260.7142857142858,1636.0,812.9431622407643
0,2384.0,1215.0,1699.0,858.3788562572853
0,2424.0,1298.0454545454545,1741.0,853.0468108903801
0,2426.0,1300.0454545454545,1743.0,853.0468108903801
0,2457.0,1258.304347826087,1772.0,895.6217386133214
0,2459.0,1260.304347826087,1774.0,895.6217386133214
0,2461.0,1250.2173913043478,1776.0,910.561745227338
0,2492.0,1297.5238095238096,1807.0,903.9217527791841
0,2521.0,1326.5238095238096,1836.0,903.9217527791841
0,2532.0,1337.5238095238096,1847.0,903.9217527791841
0,2560.0,1418.25,1877.0,894.1740252881426
0,2571.0,1361.3333333333333,1886.0,923.9734758784931
0,2577.0,1367.3333333333333,1892.0,923.9734758784931
0,2586.0,1375.857142857143,1901.0,924.6757107591977
0,2599.0,1279.3333333333333,1320.0,945.1874761545273
0,2678.0,1147.64,854.0,991.7391947482968
0,2688.0,1155.16,864.0,994.529504036959
0,2701.0,1215.375,1087.0,987.2029009825353
0,2724.0,1228.125,1110.0,998.4791899225208
0,2734.0,1188.64,910.0,1007.8951485149634
0,2756.0,1157.7307692307693,783.5,1022.0107088740581
0,2761.0,1203.92,937.0,1020.8700963393924
0,2765.0,1161.576923076923,792.5,1027.5135474711203
0,2766.0,1112.96,645.0,1016.8616613876245
0,2780.0,1124.52,659.0,1019.4552317782278
0,2803.0,1139.68,682.0,1027.33510482218
0,2825.0,1095.4166666666667,664.0,994.797672756738
0,2831.0,1101.4166666666667,670.0,994.797672756738
0,2833.0,1059.32,632.0,998.3515901725204
0,2840.0,1060.16,639.0,1004.3816278686105
0,2848.0,1108.3333333333333,687.0,1005.2201942305422
0,2899.0,1087.2,537.0,1029.035898304816
0,2904.0,1092.2,542.0,1029.035898304816
0,2915.0,1103.2,553.0,1029.035898304816
0,2949.0,1125.88,587.0,1039.5214791431679
0,2956.0,1170.7916666666667,714.5,1043.8858885260825
0,2958.0,1172.7916666666667,716.5,1043.8858885260825
0,2986.0,1191.625,744.5,1053.3462082216843
0,2990.0,1242.9130434782608,869.0,1050.7669626657794
0,3001.0,1303.2272727272727,1028.5,1048.0288828349142
0,3007.0,1364.6666666666667,1183.0,1040.696897154033
0,3019.0,1318.15,1046.5,1032.13096431606
0,3021.0,1320.15,1048.5,1032.13096431606
0,3044.0,1384.157894736842,1220.0,1046.9180465164807
0,3057.0,1459.7222222222222,1443.0,1040.4598772527654
0,3059.0,1461.7222222222222,1445.0,1040.4598772527654
0,3089.0,1404.6470588235295,1265.0,1043.87298873426
0,3096.0,1488.6875,1482.0,1028.0449113943175
0,3119.0,1511.6875,1505.0,1028.0449113943175
0,3166.0,1548.4375,1552.0,1042.4170811598158
0,3168.0,1550.4375,1554.0,1042.4170811598158
0,3173.0,1569.2,1769.0,1075.1953744940188
0,3186.0,1572.9333333333334,1782.0,1088.0725751938098
0,3187.0,1573.9333333333334,1783.0,1088.0725751938098
0,3194.0,1482.5,1431.5,1120.3771128508472
0,3212.0,1394.7333333333333,1091.0,1077.006249852907
0,3240.0,1420.8,1119.0,1079.488286180077
0,3296.0,1474.8,1175.0,1082.1008086125803
0,3312.0,1587.9285714285713,1549.5,1055.022035266543
0,3325.0,1600.9285714285713,1562.5,1055.022035266543
0,3328.0,1603.9285714285713,1565.5,1055.022035266543
0,3341.0,1563.2307692307693,1220.0,1112.8466722672676
0,3357.0,1701.6666666666667,1594.5,1070.8654858986206
0,3375.0,1587.6923076923076,1254.0,1125.8543002207007
0,3376.0,1588.6923076923076,1255.0,1125.8543002207007
0,3386.0,1687.3636363636363,1265.0,1144.102051450058
0,3436.0,1373.7142857142858,1028.5,1230.1997763761453
0,3454.0,1147.9411764705883,998.0,1234.3601567370004
0,3477.0,1107.0555555555557,580.5,1228.1617913786722
0,3494.0,1065.7894736842106,157.0,1220.6972373002056
0,3516.0,1080.7368421052631,179.0,1226.4971878486122
0,3524.0,1141.6666666666667,627.5,1238.8048900273018
0,3525.0,1142.6666666666667,628.5,1238.8048900273018
0,3553.0,1007.1764705882352,167.0,1226.8800332212418
0,3588.0,1091.625,188.5,1248.0961939590234
0,3596.0,1166.8666666666666,210.0,1260.654849230704
0,3601.0,1244.7142857142858,680.0,1274.0356817481004
0,3607.0,1167.6666666666667,221.0,1269.4536182503434
0,3610.0,1170.6666666666667,224.0,1269.4536182503434
0,3618.0,1233.9285714285713,683.5,1298.5947605164654
0,3630.0,1234.0,695.5,1309.1108760201657
0,3657.0,1258.3846153846155,244.0,1358.4933135058989
0,3680.0,1261.2307692307693,235.0,1375.2329678917429
0,3681.0,1262.2307692307693,236.0,1375.2329678917429
0,3720.0,1289.6153846153845,275.0,1385.1796627964375
0,3731.0,1300.6153846153845,286.0,1385.1796627964375
0,3752.0,1406.1666666666667,785.5,1409.1416910855896
0,3762.0,1307.3846153846155,285.0,1405.3249029460187
0,3763.0,1308.3846153846155,286.0,1405.3249029460187
0,3778.0,1395.0833333333333,749.0,1442.4465592835281
0,3786.0,1403.0833333333333,757.0,1442.4465592835281
0,3833.0,1246.2857142857142,220.5,1425.7078657170082
0,3838.0,1341.5384615384614,236.0,1440.4729252994343
0,3861.0,1255.4285714285713,248.5,1441.2374997245404
0,3883.0,1119.3125,230.5,1411.5690613086383
0,3886.0,1122.3125,233.5,1411.5690613086383
0,3888.0,1197.8,265.0,1427.9200817972971
0,3894.0,1282.7857142857142,281.5,1446.033993799762
0,3900.0,1288.7857142857142,287.5,1446.033993799762
0,3901.0,1289.7857142857142,288.5,1446.033993799762
0,3914.0,1379.0,291.0,1473.275576081041
0,3917.0,1382.0,294.0,1473.275576081041
0,3927.0,1487.5833333333333,887.5,1494.2051654270538
0,3936.0,1471.25,822.0,1516.4685470416675
0,3973.0,1493.0833333333333,833.5,1530.3138272008857
0,3994.0,1502.0,854.5,1541.5993318628548
0,4019.0,1399.6153846153845,196.0,1544.531023592675
0,4032.0,1224.8,181.0,1515.5145748776772
0,4047.0,1162.375,158.0,1497.7165484079424
0,4050.0,1165.375,161.0,1497.7165484079424
0,4060.0,1237.9333333333334,133.0,1526.4605450372949
0,4082.0,1256.7333333333333,155.0,1529.0061899445955
0,4110.0,1284.7333333333333,183.0,1529.0061899445955
0,4113.0,1287.7333333333333,186.0,1529.0061899445955
0,4122.0,1361.9285714285713,181.5,1563.7941709776492
0,4147.0,1284.2,154.0,1557.611470596353
0,4151.0,1207.75,141.0,1540.000629058313
0,4153.0,1209.75,143.0,1540.000629058313
0,4161.0,1132.8823529411766,132.0,1530.0788092872072
0,4163.0,1134.8823529411766,134.0,1530.0788092872072
0,4173.0,1136.5882352941176,127.0,1535.8530895898762
0,4179.0,1142.5882352941176,133.0,1535.8530895898762
0,4186.0,1146.1764705882354,140.0,1538.3210571075483
0,4199.0,1220.875,144.5,1565.1260682050504
0,4213.0,1302.5333333333333,150.0,1593.6389748692213
0,4227.0,1225.125,99.5,1582.1771343231453
0,4229.0,1227.125,101.5,1582.1771343231453
0,4233.0,1307.6666666666667,108.0,1605.1268139586007
0,4238.0,1398.357142857143,150.0,1627.9803705004226
0,4242.0,1402.357142857143,154.0,1627.9803705004226
0,4246.0,1499.1538461538462,116.0,1653.3703966864332
0,4268.0,1639.75,975.0,1666.9105717364284
0,4300.0,1533.3846153846155,147.0,1670.6894725260788
0,4303.0,1426.7142857142858,146.5,1657.766631369335
0,4331.0,1268.5625,161.5,1626.7653860018506
0,4337.0,1263.8125,139.5,1634.5325485727562
0,4347.0,1272.3125,149.5,1635.6848228933807
0,4348.0,1273.3125,150.5,1635.6848228933807
0,4356.0,1206.3529411764705,140.0,1614.9264758778802
0,4396.0,1178.0,151.0,1594.52985059686
0,4414.0,1133.157894736842,140.0,1574.735742681857
0,4422.0,1196.8333333333333,177.0,1599.5823152727507
0,4428.0,1257.4117647058824,154.0,1629.5872829654654
0,4446.0,1204.6666666666667,158.0,1610.3125990523288
0,4453.0,1266.8235294117646,151.0,1640.3906003751995
0,4462.0,1268.3529411764705,160.0,1645.8491797523095
0,4466.0,1344.125,178.0,1670.4938968385966
0,4474.0,1352.125,186.0,1670.4938968385966
0,4489.0,1446.0666666666666,215.0,1696.1361763988436
0,4504.0,1551.0,259.0,1720.769927345647
0,4508.0,1555.0,263.0,1720.769927345647
0,4510.0,1557.0,265.0,1720.769927345647
0,4517.0,1665.6153846153845,301.0,1744.781517663085
0,4538.0,1816.6666666666667,1202.0,1754.4451322917516
0,4541.0,1819.6666666666667,1205.0,1754.4451322917516
0,4547.0,1825.6666666666667,1211.0,1754.4451322917516
0,4548.0,1686.2307692307693,332.0,1754.414263588855
0,4565.0,1689.3076923076924,349.0,1767.0802247521358
0,4583.0,1567.857142857143,300.5,1773.0057552538472
0,4585.0,1569.857142857143,302.5,1773.0057552538472
0,4587.0,1571.857142857143,304.5,1773.0057552538472
0,4631.0,1814.3333333333333,1176.0,1843.3751803568246
0,4632.0,1815.3333333333333,1177.0,1843.3751803568246
0,4647.0,1979.1818181818182,2191.0,1855.0131005752453
0,4649.0,1981.1818181818182,2193.0,1855.0131005752453
0,4661.0,2181.1,2372.5,1843.0234100520806
0,4666.0,2186.1,2377.5,1843.0234100520806
0,4682.0,2202.1,2393.5,1843.0234100520806
0,4712.0,1862.8333333333333,1203.5,1874.1412626112856
0,4752.0,1528.2666666666667,173.0,1836.0654478773051
0,4766.0,1542.2666666666667,187.0,1836.0654478773051
