,time,mean,median,sd
0,283.0,109.54545454545455,91.0,87.8307914907084
0,301.0,122.7,101.0,90.70507152304108
0,357.0,132.0,89.0,105.36467285439787
0,585.0,284.05263157894734,266.0,152.8943473135721
0,657.0,320.6190476190476,324.0,179.18957138832343
0,731.0,388.76190476190476,398.0,189.0570346701668
0,831.0,454.1818181818182,496.0,223.88159134272016
0,903.0,495.72727272727275,563.5,241.54280287318582
0,912.0,498.4761904761905,570.0,245.48215317685452
0,918.0,494.3333333333333,576.0,258.75440338251497
0,977.0,526.3636363636364,612.5,280.38926601399663
0,1139.0,591.3461538461538,651.0,343.62546049527776
0,1153.0,600.9615384615385,665.0,350.4499833476988
0,1201.0,644.1153846153846,713.0,358.1580363388247
0,1207.0,667.92,761.0,353.7882892352431
0,1263.0,746.125,846.5,343.5911223751277
0,1285.0,763.2083333333334,868.5,353.2804574233087
0,1300.0,740.68,854.0,388.92649382627553
0,1332.0,753.9583333333334,844.0,385.7511589058706
0,1452.0,776.5555555555555,902.0,453.99113495450985
0,1488.0,812.5555555555555,938.0,453.99113495450985
0,1501.0,825.5555555555555,951.0,453.99113495450985
0,1515.0,863.0,975.0,446.31249831687006
0,1516.0,864.0,976.0,446.31249831687006
0,1540.0,940.2083333333334,1052.0,424.67045843087425
0,1557.0,932.3478260869565,1027.0,416.3568294765871
0,1598.0,926.25,1058.0,463.17295635647815
0,1633.0,914.24,1083.0,504.76087645537666
0,1675.0,983.2916666666666,1135.0,497.0962749782201
0,1684.0,952.72,1134.0,524.2161020037443
0,1713.0,944.0384615384615,1134.0,547.4766226669993
0,1750.0,1013.04,1200.0,533.9413061376691
0,1801.0,1001.52,1193.0,559.2514368332012
0,1812.0,1046.125,1233.0,545.4920036459441
0,1828.0,1097.7826086956522,1278.0,529.1349755083652
0,1832.0,1104.2727272727273,1292.0,540.8953168605298
0,1930.0,1096.7083333333333,1351.0,623.3998502276761
0,1982.0,1080.2083333333333,1322.5,654.2240938169089
0,2009.0,1098.4166666666667,1349.5,667.136037892989
0,2067.0,1112.16,1356.0,688.6765092552525
0,2084.0,1126.8,1373.0,692.4033506562487
0,2086.0,1128.8,1375.0,692.4033506562487
0,2101.0,1136.76,1390.0,702.9408669297866
0,2121.0,1194.1666666666667,1461.5,692.6275855192473
0,2170.0,1241.2083333333333,1510.5,695.9325266124744
0,2174.0,1295.8260869565217,1566.0,666.2490494111116
0,2186.0,1307.8260869565217,1578.0,666.2490494111116
0,2218.0,1183.423076923077,1468.5,761.4880257191242
0,2319.0,1118.75,1429.0,798.9894342677057
0,2375.0,1063.7096774193549,986.0,831.683686519386
0,2382.0,1100.7666666666667,1228.5,828.702748611078
0,2383.0,1101.7666666666667,1229.5,828.702748611078
0,2401.0,1190.642857142857,1511.0,812.4168623085473
0,2409.0,1194.5357142857142,1519.0,818.1351391227166
0,2415.0,1194.357142857143,1525.0,826.4450640408901
0,2425.0,1245.5185185185185,1563.0,812.9384455933493
0,2437.0,1257.5185185185185,1575.0,812.9384455933493
0,2457.0,1199.4074074074074,1539.0,829.3910867377012
0,2465.0,1198.037037037037,1547.0,841.4288764855966
0,2471.0,1157.357142857143,1317.5,860.6580627754604
0,2478.0,1164.357142857143,1324.5,860.6580627754604
