,time,mean,median,sd
0,283.0,173.0,173.0,0.0
0,301.0,191.0,191.0,0.0
0,357.0,247.0,247.0,0.0
0,585.0,336.5,336.5,138.5
0,657.0,288.6666666666667,270.0,203.73566752589548
0,731.0,362.6666666666667,344.0,203.73566752589548
0,831.0,295.4,223.0,258.5982211849107
0,903.0,367.4,295.0,258.5982211849107
0,912.0,376.4,304.0,258.5982211849107
0,918.0,382.4,310.0,258.5982211849107
0,977.0,441.4,369.0,258.5982211849107
0,1139.0,603.4,531.0,258.5982211849107
0,1153.0,617.4,545.0,258.5982211849107
0,1201.0,665.4,593.0,258.5982211849107
0,1207.0,671.4,599.0,258.5982211849107
0,1263.0,727.4,655.0,258.5982211849107
0,1285.0,749.4,677.0,258.5982211849107
0,1300.0,764.4,692.0,258.5982211849107
0,1332.0,690.0,635.5,164.27568292355383
0,1452.0,660.6,667.0,332.9724312912407
0,1488.0,696.6,703.0,332.9724312912407
0,1501.0,709.6,716.0,332.9724312912407
0,1515.0,723.6,730.0,332.9724312912407
0,1516.0,724.6,731.0,332.9724312912407
0,1540.0,748.6,755.0,332.9724312912407
0,1557.0,765.6,772.0,332.9724312912407
0,1598.0,806.6,813.0,332.9724312912407
0,1633.0,841.6,848.0,332.9724312912407
0,1675.0,883.6,890.0,332.9724312912407
0,1684.0,892.6,899.0,332.9724312912407
0,1713.0,921.6,928.0,332.9724312912407
0,1750.0,958.6,965.0,332.9724312912407
0,1801.0,1009.6,1016.0,332.9724312912407
0,1812.0,1020.6,1027.0,332.9724312912407
0,1828.0,1036.6,1043.0,332.9724312912407
0,1832.0,1039.0,1134.0,372.2573034877892
0,1930.0,911.4,1142.0,560.7511390982634
0,1982.0,803.6666666666666,893.5,624.1863147775315
0,2009.0,830.6666666666666,920.5,624.1863147775315
0,2067.0,888.6666666666666,978.5,624.1863147775315
0,2084.0,905.6666666666666,995.5,624.1863147775315
0,2086.0,907.6666666666666,997.5,624.1863147775315
0,2101.0,922.6666666666666,1012.5,624.1863147775315
0,2121.0,942.6666666666666,1032.5,624.1863147775315
0,2170.0,991.6666666666666,1081.5,624.1863147775315
0,2174.0,995.6666666666666,1085.5,624.1863147775315
0,2186.0,1007.6666666666666,1097.5,624.1863147775315
0,2218.0,1039.6666666666667,1129.5,624.1863147775315
0,2319.0,1140.6666666666667,1230.5,624.1863147775315
0,2375.0,1196.6666666666667,1286.5,624.1863147775315
0,2382.0,1203.6666666666667,1293.5,624.1863147775315
0,2383.0,1204.6666666666667,1294.5,624.1863147775315
0,2401.0,1222.6666666666667,1312.5,624.1863147775315
0,2409.0,1055.4285714285713,1020.0,719.8614662643396
0,2415.0,1061.4285714285713,1026.0,719.8614662643396
0,2425.0,1071.4285714285713,1036.0,719.8614662643396
0,2437.0,1083.4285714285713,1048.0,719.8614662643396
0,2457.0,1103.4285714285713,1068.0,719.8614662643396
0,2465.0,1111.4285714285713,1076.0,719.8614662643396
0,2471.0,978.25,816.0,767.4765061550744
0,2478.0,985.25,823.0,767.4765061550744
0,2491.0,998.25,836.0,767.4765061550744
0,2520.0,1027.25,865.0,767.4765061550744
0,2561.0,952.0,640.0,794.786763855564
0,2582.0,973.0,661.0,794.786763855564
0,2640.0,1031.0,719.0,794.786763855564
0,2657.0,1048.0,736.0,794.786763855564
0,2661.0,1052.0,740.0,794.786763855564
0,2678.0,1050.111111111111,701.0,803.9446421578546
0,2686.0,1058.111111111111,709.0,803.9446421578546
0,2695.0,1067.111111111111,718.0,803.9446421578546
0,2701.0,1073.111111111111,724.0,803.9446421578546
0,2713.0,1085.111111111111,736.0,803.9446421578546
0,2714.0,1086.111111111111,737.0,803.9446421578546
0,2717.0,1089.111111111111,740.0,803.9446421578546
0,2756.0,1128.111111111111,779.0,803.9446421578546
0,2759.0,1131.111111111111,782.0,803.9446421578546
0,2786.0,1158.111111111111,809.0,803.9446421578546
0,2799.0,1171.111111111111,822.0,803.9446421578546
0,2803.0,1175.111111111111,826.0,803.9446421578546
0,2814.0,1068.0,780.0,840.9794289993067
0,2848.0,1102.0,814.0,840.9794289993067
0,2878.0,1132.0,844.0,840.9794289993067
0,2898.0,1152.0,864.0,840.9794289993067
0,2900.0,1154.0,866.0,840.9794289993067
0,2910.0,1164.0,876.0,840.9794289993067
0,2939.0,1193.0,905.0,840.9794289993067
0,2957.0,1211.0,923.0,840.9794289993067
0,2990.0,1244.0,956.0,840.9794289993067
0,3001.0,1255.0,967.0,840.9794289993067
0,3008.0,1262.0,974.0,840.9794289993067
0,3018.0,1272.0,984.0,840.9794289993067
0,3026.0,1280.0,992.0,840.9794289993067
0,3035.0,1289.0,1001.0,840.9794289993067
0,3057.0,1311.0,1023.0,840.9794289993067
0,3058.0,1312.0,1024.0,840.9794289993067
0,3066.0,1320.0,1032.0,840.9794289993067
0,3068.0,1322.0,1034.0,840.9794289993067
0,3070.0,1324.0,1036.0,840.9794289993067
0,3095.0,1349.0,1061.0,840.9794289993067
0,3104.0,1438.111111111111,1127.0,849.5006957612014
0,3129.0,1463.111111111111,1152.0,849.5006957612014
0,3155.0,1489.111111111111,1178.0,849.5006957612014
0,3173.0,1507.111111111111,1196.0,849.5006957612014
0,3216.0,1550.111111111111,1239.0,849.5006957612014
0,3225.0,1559.111111111111,1248.0,849.5006957612014
0,3238.0,1572.111111111111,1261.0,849.5006957612014
0,3249.0,1583.111111111111,1272.0,849.5006957612014
0,3262.0,1596.111111111111,1285.0,849.5006957612014
0,3285.0,1619.111111111111,1308.0,849.5006957612014
0,3287.0,1621.111111111111,1310.0,849.5006957612014
0,3291.0,1625.111111111111,1314.0,849.5006957612014
0,3293.0,1627.111111111111,1316.0,849.5006957612014
0,3295.0,1629.111111111111,1318.0,849.5006957612014
0,3301.0,1635.111111111111,1324.0,849.5006957612014
0,3310.0,1644.111111111111,1333.0,849.5006957612014
0,3313.0,1647.111111111111,1336.0,849.5006957612014
0,3318.0,1652.111111111111,1341.0,849.5006957612014
0,3344.0,1678.111111111111,1367.0,849.5006957612014
0,3350.0,1684.111111111111,1373.0,849.5006957612014
0,3354.0,1688.111111111111,1377.0,849.5006957612014
0,3366.0,1700.111111111111,1389.0,849.5006957612014
0,3371.0,1705.111111111111,1394.0,849.5006957612014
0,3377.0,1711.111111111111,1400.0,849.5006957612014
0,3387.0,1721.111111111111,1410.0,849.5006957612014
0,3394.0,1728.111111111111,1417.0,849.5006957612014
0,3401.0,1735.111111111111,1424.0,849.5006957612014
0,3411.0,1745.111111111111,1434.0,849.5006957612014
0,3432.0,1766.111111111111,1455.0,849.5006957612014
0,3527.0,1861.111111111111,1550.0,849.5006957612014
0,3539.0,1873.111111111111,1562.0,849.5006957612014
0,3548.0,1882.111111111111,1571.0,849.5006957612014
0,3549.0,1883.111111111111,1572.0,849.5006957612014
0,3568.0,1902.111111111111,1591.0,849.5006957612014
0,3582.0,1916.111111111111,1605.0,849.5006957612014
0,3587.0,1921.111111111111,1610.0,849.5006957612014
0,3589.0,1923.111111111111,1612.0,849.5006957612014
0,3593.0,1927.111111111111,1616.0,849.5006957612014
0,3612.0,1946.111111111111,1635.0,849.5006957612014
0,3618.0,1952.111111111111,1641.0,849.5006957612014
0,3629.0,1963.111111111111,1652.0,849.5006957612014
0,3641.0,1975.111111111111,1664.0,849.5006957612014
0,3662.0,1996.111111111111,1685.0,849.5006957612014
0,3672.0,2006.111111111111,1695.0,849.5006957612014
0,3676.0,2010.111111111111,1699.0,849.5006957612014
0,3677.0,2011.111111111111,1700.0,849.5006957612014
0,3701.0,2035.111111111111,1724.0,849.5006957612014
0,3708.0,2042.111111111111,1731.0,849.5006957612014
0,3714.0,2048.1111111111113,1737.0,849.5006957612014
0,3719.0,2053.1111111111113,1742.0,849.5006957612014
0,3726.0,2060.1111111111113,1749.0,849.5006957612014
0,3731.0,2065.1111111111113,1754.0,849.5006957612014
0,3741.0,2075.1111111111113,1764.0,849.5006957612014
0,3767.0,2066.5,1733.0,895.0287704872956
0,3771.0,2070.5,1737.0,895.0287704872956
0,3788.0,2087.5,1754.0,895.0287704872956
0,3801.0,2100.5,1767.0,895.0287704872956
0,3807.0,2106.5,1773.0,895.0287704872956
0,3828.0,2127.5,1794.0,895.0287704872956
0,3853.0,2152.5,1819.0,895.0287704872956
0,3868.0,2167.5,1834.0,895.0287704872956
0,3871.0,2170.5,1837.0,895.0287704872956
0,3888.0,2187.5,1854.0,895.0287704872956
0,3929.0,1984.2222222222222,1838.0,1090.6149924370172
0,3932.0,1987.2222222222222,1841.0,1090.6149924370172
0,3940.0,1995.2222222222222,1849.0,1090.6149924370172
0,3970.0,2025.2222222222222,1879.0,1090.6149924370172
0,3972.0,2027.2222222222222,1881.0,1090.6149924370172
0,3977.0,2032.2222222222222,1886.0,1090.6149924370172
0,4007.0,2062.222222222222,1916.0,1090.6149924370172
0,4013.0,2068.222222222222,1922.0,1090.6149924370172
0,4014.0,2069.222222222222,1923.0,1090.6149924370172
0,4032.0,1892.5,1784.0,998.4340238593635
0,4035.0,1895.5,1787.0,998.4340238593635
0,4048.0,2159.8571428571427,1957.0,796.1389736133525
0,4059.0,2170.8571428571427,1968.0,796.1389736133525
0,4120.0,2231.8571428571427,2029.0,796.1389736133525
0,4146.0,2257.8571428571427,2055.0,796.1389736133525
0,4168.0,2279.8571428571427,2077.0,796.1389736133525
0,4172.0,2283.8571428571427,2081.0,796.1389736133525
0,4179.0,2305.6666666666665,1931.0,859.0352469809116
0,4197.0,2323.6666666666665,1949.0,859.0352469809116
0,4201.0,2327.6666666666665,1953.0,859.0352469809116
0,4247.0,2373.6666666666665,1999.0,859.0352469809116
0,4259.0,2045.2857142857142,1854.0,1152.2484496825841
0,4263.0,1793.5,1791.0,1272.6748406407664
0,4281.0,1811.5,1809.0,1272.6748406407664
0,4290.0,1820.5,1818.0,1272.6748406407664
0,4293.0,1823.5,1821.0,1272.6748406407664
0,4324.0,1854.5,1852.0,1272.6748406407664
0,4357.0,1936.0,1952.0,1353.6133653511047
0,4363.0,1942.0,1958.0,1353.6133653511047
0,4376.0,1955.0,1971.0,1353.6133653511047
0,4377.0,1956.0,1972.0,1353.6133653511047
0,4383.0,1962.0,1978.0,1353.6133653511047
0,4398.0,1977.0,1993.0,1353.6133653511047
0,4404.0,1983.0,1999.0,1353.6133653511047
0,4416.0,1995.0,2011.0,1353.6133653511047
0,4427.0,2006.0,2022.0,1353.6133653511047
0,4433.0,2012.0,2028.0,1353.6133653511047
0,4442.0,2021.0,2037.0,1353.6133653511047
0,4460.0,2039.0,2055.0,1353.6133653511047
0,4467.0,2046.0,2062.0,1353.6133653511047
0,4470.0,2049.0,2065.0,1353.6133653511047
0,4482.0,2366.8333333333335,2234.0,1217.7475678024937
0,4484.0,2030.7142857142858,2079.0,1398.9324209436804
0,4487.0,2033.7142857142858,2082.0,1398.9324209436804
0,4488.0,2034.7142857142858,2083.0,1398.9324209436804
0,4496.0,2042.7142857142858,2091.0,1398.9324209436804
0,4501.0,2047.7142857142858,2096.0,1398.9324209436804
0,4503.0,2049.714285714286,2098.0,1398.9324209436804
0,4505.0,2051.714285714286,2100.0,1398.9324209436804
0,4517.0,2415.4,2426.0,1401.0082940511093
0,4539.0,2437.4,2448.0,1401.0082940511093
0,4554.0,2452.4,2463.0,1401.0082940511093
0,4568.0,2055.8333333333335,2253.0,1574.3290016878796
0,4601.0,1791.2857142857142,2062.0,1629.6153546409757
0,4604.0,1794.2857142857142,2065.0,1629.6153546409757
0,4628.0,1818.2857142857142,2089.0,1629.6153546409757
0,4632.0,1822.2857142857142,2093.0,1629.6153546409757
0,4633.0,1823.2857142857142,2094.0,1629.6153546409757
0,4636.0,1826.2857142857142,2097.0,1629.6153546409757
0,4655.0,1845.2857142857142,2116.0,1629.6153546409757
0,4662.0,2144.8333333333335,2347.0,1580.8748017755513
0,4700.0,2182.8333333333335,2385.0,1580.8748017755513
0,4704.0,2186.8333333333335,2389.0,1580.8748017755513
0,4713.0,2238.0,2398.0,1325.2895909951153
0,4717.0,2242.0,2402.0,1325.2895909951153
0,4722.0,2247.0,2407.0,1325.2895909951153
0,4732.0,2926.0,2641.0,742.70631252647
0,4760.0,2954.0,2669.0,742.70631252647
0,4771.0,2965.0,2680.0,742.70631252647
0,4778.0,2972.0,2687.0,742.70631252647
0,4787.0,1777.6666666666667,2248.0,998.8234189396153
0,4788.0,1778.6666666666667,2249.0,998.8234189396153
0,4790.0,1780.6666666666667,2251.0,998.8234189396153
0,4792.0,1782.6666666666667,2253.0,998.8234189396153
0,4801.0,1791.6666666666667,2262.0,998.8234189396153
0,4804.0,1794.6666666666667,2265.0,998.8234189396153
0,4816.0,2501.0,2501.0,224.0
0,4817.0,2502.0,2502.0,224.0
0,4820.0,2505.0,2505.0,224.0
0,4829.0,2514.0,2514.0,224.0
0,4844.0,2529.0,2529.0,224.0
0,4853.0,1273.0,1161.5,1274.8778372848121
0,4864.0,1284.0,1172.5,1274.8778372848121
0,4912.0,1753.3333333333333,2373.0,1207.0615376009443
0,4921.0,1452.5,1452.5,1377.5
0,4929.0,1460.5,1460.5,1377.5
0,4939.0,1470.5,1470.5,1377.5
0,4958.0,1489.5,1489.5,1377.5
0,4986.0,767.5,83.0,1229.34504920303
0,4989.0,770.5,86.0,1229.34504920303
0,4997.0,778.5,94.0,1229.34504920303
0,5009.0,790.5,106.0,1229.34504920303
0,5015.0,796.5,112.0,1229.34504920303
0,5016.0,797.5,113.0,1229.34504920303
0,5044.0,106.0,107.5,68.18724220849528
0,5045.0,107.0,108.5,68.18724220849528
0,5053.0,106.66666666666667,93.0,76.95164426804378
0,5065.0,118.66666666666667,105.0,76.95164426804378
0,5076.0,136.5,136.5,93.5
0,5095.0,155.5,155.5,93.5
0,5101.0,161.5,161.5,93.5
0,5109.0,169.5,169.5,93.5
0,5123.0,183.5,183.5,93.5
0,5147.0,207.5,207.5,93.5
0,5167.0,227.5,227.5,93.5
0,5177.0,144.0,144.0,0.0
0,5181.0,148.0,148.0,0.0
0,5202.0,169.0,169.0,0.0
0,5209.0,176.0,176.0,0.0
0,5228.0,99.0,99.0,96.0
0,5233.0,104.0,104.0,96.0
0,5235.0,106.0,106.0,96.0
0,5248.0,119.0,119.0,96.0
0,5250.0,121.0,121.0,96.0
0,5261.0,132.0,132.0,96.0
0,5286.0,157.0,157.0,96.0
0,5292.0,259.0,259.0,0.0
0,5315.0,282.0,282.0,0.0
0,5323.0,290.0,290.0,0.0
0,5351.0,11.0,11.0,0.0
0,5354.0,14.0,14.0,0.0
0,5371.0,31.0,31.0,0.0
0,5376.0,36.0,36.0,0.0
0,5378.0,38.0,38.0,0.0
0,5380.0,40.0,40.0,0.0
0,5384.0,44.0,44.0,0.0
0,5393.0,53.0,53.0,0.0
0,5401.0,31.5,31.5,29.5
0,5412.0,42.5,42.5,29.5
0,5433.0,63.5,63.5,29.5
0,5442.0,72.5,72.5,29.5
0,5457.0,87.5,87.5,29.5
0,5473.0,70.33333333333333,74.0,52.72781260608316
0,5480.0,58.75,46.0,55.867588993977535
0,5483.0,61.75,49.0,55.867588993977535
0,5487.0,58.333333333333336,18.0,62.78180911343313
0,5493.0,84.5,84.5,68.5
0,5497.0,88.5,88.5,68.5
0,5499.0,90.5,90.5,68.5
0,5523.0,183.0,183.0,0.0
0,5536.0,196.0,196.0,0.0
0,5553.0,213.0,213.0,0.0
0,5559.0,219.0,219.0,0.0
0,5567.0,227.0,227.0,0.0
0,5570.0,230.0,230.0,0.0
0,5585.0,2.0,2.0,0.0
0,5589.0,6.0,6.0,0.0
0,5593.0,10.0,10.0,0.0
0,5633.0,10.0,10.0,0.0
0,5642.0,19.0,19.0,0.0
0,5658.0,23.5,23.5,11.5
0,5683.0,48.5,48.5,11.5
0,5684.0,49.5,49.5,11.5
0,5698.0,63.5,63.5,11.5
0,5701.0,66.5,66.5,11.5
0,5718.0,83.5,83.5,11.5
0,5747.0,112.5,112.5,11.5
0,5758.0,123.5,123.5,11.5
0,5767.0,132.5,132.5,11.5
