,time,mean,median,sd
0,283.0,103.2,83.0,89.68143620616253
0,301.0,115.11111111111111,93.0,92.55082020699575
0,357.0,123.15384615384616,81.0,104.21194834333917
0,585.0,277.88235294117646,266.0,153.32467755519608
0,657.0,325.94444444444446,331.0,174.19480545330157
0,731.0,393.1111111111111,405.0,186.14298234567752
0,831.0,500.88235294117646,512.0,188.68052125311195
0,903.0,533.4705882352941,570.0,222.63426025845718
0,912.0,536.625,577.0,228.21696776313544
0,918.0,529.3125,583.0,248.67692865191574
0,977.0,551.3529411764706,640.0,281.6468253967287
0,1139.0,588.4761904761905,693.0,360.87032614257635
0,1153.0,597.047619047619,707.0,368.8564666242433
0,1201.0,639.047619047619,755.0,377.8407923968678
0,1207.0,667.05,813.0,373.8123158752263
0,1263.0,751.0526315789474,921.0,362.50132104067245
0,1285.0,766.8421052631579,943.0,374.1517090500076
0,1300.0,734.75,906.0,414.9526328389784
0,1332.0,766.75,938.0,414.9526328389784
0,1452.0,802.9090909090909,964.0,473.2889669968989
0,1488.0,838.9090909090909,1000.0,473.2889669968989
0,1501.0,851.9090909090909,1013.0,473.2889669968989
0,1515.0,896.1904761904761,1069.0,463.1371923705935
0,1516.0,897.1904761904761,1070.0,463.1371923705935
0,1540.0,990.6315789473684,1198.0,431.7681164365789
0,1557.0,978.6666666666666,1163.0,425.2531272339126
0,1598.0,957.7368421052631,1152.0,486.87671000770047
0,1633.0,932.4,1145.0,537.6921424012071
0,1675.0,1009.5263157894736,1229.0,528.8214670796954
0,1684.0,967.75,1196.0,560.9420536026872
0,1713.0,949.3809523809524,1183.0,586.9828809210121
0,1750.0,1026.65,1262.0,572.4708092994787
0,1801.0,999.5,1261.0,602.6729212433557
0,1812.0,1052.842105263158,1282.0,588.6205339299581
0,1828.0,1114.7777777777778,1340.0,570.6409218838018
0,1832.0,1118.7777777777778,1344.0,570.6409218838018
0,1930.0,1145.4736842105262,1400.0,629.8691901306971
0,1982.0,1172.388888888889,1442.0,637.8247006548368
0,2009.0,1187.6666666666667,1469.0,657.0354294522903
0,2067.0,1182.7368421052631,1517.0,693.0062536442421
0,2084.0,1196.6315789473683,1534.0,698.1877451114583
0,2086.0,1198.6315789473683,1536.0,698.1877451114583
0,2101.0,1204.3684210526317,1551.0,712.8014568570318
0,2121.0,1278.0,1581.0,694.0189718828537
0,2170.0,1324.388888888889,1630.0,698.725437961379
0,2174.0,1401.764705882353,1644.0,648.092361737554
0,2186.0,1413.764705882353,1656.0,648.092361737554
0,2218.0,1226.55,1587.5,793.020143186792
0,2319.0,1112.7727272727273,1429.0,840.2768987238228
0,2375.0,1031.8,746.0,871.1706606629955
0,2382.0,1075.0416666666667,1108.5,870.4736009383372
0,2383.0,1076.0416666666667,1109.5,870.4736009383372
0,2401.0,1181.909090909091,1511.0,856.3959847200523
0,2409.0,1240.904761904762,1547.0,843.2830347184693
0,2415.0,1238.6666666666667,1553.0,854.4560137099389
0,2425.0,1306.45,1638.5,834.5553591583964
0,2437.0,1318.45,1650.5,834.5553591583964
0,2457.0,1233.0,1567.0,861.9327700000737
0,2465.0,1228.35,1575.0,878.0028630363342
0,2471.0,1229.0,1581.0,885.1286347192706
0,2478.0,1236.0,1588.0,885.1286347192706
0,2491.0,1302.0526315789473,1629.0,876.5816666361147
0,2520.0,1205.8095238095239,1602.0,918.8219486073624
0,2561.0,1140.9130434782608,932.0,942.6399982769703
0,2582.0,1161.9130434782608,953.0,942.6399982769703
0,2640.0,1115.76,959.0,969.3642980840588
0,2657.0,1073.0833333333333,825.5,943.2853896827243
0,2661.0,1077.0833333333333,829.5,943.2853896827243
0,2678.0,1131.5652173913043,997.0,945.9156054866698
0,2686.0,1092.25,854.5,953.3968765244969
0,2695.0,1141.0869565217392,1014.0,954.1479200355302
0,2701.0,1147.0869565217392,1020.0,954.1479200355302
0,2713.0,1203.4545454545455,1058.0,952.1055006129942
0,2714.0,1204.4545454545455,1059.0,952.1055006129942
0,2717.0,1256.2380952380952,1088.0,947.2673432041948
