,time,mean,median,sd,min,max
0,656.0,371.0,335.0,197.60566793490514,149.0,629.0
0,884.0,599.0,563.0,197.60566793490514,377.0,857.0
0,913.0,628.0,592.0,197.60566793490514,406.0,886.0
0,963.0,678.0,642.0,197.60566793490514,456.0,936.0
0,981.0,696.0,660.0,197.60566793490514,474.0,954.0
0,1074.0,789.0,753.0,197.60566793490514,567.0,1047.0
0,1224.0,733.0,810.0,395.71959769513563,115.0,1197.0
0,1256.0,765.0,842.0,395.71959769513563,147.0,1229.0
0,1261.0,770.0,847.0,395.71959769513563,152.0,1234.0
0,1332.0,1047.0,1011.0,197.60566793490514,825.0,1305.0
0,1349.0,1064.0,1028.0,197.60566793490514,842.0,1322.0
0,1376.0,962.0,962.0,93.0,869.0,1055.0
0,1418.0,678.6666666666666,911.0,466.31486739707924,28.0,1097.0
0,1446.0,590.5,590.5,534.5,56.0,1125.0
0,1456.0,600.5,600.5,534.5,66.0,1135.0
0,1513.0,657.5,657.5,534.5,43.0,1192.0
0,1582.0,491.6666666666667,192.0,548.4100250319606,22.0,1261.0
0,1598.0,507.6666666666667,208.0,548.4100250319606,38.0,1277.0
0,1658.0,567.6666666666666,268.0,548.4100250319606,98.0,1337.0
0,1680.0,589.6666666666666,290.0,548.4100250319606,120.0,1359.0
0,1736.0,645.6666666666666,346.0,548.4100250319606,176.0,1415.0
0,1788.0,523.5,313.0,562.6430929105946,1.0,1467.0
0,1794.0,529.5,319.0,562.6430929105946,7.0,1473.0
0,1801.0,536.5,326.0,562.6430929105946,14.0,1480.0
0,1841.0,576.5,366.0,562.6430929105946,54.0,1520.0
0,1849.0,584.5,374.0,562.6430929105946,62.0,1528.0
0,1856.0,591.5,381.0,562.6430929105946,69.0,1535.0
0,1876.0,611.5,401.0,562.6430929105946,89.0,1555.0
0,1881.0,616.5,406.0,562.6430929105946,94.0,1560.0
0,1900.0,635.5,425.0,562.6430929105946,113.0,1579.0
0,1933.0,668.5,458.0,562.6430929105946,146.0,1612.0
0,1971.0,706.5,496.0,562.6430929105946,184.0,1650.0
0,1981.0,716.5,506.0,562.6430929105946,194.0,1660.0
0,1993.0,728.5,518.0,562.6430929105946,206.0,1672.0
0,2032.0,615.8,472.0,587.6268884249597,9.0,1711.0
0,2055.0,731.5,580.0,623.4302286543378,32.0,1734.0
0,2083.0,759.5,608.0,623.4302286543378,60.0,1762.0
0,2089.0,613.4,529.0,635.1927581451162,5.0,1768.0
0,2117.0,641.4,557.0,635.1927581451162,33.0,1796.0
0,2149.0,565.3333333333334,357.5,628.1853937245667,25.0,1828.0
0,2173.0,589.3333333333334,381.5,628.1853937245667,49.0,1852.0
0,2184.0,600.3333333333334,392.5,628.1853937245667,60.0,1863.0
0,2189.0,605.3333333333334,397.5,628.1853937245667,65.0,1868.0
0,2202.0,618.3333333333334,410.5,628.1853937245667,78.0,1881.0
0,2242.0,570.0,219.0,620.5317995765521,40.0,1921.0
0,2277.0,605.0,254.0,620.5317995765521,75.0,1956.0
0,2288.0,616.0,265.0,620.5317995765521,86.0,1967.0
0,2347.0,675.0,324.0,620.5317995765521,6.0,2026.0
0,2361.0,689.0,338.0,620.5317995765521,20.0,2040.0
0,2398.0,726.0,375.0,620.5317995765521,15.0,2077.0
0,2403.0,505.8333333333333,349.5,307.1418872262279,20.0,1013.0
0,2442.0,472.2857142857143,358.0,335.3184900895243,37.0,1052.0
0,2466.0,496.2857142857143,382.0,335.3184900895243,61.0,1076.0
0,2475.0,505.2857142857143,391.0,335.3184900895243,70.0,1085.0
0,2480.0,510.2857142857143,396.0,335.3184900895243,75.0,1090.0
