,time,mean,median,sd,min,max
0,310.0,159.42857142857142,199.0,102.02360671202823,31.0,305.0
0,618.0,260.75,221.5,164.3462427316183,20.0,554.0
0,656.0,283.3125,253.0,177.92509616057538,13.0,592.0
0,808.0,332.85,327.5,209.20666217881305,39.0,744.0
0,885.0,349.8636363636364,319.5,231.1639118293152,24.0,821.0
0,981.0,421.17391304347825,407.0,249.20545952807925,7.0,917.0
0,1078.0,476.69565217391306,491.0,246.60114509812215,28.0,1014.0
0,1178.0,524.1666666666666,520.5,278.4682307832539,4.0,1114.0
0,1201.0,534.3913043478261,525.0,277.4869740977959,27.0,1137.0
0,1267.0,608.9545454545455,609.5,280.7354751804506,38.0,1203.0
0,1268.0,609.9545454545455,610.5,280.7354751804506,39.0,1204.0
0,1333.0,562.96,593.0,346.5725297827282,20.0,1269.0
0,1382.0,591.84,642.0,365.36049923329153,8.0,1318.0
0,1472.0,652.96,722.0,384.1185733598416,63.0,1408.0
0,1489.0,679.25,744.0,389.27788382251225,80.0,1425.0
0,1517.0,679.12,767.0,405.5451955084661,4.0,1453.0
0,1577.0,688.3076923076923,787.0,440.04814152988456,8.0,1513.0
0,1618.0,739.84,868.0,445.5377586692289,49.0,1554.0
0,1668.0,717.6153846153846,781.5,474.75864936610583,19.0,1604.0
0,1740.0,715.2592592592592,625.0,493.1553427104849,34.0,1676.0
0,1772.0,720.75,573.5,503.47830319261453,5.0,1708.0
0,1795.0,762.925925925926,680.0,502.5762463566304,15.0,1731.0
0,1801.0,738.1153846153846,602.5,486.48411523779293,21.0,1737.0
0,1826.0,771.88,711.0,494.10139202394487,9.0,1762.0
0,1857.0,781.76,742.0,515.5352387567701,16.0,1793.0
0,1859.0,783.76,744.0,515.5352387567701,18.0,1795.0
0,1865.0,803.6666666666666,836.0,521.5512651908939,6.0,1801.0
0,1908.0,788.64,793.0,558.9897229824535,2.0,1844.0
0,1914.0,772.4583333333334,701.0,559.6323926744731,8.0,1850.0
0,1979.0,748.2962962962963,615.0,584.8428604914008,7.0,1915.0
0,1981.0,750.2962962962963,617.0,584.8428604914008,9.0,1917.0
0,2009.0,814.24,698.0,591.5145496097285,37.0,1945.0
0,2057.0,735.3793103448276,544.0,630.5787387621269,10.0,1993.0
0,2070.0,769.25,631.5,631.8216647689667,23.0,2006.0
0,2097.0,753.0344827586207,584.0,650.3886627271748,3.0,2033.0
0,2164.0,756.3793103448276,515.0,633.1506555910579,8.0,2100.0
0,2181.0,773.3793103448276,532.0,633.1506555910579,25.0,2117.0
0,2196.0,810.6785714285714,615.0,633.0690581587124,14.0,2132.0
0,2206.0,831.9629629629629,693.0,641.9147561661232,24.0,2142.0
0,2267.0,833.9655172413793,618.0,656.2214451066317,1.0,2203.0
0,2278.0,856.8928571428571,697.0,664.7409452069985,1.0,2214.0
0,2391.0,928.5862068965517,742.0,684.5503692830881,19.0,2327.0
0,2401.0,967.7142857142857,820.0,678.7785698876885,6.0,2337.0
0,2411.0,995.7037037037037,898.0,684.6484263942044,16.0,2347.0
0,2457.0,1067.8076923076924,1018.5,684.3783827021856,3.0,2393.0
0,2466.0,1110.48,1102.0,676.4830297945396,12.0,2402.0
0,2474.0,1108.76,1110.0,690.548899354709,3.0,2410.0
0,2475.0,1109.76,1111.0,690.548899354709,4.0,2411.0
0,2484.0,1075.9615384615386,1045.5,710.147735483975,4.0,2420.0
0,2501.0,1066.24,988.0,711.2785265984064,3.0,2437.0
0,2532.0,1033.5384615384614,951.0,749.9840116639016,10.0,2468.0
0,2567.0,1087.48,1054.0,758.7138654328126,7.0,2503.0
0,2570.0,1090.48,1057.0,758.7138654328126,10.0,2506.0
0,2572.0,1092.48,1059.0,758.7138654328126,12.0,2508.0
0,2583.0,1126.8333333333333,1144.5,765.5047717392463,23.0,2519.0
0,2618.0,1093.12,1105.0,805.6106910909263,19.0,2554.0
0,2626.0,1124.6666666666667,1187.5,813.7502517494063,27.0,2562.0
0,2632.0,1085.48,1119.0,827.4695943658594,1.0,2568.0
0,2640.0,1057.2083333333333,1059.0,824.829981428833,9.0,2576.0
0,2672.0,1056.4782608695652,1023.0,827.1726001246507,23.0,2608.0
0,2688.0,1095.6363636363637,1107.0,838.4392180200359,39.0,2624.0
0,2693.0,1150.095238095238,1180.0,826.2200735744226,44.0,2629.0
0,2711.0,1159.5238095238096,1198.0,837.1938171823443,9.0,2647.0
0,2719.0,1156.4285714285713,1206.0,850.8322856070358,8.0,2655.0
0,2755.0,989.5652173913044,851.0,863.1206689825893,6.0,2691.0
0,2776.0,967.6666666666666,801.0,869.5994128843977,1.0,2712.0
0,2778.0,969.6666666666666,803.0,869.5994128843977,3.0,2714.0
0,2788.0,1018.5217391304348,884.0,867.6683332264305,13.0,2724.0
0,2792.0,979.9583333333334,817.0,873.5831137317285,1.0,2728.0
0,2828.0,967.2,782.0,886.4910603046146,6.0,2764.0
0,2829.0,968.2,783.0,886.4910603046146,7.0,2765.0
0,2834.0,918.875,625.0,863.0357424280488,3.0,2770.0
0,2869.0,912.64,497.0,868.9490608775639,5.0,2805.0
0,2933.0,920.3461538461538,442.5,885.5296086917832,12.0,2869.0
0,2937.0,924.3461538461538,446.5,885.5296086917832,1.0,2873.0
0,2963.0,847.7777777777778,368.0,882.9690793350175,3.0,2899.0
0,2991.0,835.8888888888889,280.0,896.7456525861157,10.0,2927.0
0,2993.0,837.8888888888889,282.0,896.7456525861157,12.0,2929.0
0,3001.0,854.8846153846154,279.0,916.1151391745756,4.0,2937.0
0,3023.0,905.2,312.0,923.0340405423844,26.0,2959.0
0,3056.0,916.08,323.0,937.7422212953835,20.0,2992.0
0,3062.0,945.875,316.0,949.6554336749374,26.0,2998.0
0,3068.0,951.875,322.0,949.6554336749374,3.0,3004.0
0,3077.0,925.8695652173913,318.0,954.8020648211689,12.0,3013.0
0,3080.0,890.2083333333334,313.0,952.9111089693635,1.0,3016.0
0,3104.0,877.5,291.5,977.0546299977294,3.0,3040.0
0,3125.0,858.48,303.0,976.642744098373,11.0,3061.0
0,3133.0,833.3846153846154,301.5,971.8682277299768,6.0,3069.0
0,3137.0,837.3846153846154,305.5,971.8682277299768,10.0,3073.0
0,3138.0,869.8,316.0,978.0842908461417,11.0,3074.0
0,3175.0,875.3333333333334,343.5,985.7765833200858,23.0,3111.0
0,3193.0,915.2173913043479,352.0,1001.255123485637,5.0,3129.0
0,3198.0,956.6363636363636,366.5,1008.7490698634688,10.0,3134.0
0,3201.0,959.6363636363636,369.5,1008.7490698634688,13.0,3137.0
0,3212.0,899.8636363636364,353.0,1019.2706525860245,6.0,3148.0
0,3213.0,900.8636363636364,354.0,1019.2706525860245,7.0,3149.0
0,3221.0,822.9,325.0,932.0533729352627,15.0,2647.0
0,3234.0,835.9,338.0,932.0533729352627,28.0,2660.0
0,3282.0,926.421052631579,405.0,937.1685977503824,18.0,2708.0
0,3286.0,952.8333333333334,390.0,957.8803132147797,1.0,2712.0
0,3290.0,980.3529411764706,375.0,980.5866756048148,5.0,2716.0
0,3294.0,984.3529411764706,379.0,980.5866756048148,9.0,2720.0
0,3307.0,987.1176470588235,392.0,989.9283326616268,2.0,2733.0
0,3319.0,894.578947368421,378.0,984.7312385561685,5.0,2745.0
0,3352.0,860.2,383.5,993.702047899671,27.0,2778.0
0,3355.0,863.2,386.5,993.702047899671,30.0,2781.0
0,3366.0,906.7368421052631,410.0,1009.0795619409154,41.0,2792.0
0,3379.0,874.35,410.5,1003.2291998840544,12.0,2805.0
0,3386.0,906.421052631579,430.0,1023.1665150167512,5.0,2812.0
0,3395.0,911.578947368421,439.0,1026.4245205561351,8.0,2821.0
0,3397.0,913.578947368421,441.0,1026.4245205561351,10.0,2823.0
0,3410.0,834.1764705882352,386.0,973.5237533157042,3.0,2771.0
0,3414.0,838.1764705882352,390.0,973.5237533157042,7.0,2775.0
0,3436.0,907.1333333333333,355.0,1027.3024784464517,2.0,2797.0
0,3477.0,757.3529411764706,176.0,1015.1371359793171,18.0,2838.0
0,3521.0,730.5555555555555,203.0,1016.0397642165073,2.0,2882.0
0,3558.0,736.1111111111111,233.5,1029.3479537437975,36.0,2919.0
0,3559.0,698.3684210526316,234.0,1015.2876289648592,1.0,2920.0
0,3563.0,702.3684210526316,238.0,1015.2876289648592,5.0,2924.0
0,3582.0,735.4444444444445,236.0,1041.3028283102442,24.0,2943.0
0,3599.0,713.6842105263158,232.0,1026.783790731324,16.0,2960.0
0,3602.0,716.6842105263158,235.0,1026.783790731324,19.0,2963.0
0,3627.0,685.3,215.5,1024.1096669790788,15.0,2988.0
0,3652.0,682.15,208.0,1035.2290700613075,8.0,3013.0
0,3657.0,711.6842105263158,205.0,1056.4402019409372,13.0,3018.0
0,3688.0,671.2380952380952,229.0,1028.6198754022607,7.0,3049.0
0,3701.0,653.6818181818181,212.0,1014.6786050211186,12.0,3062.0
0,3714.0,637.9130434782609,195.0,1001.5072516199067,5.0,3075.0
0,3758.0,706.0909090909091,269.0,1017.4297790864492,3.0,3119.0
0,3761.0,709.0909090909091,272.0,1017.4297790864492,6.0,3122.0
0,3775.0,613.4761904761905,256.0,905.6038563694403,20.0,3136.0
0,3776.0,586.5909090909091,255.5,893.962865767869,1.0,3137.0
0,3777.0,587.5909090909091,256.5,893.962865767869,2.0,3138.0
0,3786.0,570.7826086956521,264.0,882.6531622981554,2.0,3147.0
0,3802.0,593.6818181818181,262.0,901.8838055760457,18.0,3163.0
0,3813.0,585.4545454545455,242.5,909.9609745514429,3.0,3174.0
0,3829.0,604.952380952381,246.0,931.2302398640137,19.0,3190.0
0,3844.0,604.4761904761905,240.0,937.6845656569175,34.0,3205.0
0,3848.0,608.4761904761905,244.0,937.6845656569175,38.0,3209.0
0,3855.0,612.3809523809524,251.0,939.5820994154531,6.0,3216.0
0,3868.0,646.2,274.5,958.0465333166235,9.0,3229.0
0,3882.0,684.7894736842105,299.0,976.7642380489275,8.0,3243.0
0,3911.0,683.7368421052631,307.0,988.9419035730356,15.0,3272.0
0,3921.0,720.5,327.5,1009.3218983280034,1.0,3282.0
0,3935.0,601.7058823529412,331.0,872.4901324037244,6.0,3296.0
0,3958.0,624.125,334.0,899.3390541809024,29.0,3319.0
0,3973.0,618.9375,339.5,909.6400709037339,6.0,3334.0
0,3974.0,619.9375,340.5,909.6400709037339,7.0,3335.0
0,3983.0,657.5333333333333,379.0,932.4829840568435,16.0,3344.0
0,3995.0,638.0,332.0,946.3883628475857,3.0,3356.0
