,time,mean,median,sd,min,max
0,601.0,265.4,300.0,205.8231603424001,4.0,599.0
0,656.0,315.14285714285717,321.0,212.07204205271415,42.0,654.0
0,886.0,438.4375,382.0,257.28363938220014,8.0,884.0
0,915.0,477.4,422.0,262.7162728115638,37.0,913.0
0,974.0,512.1333333333333,481.0,290.0459427209573,31.0,972.0
0,1074.0,579.2857142857143,570.0,271.939706702851,60.0,1072.0
0,1169.0,533.5882352941177,578.0,359.04940817198195,10.0,1167.0
0,1201.0,506.8421052631579,491.0,380.370077847724,5.0,1199.0
0,1232.0,519.7894736842105,522.0,395.55418538223967,5.0,1230.0
0,1258.0,495.6666666666667,380.0,406.73278151085333,14.0,1256.0
0,1266.0,503.6666666666667,388.0,406.73278151085333,22.0,1264.0
0,1332.0,550.0,421.5,406.91620759070287,13.0,1330.0
0,1347.0,589.3157894736842,469.0,403.0762044487342,28.0,1345.0
0,1382.0,624.3157894736842,504.0,403.0762044487342,63.0,1380.0
0,1474.0,650.3684210526316,531.0,406.7962389887616,4.0,1472.0
0,1483.0,641.0,474.5,410.202524506019,8.0,1481.0
0,1488.0,660.2941176470588,545.0,417.7156033230212,13.0,1486.0
0,1516.0,703.6875,605.5,425.86789600033245,41.0,1514.0
0,1562.0,687.4705882352941,619.0,468.26376650057074,25.0,1560.0
0,1574.0,699.4705882352941,631.0,468.26376650057074,37.0,1572.0
0,1589.0,731.4375,678.5,477.5787852216114,52.0,1587.0
0,1672.0,705.7222222222222,642.0,531.5500191322602,1.0,1670.0
0,1753.0,658.2105263157895,562.0,509.6022782469284,3.0,1517.0
0,1786.0,627.0952380952381,553.0,523.4638209867862,16.0,1550.0
0,1801.0,642.0952380952381,568.0,523.4638209867862,7.0,1565.0
0,1826.0,624.2,489.5,499.0742028997292,32.0,1590.0
0,1840.0,655.421052631579,607.0,506.2143623104922,5.0,1604.0
0,1857.0,686.6111111111111,645.0,516.3946745238018,22.0,1621.0
0,1868.0,732.6470588235294,677.0,510.1511818801387,33.0,1632.0
0,1874.0,773.1875,720.0,506.199962804967,39.0,1638.0
0,1914.0,726.2777777777778,702.0,536.8378407712618,28.0,1678.0
0,1932.0,669.578947368421,395.0,569.0212571914462,9.0,1696.0
0,1978.0,667.15,414.5,586.763860083424,18.0,1742.0
0,1982.0,671.15,418.5,586.763860083424,1.0,1746.0
0,1985.0,704.1052631578947,448.0,586.9123394365001,4.0,1749.0
0,2014.0,683.0,450.5,605.8706132500569,3.0,1778.0
0,2024.0,706.6315789473684,487.0,618.6135780944111,2.0,1788.0
0,2087.0,732.1,512.0,624.7498619447626,19.0,1851.0
0,2102.0,781.5263157894736,565.0,622.215174189516,34.0,1866.0
0,2113.0,785.3333333333334,538.0,638.495975798682,45.0,1877.0
0,2114.0,786.3333333333334,539.0,638.495975798682,46.0,1878.0
0,2160.0,775.6315789473684,547.0,661.0696444341123,5.0,1924.0
0,2180.0,795.6315789473684,567.0,661.0696444341123,25.0,1944.0
0,2196.0,841.5555555555555,621.0,666.5419235145447,41.0,1960.0
0,2209.0,821.5,555.5,692.7820123723383,1.0,1973.0
0,2225.0,837.5,571.5,692.7820123723383,17.0,1989.0
0,2261.0,752.3809523809524,344.0,706.6838369111565,25.0,2025.0
0,2281.0,748.1904761904761,335.0,723.7067690220568,3.0,2045.0
0,2313.0,729.4545454545455,337.5,736.0869345441553,11.0,2077.0
0,2352.0,794.7619047619048,397.0,743.2357765212422,37.0,2116.0
0,2366.0,838.65,415.5,749.1729623391383,51.0,2130.0
0,2388.0,860.65,437.5,749.1729623391383,3.0,2152.0
0,2401.0,865.8,450.5,757.3249368666002,9.0,2165.0
0,2412.0,856.25,461.5,774.9217299185771,1.0,2176.0
0,2457.0,860.0,502.0,778.4211737931618,20.0,2221.0
0,2474.0,894.9,467.0,793.4153325969949,37.0,2238.0
0,2480.0,900.9,473.0,793.4153325969949,43.0,2244.0
0,2501.0,878.7619047619048,433.0,797.9656816085158,4.0,2265.0
0,2502.0,879.7619047619048,434.0,797.9656816085158,5.0,2266.0
0,2532.0,952.9,525.0,793.4153325969949,15.0,2296.0
0,2580.0,969.55,442.0,819.259511693334,7.0,2344.0
0,2590.0,1022.2631578947369,522.0,818.5496057440331,17.0,2354.0
0,2615.0,1047.2631578947369,547.0,818.5496057440331,42.0,2379.0
0,2626.0,1095.3333333333333,823.5,825.3103793253919,53.0,2390.0
0,2637.0,1048.2105263157894,569.0,840.2955356644576,2.0,2401.0
0,2639.0,1050.2105263157894,571.0,840.2955356644576,4.0,2403.0
0,2657.0,1047.5882352941176,589.0,839.9628884535547,18.0,2421.0
0,2659.0,1049.5882352941176,591.0,839.9628884535547,20.0,2423.0
0,2671.0,1090.25,798.5,857.7110891786348,32.0,2435.0
0,2711.0,1047.8235294117646,503.0,889.3055608860418,19.0,2475.0
0,2725.0,1095.875,817.5,905.8597349341674,2.0,2489.0
0,2776.0,1045.625,496.5,933.0862684527085,16.0,2540.0
0,2785.0,844.35,439.0,934.5493178532635,2.0,2549.0
0,2810.0,887.4736842105264,403.0,955.3955019241785,14.0,2574.0
0,2818.0,895.4736842105264,411.0,955.3955019241785,22.0,2582.0
0,2832.0,909.4736842105264,425.0,955.3955019241785,7.0,2596.0
0,2864.0,854.6666666666666,291.0,947.3310043200486,1.0,2628.0
0,2867.0,857.6666666666666,294.0,947.3310043200486,4.0,2631.0
0,2940.0,944.1,336.0,968.7715365348015,28.0,2704.0
0,2947.0,822.8,288.5,902.9603867280115,35.0,2711.0
0,2986.0,900.6842105263158,351.0,909.9507246711988,18.0,2750.0
0,2991.0,905.6842105263158,356.0,909.9507246711988,23.0,2755.0
0,2993.0,907.6842105263158,358.0,909.9507246711988,25.0,2757.0
0,3001.0,940.3888888888889,397.0,931.5947580412185,6.0,2765.0
0,3004.0,983.1764705882352,431.0,943.6233193696156,9.0,2768.0
0,3019.0,943.5555555555555,415.0,944.2856925400291,15.0,2783.0
0,3057.0,958.9444444444445,429.5,962.118118887363,9.0,2821.0
0,3066.0,995.8823529411765,384.0,982.8901489905669,5.0,2830.0
0,3069.0,998.8823529411765,387.0,982.8901489905669,8.0,2833.0
0,3073.0,1047.3125,528.5,996.4406479282898,12.0,2837.0
0,3104.0,875.8235294117648,323.0,961.6085931943362,1.0,2868.0
0,3133.0,942.75,401.5,978.7906760385491,30.0,2897.0
0,3153.0,939.8125,421.5,996.528801562579,4.0,2917.0
0,3159.0,945.8125,427.5,996.528801562579,10.0,2923.0
0,3175.0,961.8125,443.5,996.528801562579,26.0,2939.0
0,3193.0,1017.8,511.0,1017.9319689121338,44.0,2957.0
0,3203.0,907.2941176470588,422.0,1011.5308005956286,1.0,2967.0
0,3208.0,827.75,320.0,982.6663663217541,6.0,2972.0
0,3221.0,747.7222222222222,221.5,963.106536483521,2.0,2985.0
0,3227.0,771.8235294117648,223.0,988.0483576695149,8.0,2991.0
0,3232.0,776.8235294117648,228.0,988.0483576695149,5.0,2996.0
0,3238.0,782.8235294117648,234.0,988.0483576695149,11.0,3002.0
0,3257.0,758.0555555555555,234.0,977.0208955016845,14.0,3021.0
0,3268.0,779.8235294117648,226.0,1004.3076769768326,25.0,3032.0
0,3280.0,738.1111111111111,220.0,999.0713960078066,1.0,3044.0
0,3290.0,748.1111111111111,230.0,999.0713960078066,11.0,3054.0
0,3292.0,750.1111111111111,232.0,999.0713960078066,13.0,3056.0
0,3318.0,770.0,258.0,1003.4174383353896,6.0,3082.0
0,3329.0,807.2941176470588,251.0,1026.4638192933735,10.0,3093.0
0,3330.0,808.2941176470588,252.0,1026.4638192933735,11.0,3094.0
0,3349.0,778.2777777777778,235.5,1017.5869499051587,6.0,3113.0
0,3358.0,821.2941176470588,280.0,1037.0949678396569,15.0,3122.0
0,3375.0,838.2941176470588,297.0,1037.0949678396569,32.0,3139.0
