,time,mean,median,sd,min,max
0,307.0,174.69230769230768,170.0,72.94295412315722,15.0,272.0
0,656.0,387.0,440.0,180.8294022753842,79.0,621.0
0,858.0,540.4347826086956,566.0,222.0389362813485,73.0,823.0
0,876.0,558.4347826086956,584.0,222.0389362813485,11.0,841.0
0,884.0,571.8636363636364,622.0,225.53135146996254,7.0,849.0
0,909.0,571.0434782608696,617.0,251.634392869612,3.0,874.0
0,970.0,632.0434782608696,678.0,251.634392869612,20.0,935.0
0,1161.0,766.4,834.0,308.9649818345115,13.0,1126.0
0,1168.0,773.4,841.0,308.9649818345115,20.0,1133.0
0,1246.0,846.4,919.0,321.2372332093526,13.0,1211.0
0,1394.0,881.3928571428571,995.0,439.30174622313297,8.0,1359.0
0,1418.0,869.1428571428571,985.0,469.13131837210676,6.0,1383.0
0,1419.0,870.1428571428571,986.0,469.13131837210676,7.0,1384.0
0,1452.0,917.9615384615385,1088.0,481.5162335125314,28.0,1417.0
0,1483.0,948.9615384615385,1119.0,481.5162335125314,22.0,1448.0
0,1507.0,972.9615384615385,1143.0,481.5162335125314,46.0,1472.0
0,1541.0,1006.9615384615385,1177.0,481.5162335125314,9.0,1506.0
0,1572.0,1067.2,1245.0,467.8729742141557,11.0,1537.0
0,1697.0,1127.72,1296.0,511.7065971824088,21.0,1662.0
0,1747.0,1208.8333333333333,1383.0,498.5507050998479,10.0,1712.0
0,1769.0,1227.6521739130435,1442.0,509.0349444480087,7.0,1734.0
0,1875.0,1129.076923076923,1360.5,642.5293721557329,6.0,1840.0
0,1926.0,1097.0,1378.5,687.8068665797731,16.0,1891.0
0,1931.0,1086.148148148148,1366.0,695.3875393649054,21.0,1896.0
0,1976.0,988.0645161290323,1191.0,747.9181400559595,6.0,1941.0
0,2023.0,1028.8709677419354,1238.0,755.4488408175711,14.0,1988.0
0,2029.0,1029.3870967741937,1244.0,762.2859372676945,1.0,1994.0
0,2044.0,1078.6666666666667,1282.5,751.0135965628201,35.0,2009.0
0,2052.0,1086.6666666666667,1290.5,751.0135965628201,43.0,2017.0
0,2077.0,1076.032258064516,1292.0,764.1475741559673,4.0,2042.0
0,2083.0,1104.5333333333333,1321.5,766.6096239648675,1.0,2048.0
0,2107.0,1092.6451612903227,1322.0,779.340355825696,16.0,2072.0
0,2205.0,1122.5757575757575,972.0,801.485818332466,24.0,2170.0
0,2213.0,1097.5588235294117,906.5,812.0713599177204,8.0,2178.0
0,2266.0,1086.8529411764705,883.0,811.8913695937167,12.0,2231.0
0,2267.0,1087.8529411764705,884.0,811.8913695937167,13.0,2232.0
0,2316.0,1117.1764705882354,933.0,826.7732269843597,20.0,2281.0
0,2369.0,1193.3636363636363,989.0,828.2438090094815,1.0,2334.0
0,2401.0,1253.3125,1094.5,825.619367410764,6.0,2366.0
0,2409.0,1287.516129032258,1176.0,825.629334584807,14.0,2374.0
0,2411.0,1289.516129032258,1178.0,825.629334584807,16.0,2376.0
0,2432.0,1301.6774193548388,1199.0,837.8511449553661,2.0,2397.0
0,2479.0,1164.7941176470588,1020.0,883.4954235845308,26.0,2444.0
0,2501.0,1153.2571428571428,969.0,892.4702265656388,1.0,2466.0
0,2532.0,1184.2571428571428,1000.0,892.4702265656388,8.0,2497.0
0,2607.0,1194.1351351351352,752.0,909.7617793972271,14.0,2572.0
0,2608.0,1195.1351351351352,753.0,909.7617793972271,15.0,2573.0
0,2627.0,1214.1351351351352,772.0,909.7617793972271,34.0,2592.0
0,2632.0,1219.1351351351352,777.0,909.7617793972271,39.0,2597.0
0,2634.0,1221.1351351351352,779.0,909.7617793972271,41.0,2599.0
0,2636.0,1223.1351351351352,781.0,909.7617793972271,43.0,2601.0
0,2653.0,1234.6857142857143,798.0,914.4014051804154,7.0,2618.0
0,2676.0,1257.6857142857143,821.0,914.4014051804154,5.0,2641.0
0,2682.0,1286.8235294117646,988.5,917.5971008271367,3.0,2647.0
0,2684.0,1288.8235294117646,990.5,917.5971008271367,5.0,2649.0
0,2692.0,1296.8235294117646,998.5,917.5971008271367,1.0,2657.0
0,2708.0,1312.8235294117646,1014.5,917.5971008271367,17.0,2673.0
0,2757.0,1361.8235294117646,1063.5,917.5971008271367,1.0,2722.0
0,2775.0,1405.060606060606,1243.0,919.6978732959466,19.0,2740.0
0,2793.0,1381.34375,1099.5,902.6887825191678,18.0,2744.0
0,2816.0,1420.3548387096773,1284.0,912.6494768737214,12.0,2767.0
0,2879.0,1315.3142857142857,997.0,978.0504740533171,7.0,2830.0
0,2883.0,1319.3142857142857,1001.0,978.0504740533171,3.0,2834.0
0,2894.0,1355.2941176470588,1025.5,981.2633672199073,11.0,2845.0
0,2961.0,1381.8857142857144,1079.0,995.4313285184057,8.0,2912.0
0,2964.0,1346.4722222222222,1068.0,1007.4744961236022,1.0,2915.0
0,2995.0,1404.0,1113.0,1009.292312181447,9.0,2946.0
0,3003.0,1401.4705882352941,1107.0,1022.1308548464164,17.0,2954.0
0,3049.0,1362.4705882352941,1128.0,1017.377257672426,13.0,3000.0
0,3086.0,1287.7567567567567,1127.0,1045.265526990059,12.0,3037.0
0,3129.0,1330.7567567567567,1170.0,1045.265526990059,24.0,3080.0
0,3132.0,1333.7567567567567,1173.0,1045.265526990059,27.0,3083.0
0,3149.0,1308.9166666666667,1169.0,1028.6678379502946,5.0,3100.0
0,3166.0,1342.9714285714285,1207.0,1038.2289999448728,22.0,3117.0
0,3195.0,1334.4444444444443,1215.0,1047.5050634840345,21.0,3146.0
0,3209.0,1348.4444444444443,1229.0,1047.5050634840345,1.0,3160.0
0,3231.0,1387.0,1272.0,1057.7098981154656,5.0,3182.0
0,3233.0,1389.0,1274.0,1057.7098981154656,7.0,3184.0
0,3252.0,1388.0,1293.0,1069.1387924754006,15.0,3203.0
0,3254.0,1390.0,1295.0,1069.1387924754006,1.0,3205.0
0,3257.0,1393.0,1298.0,1069.1387924754006,4.0,3208.0
0,3261.0,1415.3125,1315.5,1080.60716259136,8.0,3212.0
0,3282.0,1437.8666666666666,1336.5,1080.3627086410481,6.0,3233.0
0,3283.0,1438.8666666666666,1337.5,1080.3627086410481,7.0,3234.0
0,3287.0,1477.7586206896551,1355.0,1082.084949663266,3.0,3238.0
0,3307.0,1497.7586206896551,1375.0,1082.084949663266,3.0,3258.0
0,3328.0,1518.7586206896551,1396.0,1082.084949663266,24.0,3279.0
0,3342.0,1434.483870967742,1383.0,1111.4884780494256,5.0,3293.0
0,3398.0,1402.121212121212,1397.0,1132.0651217368531,7.0,3349.0
0,3414.0,1376.6764705882354,1187.0,1140.421483502745,9.0,3365.0
0,3425.0,1387.6764705882354,1198.0,1140.421483502745,20.0,3376.0
0,3428.0,1390.6764705882354,1201.0,1140.421483502745,23.0,3379.0
0,3431.0,1393.6764705882354,1204.0,1140.421483502745,26.0,3382.0
0,3458.0,1451.969696969697,1457.0,1143.0997592895324,53.0,3409.0
0,3461.0,1454.969696969697,1460.0,1143.0997592895324,56.0,3412.0
0,3485.0,1513.5483870967741,1484.0,1159.9485761324042,9.0,3436.0
0,3487.0,1515.5483870967741,1486.0,1159.9485761324042,1.0,3438.0
0,3524.0,1458.8484848484848,1071.0,1183.2257429845502,1.0,3475.0
0,3534.0,1468.8484848484848,1081.0,1183.2257429845502,11.0,3485.0
0,3601.0,1492.6176470588234,1130.5,1191.8556469715588,3.0,3552.0
0,3612.0,1531.6060606060605,1159.0,1198.7209835182268,5.0,3563.0
0,3614.0,1533.6060606060605,1161.0,1198.7209835182268,7.0,3565.0
0,3639.0,1513.0294117647059,1168.5,1209.6354454543955,9.0,3590.0
0,3666.0,1553.1515151515152,1213.0,1225.4400847391857,13.0,3617.0
0,3676.0,1607.59375,1449.0,1217.9708242445454,6.0,3627.0
0,3681.0,1612.59375,1454.0,1217.9708242445454,2.0,3632.0
0,3699.0,1613.2903225806451,1246.0,1233.582252538239,9.0,3650.0
0,3708.0,1622.2903225806451,1255.0,1233.582252538239,18.0,3659.0
0,3724.0,1638.2903225806451,1271.0,1233.582252538239,34.0,3675.0
0,3732.0,1594.9375,1261.5,1247.3659230930393,3.0,3683.0
