,time,mean,median,sd,min,max
0,808.0,430.2,389.0,223.77703188665276,64.0,680.0
0,884.0,506.2,465.0,223.77703188665276,62.0,756.0
0,909.0,531.2,490.0,223.77703188665274,87.0,781.0
0,970.0,592.2,551.0,223.77703188665274,148.0,842.0
0,1167.0,789.2,748.0,223.77703188665274,178.0,1039.0
0,1189.0,811.2,770.0,223.77703188665274,200.0,1061.0
0,1201.0,823.2,782.0,223.77703188665274,212.0,1073.0
0,1213.0,697.0,783.5,370.4407285023251,6.0,1085.0
0,1245.0,729.0,815.5,370.4407285023251,38.0,1117.0
0,1256.0,740.0,826.5,370.4407285023251,49.0,1128.0
0,1329.0,813.0,899.5,370.4407285023251,1.0,1201.0
0,1333.0,817.0,903.5,370.4407285023251,5.0,1205.0
0,1445.0,768.8333333333334,853.0,484.170223739085,65.0,1317.0
0,1456.0,779.8333333333334,864.0,484.170223739085,76.0,1328.0
0,1469.0,792.8333333333334,877.0,484.170223739085,89.0,1341.0
0,1485.0,761.6,741.0,517.6089643736863,105.0,1357.0
0,1488.0,764.6,744.0,517.6089643736863,108.0,1360.0
0,1509.0,785.6,765.0,517.6089643736863,129.0,1381.0
0,1562.0,838.6,818.0,517.6089643736863,28.0,1434.0
0,1635.0,911.6,891.0,517.6089643736863,101.0,1507.0
0,1668.0,944.6,924.0,517.6089643736863,134.0,1540.0
0,1763.0,1039.6,1019.0,517.6089643736863,229.0,1635.0
0,1779.0,1176.5,1328.0,511.67836577287494,245.0,1651.0
0,1813.0,1210.5,1362.0,511.67836577287494,279.0,1685.0
0,1815.0,1212.5,1364.0,511.67836577287494,281.0,1687.0
0,1856.0,840.3333333333334,794.0,718.3032476298263,11.0,1728.0
0,1857.0,841.3333333333334,795.0,718.3032476298263,12.0,1729.0
0,1932.0,916.3333333333334,870.0,718.3032476298263,31.0,1804.0
0,1940.0,792.7142857142857,560.0,739.0483676972153,3.0,1812.0
0,1954.0,806.7142857142857,574.0,739.0483676972153,17.0,1826.0
0,2013.0,759.875,403.5,745.8767387276533,19.0,1885.0
0,2060.0,806.875,450.5,745.8767387276533,30.0,1932.0
0,2083.0,829.875,473.5,745.8767387276533,53.0,1955.0
0,2088.0,834.875,478.5,745.8767387276533,58.0,1960.0
0,2102.0,848.875,492.5,745.8767387276533,72.0,1974.0
0,2107.0,853.875,497.5,745.8767387276533,77.0,1979.0
0,2144.0,890.875,534.5,745.8767387276533,13.0,2016.0
0,2167.0,913.875,557.5,745.8767387276533,36.0,2039.0
0,2213.0,959.875,603.5,745.8767387276533,25.0,2085.0
0,2255.0,1001.875,645.5,745.8767387276533,67.0,2127.0
0,2321.0,1067.875,711.5,745.8767387276533,33.0,2193.0
0,2401.0,1147.875,791.5,745.8767387276533,20.0,2273.0
0,2424.0,1170.875,814.5,745.8767387276533,43.0,2296.0
0,2436.0,1182.875,826.5,745.8767387276533,55.0,2308.0
0,2442.0,1272.5714285714287,1062.0,761.4245778506903,61.0,2314.0
0,2445.0,1275.5714285714287,1065.0,761.4245778506903,64.0,2317.0
0,2515.0,1182.125,902.5,833.2464277601194,38.0,2387.0
0,2523.0,1190.125,910.5,833.2464277601194,46.0,2395.0
0,2529.0,1196.125,916.5,833.2464277601194,52.0,2401.0
0,2532.0,1199.125,919.5,833.2464277601194,55.0,2404.0
0,2575.0,1098.375,705.5,818.3193046574179,98.0,2447.0
0,2617.0,1137.625,747.5,813.8070928512482,140.0,2467.0
0,2652.0,1172.625,782.5,813.8070928512482,175.0,2502.0
0,2653.0,1173.625,783.5,813.8070928512482,176.0,2503.0
0,2658.0,1178.625,788.5,813.8070928512482,181.0,2508.0
0,2680.0,1200.625,810.5,813.8070928512482,6.0,2530.0
0,2682.0,1202.625,812.5,813.8070928512482,8.0,2532.0
0,2684.0,1204.625,814.5,813.8070928512482,10.0,2534.0
