,time,mean,median,sd,min,max
0,601.0,316.6923076923077,392.0,179.97067479726314,2.0,540.0
0,733.0,397.42857142857144,503.0,225.61969084714036,5.0,672.0
0,808.0,413.875,457.0,261.28884280619405,6.0,747.0
0,888.0,512.8666666666667,637.0,258.94474743122754,14.0,827.0
0,913.0,537.8666666666667,662.0,258.94474743122754,39.0,852.0
0,970.0,561.0625,619.0,282.84701446851085,49.0,909.0
0,1201.0,612.4545454545455,622.0,380.8808841801913,32.0,1140.0
0,1242.0,632.2272727272727,663.0,402.10004768354287,10.0,1181.0
0,1245.0,635.2272727272727,666.0,402.10004768354287,13.0,1184.0
0,1322.0,613.44,560.0,449.34967052396956,27.0,1261.0
0,1329.0,634.4166666666666,648.5,453.259943508015,7.0,1268.0
0,1333.0,638.4166666666666,652.5,453.259943508015,11.0,1272.0
0,1397.0,702.4166666666666,716.5,453.259943508015,7.0,1336.0
0,1415.0,720.4166666666666,734.5,453.259943508015,14.0,1354.0
0,1446.0,751.4166666666666,765.5,453.259943508015,45.0,1385.0
0,1452.0,727.0,613.0,467.41371752798756,51.0,1391.0
0,1485.0,784.5217391304348,723.0,462.1070711205187,84.0,1424.0
0,1514.0,787.0909090909091,675.0,455.1723858346926,2.0,1453.0
0,1576.0,849.0909090909091,737.0,455.1723858346926,13.0,1515.0
0,1653.0,886.9565217391304,737.0,481.52569828581403,26.0,1592.0
0,1680.0,887.0454545454545,730.5,475.1312237183178,14.0,1619.0
0,1767.0,952.9545454545455,817.5,505.97938129682774,14.0,1706.0
0,1809.0,994.9545454545455,859.5,505.97938129682774,10.0,1748.0
0,1818.0,942.1363636363636,818.0,539.7969563940051,6.0,1757.0
0,1839.0,963.1363636363636,839.0,539.7969563940051,27.0,1778.0
0,1851.0,994.0,868.0,545.3692501852474,39.0,1790.0
0,1856.0,953.7727272727273,856.0,571.7200468616358,4.0,1795.0
0,1931.0,936.75,870.0,623.5380401386911,31.0,1870.0
0,1947.0,952.75,886.0,623.5380401386911,47.0,1886.0
0,1960.0,965.75,899.0,623.5380401386911,7.0,1899.0
0,2044.0,1039.125,983.0,638.3726258032999,16.0,1983.0
0,2055.0,1050.125,994.0,638.3726258032999,11.0,1994.0
0,2083.0,1078.125,1022.0,638.3726258032999,2.0,2022.0
0,2097.0,1137.7727272727273,1097.0,637.6844426102203,16.0,2036.0
0,2115.0,1116.5714285714287,1098.0,626.2563427245436,34.0,2054.0
0,2165.0,1114.6818181818182,1104.0,656.4396660196327,25.0,2104.0
0,2172.0,1157.904761904762,1155.0,650.0511265432755,32.0,2111.0
0,2185.0,1214.95,1185.0,634.7874821544609,45.0,2124.0
0,2315.0,1174.5217391304348,1210.0,737.663990290219,4.0,2254.0
0,2320.0,1172.3636363636363,1204.5,753.4611376510492,5.0,2259.0
0,2355.0,1262.2380952380952,1250.0,726.9736292303676,2.0,2294.0
0,2375.0,1258.2857142857142,1270.0,759.4519416662782,11.0,2314.0
0,2380.0,1263.2857142857142,1275.0,759.4519416662782,2.0,2319.0
0,2401.0,1226.2272727272727,1285.5,788.2493221066877,2.0,2340.0
0,2453.0,1260.3181818181818,1337.5,811.1209071606144,2.0,2392.0
0,2457.0,1264.3181818181818,1341.5,811.1209071606144,6.0,2396.0
0,2460.0,1267.3181818181818,1344.5,811.1209071606144,9.0,2399.0
0,2516.0,1320.1363636363637,1400.5,815.950048351588,1.0,2455.0
0,2533.0,1337.1363636363637,1417.5,815.950048351588,18.0,2472.0
0,2534.0,1338.1363636363637,1418.5,815.950048351588,19.0,2473.0
0,2585.0,1275.75,1410.0,867.0147658296637,26.0,2524.0
0,2612.0,1348.608695652174,1486.0,856.6944429725443,53.0,2551.0
0,2633.0,1421.3636363636363,1517.5,840.046673240922,74.0,2572.0
0,2640.0,1428.3636363636363,1524.5,840.046673240922,1.0,2579.0
0,2658.0,1446.3636363636363,1542.5,840.046673240922,8.0,2597.0
0,2675.0,1400.304347826087,1549.0,873.2005315172258,7.0,2614.0
0,2708.0,1433.304347826087,1582.0,873.2005315172258,6.0,2647.0
0,2741.0,1252.2962962962963,1476.0,955.4426088861494,13.0,2680.0
0,2745.0,1256.2962962962963,1480.0,955.4426088861494,17.0,2684.0
0,2768.0,1341.4,1544.0,966.3128271941753,5.0,2707.0
0,2774.0,1347.4,1550.0,966.3128271941753,1.0,2713.0
0,2779.0,1350.04,1555.0,969.5330207888745,1.0,2718.0
0,2800.0,1261.56,1535.0,963.3932978799467,2.0,2676.0
0,2849.0,1353.0416666666667,1604.5,960.0423375719196,11.0,2725.0
0,2875.0,1362.9565217391305,1610.0,977.5197308477192,18.0,2751.0
0,2882.0,1352.0,1617.0,998.4117822604668,5.0,2758.0
0,2957.0,1399.090909090909,1687.0,1012.038173421739,53.0,2833.0
0,2975.0,1352.857142857143,1700.0,991.071247533231,71.0,2851.0
0,2987.0,1364.857142857143,1712.0,991.071247533231,83.0,2863.0
0,3001.0,1378.857142857143,1726.0,991.071247533231,97.0,2877.0
0,3030.0,1454.5,1760.0,992.7973861770588,126.0,2906.0
0,3040.0,1464.5,1770.0,992.7973861770588,7.0,2916.0
0,3056.0,1495.0526315789473,1791.0,1016.5073574530745,5.0,2932.0
0,3062.0,1565.888888888889,1817.5,1005.3959357657665,11.0,2938.0
0,3092.0,1595.888888888889,1847.5,1005.3959357657665,41.0,2968.0
0,3133.0,1584.1176470588234,1868.0,1010.0270166656254,100.0,3009.0
0,3160.0,1442.157894736842,1885.0,1074.9061287366296,1.0,3036.0
0,3189.0,1558.3529411764705,1924.0,1098.7061343007845,30.0,3065.0
0,3192.0,1561.3529411764705,1927.0,1098.7061343007845,33.0,3068.0
0,3214.0,1496.0555555555557,1944.0,1126.7853227568448,12.0,3090.0
0,3256.0,1596.8235294117646,1991.0,1132.3268201723656,7.0,3132.0
0,3276.0,1448.4736842105262,2001.0,1178.178092534627,1.0,3152.0
0,3284.0,1536.0,2014.0,1159.7655893421836,9.0,3160.0
0,3286.0,1538.0,2016.0,1159.7655893421836,11.0,3162.0
0,3292.0,1462.9473684210527,2017.0,1180.0488604373086,4.0,3168.0
0,3296.0,1466.9473684210527,2021.0,1180.0488604373086,8.0,3172.0
0,3309.0,1370.421052631579,647.0,1214.8683842852006,4.0,3185.0
0,3314.0,1375.421052631579,652.0,1214.8683842852006,9.0,3190.0
0,3365.0,1235.090909090909,609.5,1227.4050568389064,12.0,3241.0
0,3367.0,1237.090909090909,611.5,1227.4050568389064,14.0,3243.0
0,3375.0,1270.4285714285713,577.0,1250.6552024335683,22.0,3251.0
0,3387.0,1321.05,631.5,1269.2601969257526,2.0,3263.0
