,time,mean,median,sd,min,max
0,582.0,238.16666666666666,189.5,173.5227330607978,20.0,558.0
0,732.0,285.94117647058823,238.0,213.63753541873766,1.0,708.0
0,733.0,286.94117647058823,239.0,213.63753541873766,2.0,709.0
0,853.0,397.8235294117647,359.0,224.98241376869953,28.0,829.0
0,885.0,400.11764705882354,387.0,244.77189437681895,6.0,861.0
0,909.0,401.5,379.0,255.50195693966808,17.0,885.0
0,970.0,394.63157894736844,387.0,249.06059514785085,9.0,904.0
0,1161.0,542.7619047619048,535.0,271.3844408569309,10.0,1095.0
0,1201.0,582.7619047619048,575.0,271.3844408569309,26.0,1135.0
0,1218.0,614.4,613.5,269.87448934643675,43.0,1152.0
0,1262.0,601.7272727272727,604.5,313.5799422241309,2.0,1196.0
0,1329.0,638.5652173913044,640.0,337.2967763141374,12.0,1263.0
0,1333.0,642.5652173913044,644.0,337.2967763141374,16.0,1267.0
0,1415.0,695.125,722.5,359.114804356954,5.0,1349.0
0,1485.0,747.9166666666666,792.5,383.6730288351731,15.0,1419.0
0,1508.0,770.9166666666666,815.5,383.6730288351731,22.0,1442.0
0,1511.0,773.9166666666666,818.5,383.6730288351731,25.0,1445.0
0,1577.0,797.125,863.5,410.50825331735615,11.0,1511.0
0,1636.0,822.76,905.0,434.1586143335175,22.0,1570.0
0,1768.0,911.24,967.0,466.53199504428426,20.0,1702.0
0,1774.0,917.24,973.0,466.53199504428426,26.0,1708.0
0,1782.0,956.7916666666666,1016.0,449.2585539128764,3.0,1716.0
0,1801.0,1000.6521739130435,1070.0,442.4652881197872,15.0,1735.0
0,1812.0,1033.4545454545455,1098.5,440.16078955440486,3.0,1746.0
0,1841.0,1062.4545454545455,1127.5,440.16078955440486,2.0,1775.0
0,1856.0,1046.8095238095239,1125.0,426.9739167953738,4.0,1790.0
0,1878.0,1052.6666666666667,1147.0,458.8026168951538,18.0,1812.0
0,1901.0,1075.6666666666667,1170.0,458.8026168951538,41.0,1835.0
0,1932.0,1028.9545454545455,1166.0,541.748136488193,1.0,1866.0
0,1980.0,989.6666666666666,1140.0,594.0084642120477,14.0,1914.0
0,2020.0,1029.6666666666667,1180.0,594.0084642120477,17.0,1954.0
0,2031.0,1035.8260869565217,1230.0,606.3207396415454,7.0,1965.0
0,2055.0,975.56,1163.0,647.9774119519909,3.0,1989.0
