,time,mean,median,sd,min,max
0,611.0,309.0,346.0,162.06850403455942,5.0,593.0
0,639.0,295.4347826086956,323.0,185.36774872784912,8.0,621.0
0,656.0,305.54545454545456,316.0,186.6318026277036,25.0,638.0
0,859.0,413.1111111111111,416.0,239.25352016967324,26.0,841.0
0,884.0,438.1111111111111,441.0,239.25352016967324,20.0,866.0
0,903.0,457.1111111111111,460.0,239.25352016967324,8.0,885.0
0,909.0,465.38461538461536,493.5,243.52477001214365,6.0,891.0
0,970.0,508.81481481481484,527.0,255.21364137421068,5.0,952.0
0,1065.0,550.0,518.0,291.0578407579268,8.0,1047.0
0,1161.0,624.0666666666667,569.0,309.0426004435131,60.0,1143.0
0,1201.0,664.0666666666667,609.0,309.0426004435131,1.0,1183.0
0,1213.0,689.2068965517242,627.0,305.975024821482,13.0,1195.0
0,1248.0,700.4666666666667,656.0,326.87058941150127,12.0,1230.0
0,1257.0,728.551724137931,671.0,315.59703532182283,2.0,1239.0
0,1329.0,811.4285714285714,782.0,315.79711260005314,13.0,1311.0
0,1332.0,814.4285714285714,785.0,315.79711260005314,1.0,1314.0
0,1357.0,810.7931034482758,771.0,345.3239737536178,9.0,1339.0
0,1456.0,854.5333333333333,850.0,400.294452733096,18.0,1438.0
0,1484.0,854.5806451612904,870.0,422.5012902590376,7.0,1466.0
0,1508.0,878.5806451612904,894.0,422.5012902590376,31.0,1490.0
0,1572.0,862.5294117647059,948.0,478.51985239376233,2.0,1554.0
0,1580.0,870.5294117647059,956.0,478.51985239376233,10.0,1562.0
0,1594.0,884.5294117647059,970.0,478.51985239376233,24.0,1576.0
0,1636.0,901.0,1010.0,494.568960957779,10.0,1618.0
0,1763.0,986.0571428571428,1048.0,513.0530990540643,16.0,1745.0
0,1780.0,960.0857142857143,1054.0,531.6913374951175,3.0,1762.0
0,1801.0,1000.1470588235294,1080.5,527.5353421309626,9.0,1783.0
0,1812.0,1027.7272727272727,1097.0,526.6687345218672,11.0,1794.0
0,1841.0,1025.735294117647,1120.5,548.5602175547704,3.0,1823.0
0,1854.0,1005.5,1114.5,575.0695226512643,6.0,1836.0
0,1856.0,1007.5,1116.5,575.0695226512643,8.0,1838.0
0,1933.0,1073.8235294117646,1193.5,590.9044150128351,10.0,1915.0
0,1942.0,1082.8235294117646,1202.5,590.9044150128351,19.0,1924.0
0,2020.0,1098.611111111111,1257.0,628.9410534902553,9.0,2002.0
0,2030.0,1099.8285714285714,1257.0,635.6822874771995,19.0,2012.0
0,2055.0,1167.2121212121212,1302.0,629.8678436459007,13.0,2037.0
0,2081.0,1158.8529411764705,1318.0,651.1705809022133,10.0,2063.0
0,2085.0,1188.7575757575758,1332.0,643.4723054624444,14.0,2067.0
0,2109.0,1177.4705882352941,1346.0,665.5592621907454,11.0,2091.0
0,2153.0,1211.3636363636363,1380.0,672.9928100017485,38.0,2135.0
0,2168.0,1216.3939393939395,1395.0,688.4569016415004,1.0,2150.0
0,2206.0,1189.9411764705883,1428.0,737.3254505774258,4.0,2188.0
0,2256.0,1178.9411764705883,1376.0,749.342807798017,21.0,2238.0
0,2266.0,1155.0,1289.0,764.6172151568952,1.0,2248.0
0,2307.0,1163.2222222222222,1317.5,778.4618777189595,1.0,2289.0
0,2334.0,1130.5833333333333,1323.5,783.8750033221708,16.0,2316.0
0,2355.0,1143.8333333333333,1344.5,793.5850616033546,5.0,2337.0
0,2401.0,1072.85,1006.0,830.6514175633483,1.0,2383.0
0,2416.0,1073.875,1021.0,843.8272686841781,12.0,2398.0
0,2438.0,1047.75,965.5,849.7555751508783,5.0,2420.0
0,2440.0,1049.75,967.5,849.7555751508783,7.0,2422.0
0,2457.0,1115.421052631579,1062.0,843.9972135018528,24.0,2439.0
0,2524.0,1146.871794871795,1105.0,859.8572684027179,11.0,2506.0
0,2532.0,1112.1538461538462,1006.0,862.8583250753707,19.0,2514.0
0,2540.0,1143.1052631578948,1067.5,862.3069666360936,8.0,2522.0
0,2588.0,1191.1052631578948,1115.5,862.3069666360936,37.0,2570.0
0,2611.0,1183.179487179487,1085.0,872.267539285995,8.0,2593.0
0,2612.0,1184.179487179487,1086.0,872.267539285995,9.0,2594.0
0,2627.0,1252.5675675675675,1208.0,863.6453395124938,24.0,2609.0
0,2640.0,1255.6944444444443,1167.5,873.4961622838943,37.0,2622.0
0,2657.0,1272.6944444444443,1184.5,873.4961622838943,14.0,2639.0
0,2662.0,1260.2285714285715,1136.0,879.6666279486398,19.0,2644.0
0,2679.0,1242.111111111111,1114.5,891.897875873496,13.0,2661.0
0,2684.0,1213.4864864864865,1081.0,902.5987292443974,3.0,2666.0
0,2716.0,1205.138888888889,964.5,881.5221101650692,24.0,2645.0
0,2727.0,1216.138888888889,975.5,881.5221101650692,11.0,2656.0
0,2729.0,1218.138888888889,977.5,881.5221101650692,13.0,2658.0
0,2758.0,1198.3428571428572,858.0,868.6552807268797,1.0,2617.0
0,2772.0,1212.3428571428572,872.0,868.6552807268797,15.0,2631.0
0,2781.0,1237.1176470588234,1029.5,876.3820267140379,6.0,2640.0
0,2792.0,1225.060606060606,892.0,879.3430722710834,3.0,2651.0
0,2885.0,1167.0285714285715,903.0,888.862145368666,21.0,2712.0
0,2889.0,1171.0285714285715,907.0,888.862145368666,25.0,2716.0
0,2891.0,1173.0285714285715,909.0,888.862145368666,27.0,2718.0
0,2961.0,1142.5142857142857,794.0,889.5690247507039,3.0,2704.0
0,2989.0,1170.5142857142857,822.0,889.5690247507039,1.0,2732.0
0,3001.0,1149.9444444444443,829.0,898.04197329661,10.0,2744.0
0,3010.0,1175.5714285714287,843.0,905.3006220734253,19.0,2753.0
0,3021.0,1153.6944444444443,849.0,913.5834760693264,3.0,2764.0
0,3023.0,1155.6944444444443,851.0,913.5834760693264,5.0,2766.0
0,3034.0,1135.1081081081081,857.0,920.6297722221599,11.0,2777.0
0,3057.0,1181.6944444444443,885.0,922.2357742478163,3.0,2800.0
0,3073.0,1187.25,901.0,933.3632249677626,16.0,2816.0
0,3093.0,1207.25,921.0,933.3632249677626,10.0,2836.0
0,3100.0,1236.5428571428572,933.0,937.1053407124712,5.0,2843.0
0,3113.0,1171.1142857142856,936.0,923.0933019373678,4.0,2856.0
0,3133.0,1119.7428571428572,842.0,914.8163388776738,13.0,2876.0
0,3160.0,1115.2777777777778,847.0,921.0286704160707,1.0,2903.0
0,3167.0,1122.2777777777778,854.0,921.0286704160707,8.0,2910.0
0,3209.0,1103.9736842105262,858.0,932.2593519549586,8.0,2952.0
0,3216.0,1107.6486486486488,849.0,944.5510936122619,15.0,2959.0
0,3228.0,1062.7435897435898,856.0,952.0140517695111,8.0,2971.0
0,3240.0,1074.7435897435898,868.0,952.0140517695111,20.0,2983.0
0,3241.0,1075.7435897435898,869.0,952.0140517695111,21.0,2984.0
0,3246.0,1049.4736842105262,867.5,944.4824463232454,5.0,2989.0
0,3249.0,1052.4736842105262,870.5,944.4824463232454,8.0,2992.0
0,3256.0,1078.6666666666667,877.5,954.8341333562715,15.0,2999.0
0,3262.0,1084.6666666666667,883.5,954.8341333562715,21.0,3005.0
0,3284.0,1077.2432432432433,899.0,958.2452827506148,18.0,3027.0
0,3295.0,1088.2432432432433,910.0,958.2452827506148,4.0,3038.0
0,3309.0,1073.578947368421,908.0,961.4940028162027,1.0,3052.0
0,3347.0,1083.974358974359,930.0,964.2213674755315,33.0,3090.0
0,3352.0,1088.974358974359,935.0,964.2213674755315,38.0,3095.0
0,3373.0,1102.179487179487,956.0,971.8073796637726,2.0,3116.0
0,3375.0,1104.179487179487,958.0,971.8073796637726,4.0,3118.0
0,3391.0,1118.4358974358975,974.0,973.7329648915571,4.0,3134.0
0,3417.0,1137.0,1000.0,981.2542470919029,7.0,3160.0
0,3426.0,1146.0,1009.0,981.2542470919029,16.0,3169.0
0,3431.0,1151.0,1014.0,981.2542470919029,21.0,3174.0
0,3453.0,1173.0,1036.0,981.2542470919029,4.0,3196.0
0,3455.0,1175.0,1038.0,981.2542470919029,6.0,3198.0
0,3482.0,1202.0,1065.0,981.2542470919029,4.0,3225.0
0,3528.0,1216.85,1018.0,988.2464153742225,2.0,3271.0
0,3540.0,1199.7,818.0,1006.4920317618019,5.0,3283.0
0,3567.0,1197.2926829268292,726.0,1011.3900659766324,11.0,3310.0
0,3581.0,1231.975,859.0,1015.3543836390324,14.0,3324.0
0,3587.0,1237.6153846153845,746.0,1028.2868405410916,20.0,3330.0
0,3588.0,1238.6153846153845,747.0,1028.2868405410916,21.0,3331.0
0,3601.0,1236.179487179487,760.0,1042.2263613520688,8.0,3344.0
0,3614.0,1276.6842105263158,892.0,1041.785514475866,4.0,3357.0
0,3615.0,1277.6842105263158,893.0,1041.785514475866,5.0,3358.0
0,3643.0,1272.9473684210527,794.5,1062.1167778834376,14.0,3386.0
0,3657.0,1286.9473684210527,808.5,1062.1167778834376,28.0,3400.0
0,3709.0,1363.162162162162,868.0,1065.9734927365441,12.0,3452.0
0,3728.0,1382.162162162162,887.0,1065.9734927365441,10.0,3471.0
0,3732.0,1386.162162162162,891.0,1065.9734927365441,2.0,3475.0
0,3749.0,1403.162162162162,908.0,1065.9734927365441,12.0,3492.0
0,3752.0,1406.162162162162,911.0,1065.9734927365441,15.0,3495.0
0,3773.0,1448.361111111111,1051.0,1072.9565371951821,2.0,3516.0
0,3780.0,1455.361111111111,1058.0,1072.9565371951821,9.0,3523.0
0,3804.0,1473.861111111111,1082.0,1079.9289110548427,10.0,3547.0
0,3816.0,1485.861111111111,1094.0,1079.9289110548427,4.0,3559.0
0,3829.0,1458.5135135135135,988.0,1092.3972305333095,6.0,3572.0
0,3834.0,1463.5135135135135,993.0,1092.3972305333095,11.0,3577.0
0,3858.0,1441.8918918918919,1002.0,1117.8966442527485,3.0,3601.0
0,3861.0,1406.9473684210527,1001.0,1126.977535557373,3.0,3604.0
0,3862.0,1407.9473684210527,1002.0,1126.977535557373,4.0,3605.0
0,3880.0,1396.888888888889,1020.0,1086.136905064555,1.0,3623.0
0,3882.0,1398.888888888889,1022.0,1086.136905064555,2.0,3625.0
0,3884.0,1400.888888888889,1024.0,1086.136905064555,2.0,3627.0
0,3901.0,1436.8285714285714,1045.0,1095.6665938587155,14.0,3644.0
0,3904.0,1439.8285714285714,1048.0,1095.6665938587155,17.0,3647.0
0,3906.0,1441.8285714285714,1050.0,1095.6665938587155,19.0,3649.0
0,3908.0,1443.8285714285714,1052.0,1095.6665938587155,21.0,3651.0
0,3947.0,1367.7368421052631,1047.5,1122.6081400074918,4.0,3690.0
0,3970.0,1390.7368421052631,1070.5,1122.6081400074918,23.0,3713.0
0,3974.0,1394.7368421052631,1074.5,1122.6081400074918,27.0,3717.0
0,4030.0,1422.421052631579,1130.5,1150.601184543357,31.0,3773.0
0,4040.0,1432.421052631579,1140.5,1150.601184543357,9.0,3783.0
0,4043.0,1398.6923076923076,1108.0,1158.101633063753,3.0,3786.0
0,4049.0,1404.6923076923076,1114.0,1158.101633063753,9.0,3792.0
0,4059.0,1414.6923076923076,1124.0,1158.101633063753,7.0,3802.0
0,4076.0,1427.948717948718,1141.0,1162.4374468688507,13.0,3819.0
0,4085.0,1405.2820512820513,1127.0,1183.88616805359,1.0,3828.0
0,4096.0,1430.5,1149.5,1196.0712606388952,7.0,3839.0
0,4097.0,1431.5,1150.5,1196.0712606388952,8.0,3840.0
0,4103.0,1437.5,1156.5,1196.0712606388952,14.0,3846.0
0,4138.0,1410.945945945946,1180.0,1151.2048904434268,49.0,3881.0
0,4177.0,1449.945945945946,1219.0,1151.2048904434268,88.0,3920.0
0,4189.0,1423.657894736842,1201.0,1159.5853450426462,3.0,3932.0
0,4198.0,1425.6842105263158,1210.0,1167.303643022607,8.0,3941.0
0,4201.0,1428.6842105263158,1213.0,1167.303643022607,11.0,3944.0
0,4213.0,1440.8918918918919,1195.0,1156.932565573988,3.0,3956.0
0,4218.0,1450.4166666666667,1197.5,1172.5680358133216,8.0,3961.0
0,4256.0,1510.2857142857142,1238.0,1181.9398962584125,8.0,3999.0
0,4290.0,1492.5277777777778,1269.5,1202.2672444203795,9.0,4033.0
0,4305.0,1537.7428571428572,1287.0,1205.7689506903798,3.0,4048.0
0,4315.0,1585.1764705882354,1327.0,1203.1605308419066,13.0,4058.0
0,4333.0,1636.3030303030303,1375.0,1205.881935143722,31.0,4076.0
0,4338.0,1641.3030303030303,1380.0,1205.881935143722,36.0,4081.0
0,4351.0,1675.0625,1440.0,1218.7583573431405,8.0,4094.0
0,4354.0,1678.0625,1443.0,1218.7583573431405,3.0,4097.0
0,4360.0,1636.967741935484,1402.0,1221.029826691017,9.0,4103.0
