,time,mean,median,sd,min,max
0,611.0,334.2,338.0,74.3004710617638,5.0,455.0
0,639.0,362.2,366.0,74.3004710617638,33.0,483.0
0,656.0,379.2,383.0,74.3004710617638,50.0,500.0
0,859.0,582.2,586.0,74.3004710617638,253.0,703.0
0,884.0,607.2,611.0,74.3004710617638,278.0,728.0
0,903.0,626.2,630.0,74.3004710617638,297.0,747.0
0,909.0,632.2,636.0,74.3004710617638,303.0,753.0
0,970.0,693.2,697.0,74.3004710617638,364.0,814.0
0,1065.0,664.5,770.5,284.79627221343094,46.0,909.0
0,1161.0,760.5,866.5,284.79627221343094,142.0,1005.0
0,1201.0,800.5,906.5,284.79627221343094,17.0,1045.0
0,1213.0,812.5,918.5,284.79627221343094,29.0,1057.0
0,1248.0,728.1428571428571,932.0,393.6987349199271,12.0,1092.0
0,1257.0,737.1428571428571,941.0,393.6987349199271,21.0,1101.0
0,1329.0,809.1428571428571,1013.0,393.6987349199271,93.0,1173.0
0,1332.0,812.1428571428571,1016.0,393.6987349199271,96.0,1176.0
0,1357.0,837.1428571428571,1041.0,393.6987349199271,14.0,1201.0
0,1456.0,829.75,1107.0,463.5298668910128,85.0,1300.0
0,1484.0,857.75,1135.0,463.5298668910128,113.0,1328.0
0,1508.0,881.75,1159.0,463.5298668910128,137.0,1352.0
0,1572.0,945.75,1223.0,463.5298668910128,201.0,1416.0
0,1580.0,953.75,1231.0,463.5298668910128,209.0,1424.0
0,1594.0,967.75,1245.0,463.5298668910128,223.0,1438.0
0,1636.0,1009.75,1287.0,463.5298668910128,265.0,1480.0
0,1763.0,1136.75,1414.0,463.5298668910128,77.0,1607.0
0,1780.0,1103.2857142857142,1398.0,474.53246593303794,409.0,1624.0
0,1801.0,1124.2857142857142,1419.0,474.53246593303794,430.0,1645.0
0,1812.0,1135.2857142857142,1430.0,474.53246593303794,11.0,1656.0
0,1841.0,1164.2857142857142,1459.0,474.53246593303794,40.0,1685.0
0,1854.0,1177.2857142857142,1472.0,474.53246593303794,53.0,1698.0
0,1856.0,1179.2857142857142,1474.0,474.53246593303794,55.0,1700.0
0,1933.0,1256.2857142857142,1551.0,474.53246593303794,10.0,1777.0
0,1942.0,1265.2857142857142,1560.0,474.53246593303794,19.0,1786.0
0,2020.0,1180.875,1319.5,617.7977900373228,44.0,1864.0
0,2030.0,1190.875,1329.5,617.7977900373228,54.0,1874.0
0,2055.0,1215.875,1354.5,617.7977900373228,15.0,1899.0
0,2081.0,1241.875,1380.5,617.7977900373228,41.0,1925.0
0,2085.0,1245.875,1384.5,617.7977900373228,45.0,1929.0
0,2109.0,1269.875,1408.5,617.7977900373228,11.0,1953.0
0,2153.0,1313.875,1452.5,617.7977900373228,55.0,1997.0
0,2168.0,1328.875,1467.5,617.7977900373228,1.0,2012.0
0,2206.0,1423.5714285714287,1824.0,640.6895519991069,39.0,2050.0
0,2256.0,1369.1666666666667,1555.5,634.5033271955492,50.0,1999.0
0,2266.0,1379.1666666666667,1565.5,634.5033271955492,60.0,2009.0
0,2307.0,1420.1666666666667,1606.5,634.5033271955492,101.0,2050.0
0,2334.0,1447.1666666666667,1633.5,634.5033271955492,128.0,2077.0
0,2355.0,1468.1666666666667,1654.5,634.5033271955492,5.0,2098.0
0,2401.0,1141.25,1206.0,848.0312125741599,16.0,2144.0
0,2416.0,1029.111111111111,1045.0,876.6783832479965,12.0,2159.0
0,2438.0,1051.111111111111,1067.0,876.6783832479965,14.0,2181.0
0,2440.0,1053.111111111111,1069.0,876.6783832479965,16.0,2183.0
0,2457.0,1070.111111111111,1086.0,876.6783832479965,33.0,2200.0
0,2524.0,1137.111111111111,1153.0,876.6783832479965,45.0,2267.0
0,2532.0,1145.111111111111,1161.0,876.6783832479965,53.0,2275.0
0,2540.0,1153.111111111111,1169.0,876.6783832479965,61.0,2283.0
0,2588.0,1201.111111111111,1217.0,876.6783832479965,109.0,2331.0
0,2611.0,1224.111111111111,1240.0,876.6783832479965,132.0,2354.0
0,2612.0,1225.111111111111,1241.0,876.6783832479965,133.0,2355.0
0,2627.0,1240.111111111111,1256.0,876.6783832479965,148.0,2370.0
0,2640.0,1207.125,966.5,919.5668052811607,161.0,2383.0
0,2657.0,1224.125,983.5,919.5668052811607,14.0,2400.0
0,2662.0,1229.125,988.5,919.5668052811607,19.0,2405.0
0,2679.0,1246.125,1005.5,919.5668052811607,36.0,2422.0
0,2684.0,1251.125,1010.5,919.5668052811607,41.0,2427.0
0,2716.0,1283.125,1042.5,919.5668052811607,24.0,2459.0
0,2727.0,1294.125,1053.5,919.5668052811607,35.0,2470.0
0,2729.0,1296.125,1055.5,919.5668052811607,37.0,2472.0
0,2758.0,1325.125,1084.5,919.5668052811607,1.0,2501.0
0,2772.0,1339.125,1098.5,919.5668052811607,15.0,2515.0
0,2781.0,1348.125,1107.5,919.5668052811607,24.0,2524.0
0,2792.0,1359.125,1118.5,919.5668052811607,35.0,2535.0
0,2885.0,1293.111111111111,909.0,976.6936793129545,21.0,2628.0
0,2889.0,1297.111111111111,913.0,976.6936793129545,25.0,2632.0
0,2891.0,1299.111111111111,915.0,976.6936793129545,27.0,2634.0
0,2961.0,1369.111111111111,985.0,976.6936793129545,7.0,2704.0
0,2989.0,1397.111111111111,1013.0,976.6936793129545,35.0,2732.0
0,3001.0,1409.111111111111,1025.0,976.6936793129545,47.0,2744.0
0,3010.0,1418.111111111111,1034.0,976.6936793129545,56.0,2753.0
0,3021.0,1429.111111111111,1045.0,976.6936793129545,67.0,2764.0
0,3023.0,1431.111111111111,1047.0,976.6936793129545,69.0,2766.0
0,3034.0,1440.6666666666667,1058.0,977.902517295734,80.0,2777.0
0,3057.0,1463.6666666666667,1081.0,977.902517295734,3.0,2800.0
0,3073.0,1479.6666666666667,1097.0,977.902517295734,19.0,2816.0
0,3093.0,1499.6666666666667,1117.0,977.902517295734,39.0,2836.0
0,3100.0,1506.6666666666667,1124.0,977.902517295734,46.0,2843.0
0,3113.0,1519.6666666666667,1137.0,977.902517295734,59.0,2856.0
0,3133.0,1539.6666666666667,1157.0,977.902517295734,79.0,2876.0
0,3160.0,1566.6666666666667,1184.0,977.902517295734,106.0,2903.0
0,3167.0,1573.6666666666667,1191.0,977.902517295734,113.0,2910.0
0,3209.0,1455.3,1035.0,1045.0460324789526,8.0,2952.0
0,3216.0,1462.3,1042.0,1045.0460324789526,15.0,2959.0
0,3228.0,1341.0,856.0,1081.9086669568571,8.0,2971.0
0,3240.0,1353.0,868.0,1081.9086669568571,20.0,2983.0
0,3241.0,1354.0,869.0,1081.9086669568571,21.0,2984.0
0,3246.0,1359.0,874.0,1081.9086669568571,26.0,2989.0
0,3249.0,1362.0,877.0,1081.9086669568571,29.0,2992.0
0,3256.0,1369.0,884.0,1081.9086669568571,36.0,2999.0
0,3262.0,1375.0,890.0,1081.9086669568571,42.0,3005.0
0,3284.0,1397.0,912.0,1081.9086669568571,64.0,3027.0
0,3295.0,1408.0,923.0,1081.9086669568571,4.0,3038.0
0,3309.0,1422.0,937.0,1081.9086669568571,1.0,3052.0
0,3347.0,1460.0,975.0,1081.9086669568571,39.0,3090.0
0,3352.0,1465.0,980.0,1081.9086669568571,44.0,3095.0
0,3373.0,1486.0,1001.0,1081.9086669568571,65.0,3116.0
0,3375.0,1488.0,1003.0,1081.9086669568571,67.0,3118.0
0,3391.0,1504.0,1019.0,1081.9086669568571,4.0,3134.0
0,3417.0,1530.0,1045.0,1081.9086669568571,26.0,3160.0
0,3426.0,1539.0,1054.0,1081.9086669568571,35.0,3169.0
0,3431.0,1544.0,1059.0,1081.9086669568571,40.0,3174.0
0,3453.0,1566.0,1081.0,1081.9086669568571,62.0,3196.0
0,3455.0,1568.0,1083.0,1081.9086669568571,64.0,3198.0
0,3482.0,1595.0,1110.0,1081.9086669568571,91.0,3225.0
0,3528.0,1641.0,1156.0,1081.9086669568571,137.0,3271.0
0,3540.0,1653.0,1168.0,1081.9086669568571,149.0,3283.0
0,3567.0,1680.0,1195.0,1081.9086669568571,11.0,3310.0
0,3581.0,1825.0,1407.0,1048.2404304356896,25.0,3324.0
0,3587.0,1831.0,1413.0,1048.2404304356896,31.0,3330.0
0,3588.0,1832.0,1414.0,1048.2404304356896,32.0,3331.0
0,3601.0,1845.0,1427.0,1048.2404304356896,45.0,3344.0
0,3614.0,1858.0,1440.0,1048.2404304356896,4.0,3357.0
0,3615.0,1859.0,1441.0,1048.2404304356896,5.0,3358.0
0,3643.0,1956.888888888889,1667.0,1082.61406321761,33.0,3386.0
0,3657.0,1970.888888888889,1681.0,1082.61406321761,47.0,3400.0
0,3709.0,2022.888888888889,1733.0,1082.61406321761,99.0,3452.0
0,3728.0,2041.888888888889,1752.0,1082.61406321761,118.0,3471.0
0,3732.0,2045.888888888889,1756.0,1082.61406321761,122.0,3475.0
0,3749.0,2062.8888888888887,1773.0,1082.61406321761,139.0,3492.0
0,3752.0,2065.8888888888887,1776.0,1082.61406321761,142.0,3495.0
0,3773.0,2086.8888888888887,1797.0,1082.61406321761,2.0,3516.0
0,3780.0,2093.8888888888887,1804.0,1082.61406321761,9.0,3523.0
0,3804.0,2117.8888888888887,1828.0,1082.61406321761,10.0,3547.0
0,3816.0,2129.8888888888887,1840.0,1082.61406321761,22.0,3559.0
