Boarding Stop,Alighting Stop,Total
62019,70269,2
62019,70299,1
62019,81101,1
62019,81111,6
62019,92249,1
62029,70259,2
62029,70269,1
62029,70279,3
62029,70299,4
62029,70309,1
62029,81111,10
62029,82099,1
62029,92041,4
62029,92051,2
62029,92081,2
62039,,1
62039,70259,1
62039,70299,3
62039,81101,2
62039,81111,9
62039,82099,2
62039,82119,1
62039,92041,7
62039,93031,1
62039,93041,1
62039,94041,2
62049,,2
62049,70259,1
62049,81111,14
62049,82079,1
62049,82119,5
62049,92041,7
62049,92071,2
62049,93041,1
62049,94041,1
62059,,3
62059,62019,1
62059,62029,1
62059,62039,2
62059,62049,2
62059,70259,2
62059,70269,1
62059,70279,3
62059,70289,2
62059,70299,1
62059,81101,1
62059,81111,23
62059,82079,1
62059,82089,2
62059,82099,3
62059,82119,6
62059,92041,21
62059,92051,1
62059,92061,1
62059,92071,1
62059,92169,1
62059,92249,6
62059,93031,1
62059,94021,1
62141,,1
62141,62019,1
62141,62039,3
62141,62049,2
62141,62059,1
62141,70279,2
62141,70309,1
62141,81111,2
62141,82119,1
62141,92041,4
62141,92071,1
62141,92169,1
63179,62141,1
63179,63369,1
63179,66359,11
63179,66379,4
63179,70279,1
63179,81111,2
63179,82119,2
63179,92041,5
63179,93011,1
63189,66359,8
63189,66379,1
63189,81111,1
63189,92041,1
63189,92081,1
63189,94021,1
63199,,2
63199,62141,2
63199,63369,3
63199,66359,50
63199,66379,6
63199,70259,1
63199,70269,1
63199,70279,1
63199,70299,2
63199,81111,3
63199,82089,2
63199,92041,3
63199,92051,1
63199,93011,1
63199,93041,1
63199,94011,1
63209,,2
63209,62059,3
63209,62141,3
63209,63189,1
63209,63199,2
63209,63369,2
63209,66359,61
63209,66379,4
63209,70279,3
63209,70289,1
63209,81101,1
63209,81111,6
63209,92041,4
63209,92169,1
63209,92249,1
63209,93021,1
63219,,4
63219,62059,3
63219,62141,4
63219,63179,2
63219,63369,3
63219,66359,72
63219,66379,22
63219,70279,2
63219,70289,1
63219,70299,1
63219,81111,9
63219,82079,1
63219,82119,4
63219,92249,1
63219,93021,1
63219,94009,1
63369,,5
63369,62049,1
63369,66359,32
63369,66379,3
63369,70309,2
63369,82099,4
63369,82119,2
63369,92249,1
63369,93041,1
63369,94051,2
64109,,8
64109,62029,1
64109,62049,3
64109,62059,4
64109,62141,1
64109,63189,2
64109,63199,1
64109,63219,1
64109,63369,4
64109,66359,148
64109,66379,12
64109,70279,8
64109,70289,3
64109,70309,1
64109,81111,12
64109,82119,7
64109,92041,10
64109,92051,1
64109,92081,1
64109,92169,5
64109,92249,5
64109,94009,1
64119,,10
64119,62019,1
64119,62029,1
64119,62039,1
64119,62049,2
64119,62059,2
64119,62141,7
64119,63189,2
64119,63199,1
64119,63219,22
64119,63369,7
64119,64109,3
64119,66359,192
64119,66379,27
64119,70269,6
64119,70279,2
64119,70289,2
64119,70299,4
64119,81101,5
64119,81111,19
64119,82119,4
64119,92041,12
64119,92051,2
64119,92061,1
64119,92071,5
64119,92169,1
64119,92249,8
64119,93011,2
64119,94009,1
64461,,8
64461,62019,1
64461,62039,2
64461,62049,5
64461,62141,5
64461,63179,1
64461,63199,1
64461,63219,13
64461,63369,1
64461,64109,5
64461,64119,12
64461,64461,1
64461,66359,49
64461,66379,5
64461,66489,4
64461,70259,5
64461,70269,1
64461,70279,2
64461,70289,1
64461,70299,5
64461,70309,1
64461,81111,9
64461,82099,2
64461,82119,14
64461,92041,14
64461,92051,2
64461,92071,2
64461,92249,2
64461,93011,1
64621,,1
64621,62141,1
64621,63369,1
64621,64109,1
64621,64119,3
64621,66359,12
64621,66379,2
64621,66489,3
64621,70279,4
64621,70299,1
64621,81101,1
64621,81111,3
64621,82119,4
64621,92041,8
64621,92051,1
64621,92061,1
64621,92071,1
64621,92249,2
64621,93021,2
65009,,5
65009,63179,1
65009,63209,1
65009,63219,4
65009,63369,1
65009,64109,3
65009,64119,8
65009,64461,10
65009,64621,11
65009,65141,1
65009,66359,2
65009,66379,1
65009,66489,15
65009,66499,5
65009,67411,3
65009,67441,4
65009,67601,2
65009,67611,5
65009,67629,2
65009,70259,1
65009,81111,4
65009,82119,3
65009,92041,10
65009,92051,3
65009,92061,1
65009,92071,2
65009,92249,3
65009,93139,2
65009,94061,1
65141,,1
65141,63219,1
65141,64109,1
65141,64119,1
65141,64461,5
65141,64621,1
65141,66359,12
65141,66379,1
65141,66489,2
65141,66499,7
65141,67411,3
65141,67441,39
65141,67601,27
65141,67611,8
65141,70269,1
65141,70299,2
65141,81111,4
65141,82089,1
65141,82119,3
65141,92041,1
65141,92169,1
65141,93021,1
66359,,11
66359,62019,5
66359,62029,8
66359,62039,19
66359,62049,7
66359,62059,39
66359,62141,7
66359,70259,1
66359,70269,1
66359,70279,2
66359,70289,2
66359,70299,2
66359,70309,1
66359,81101,2
66359,81111,7
66359,82079,2
66359,82089,3
66359,82099,2
66359,82119,3
66359,92041,28
66359,92051,4
66359,92061,8
66359,92071,5
66359,92081,1
66359,92169,1
66359,92249,7
66359,93011,2
66359,93021,1
66359,93031,1
66359,93041,4
