Boarding Stop,Alighting Stop,Hour,Total
410482562,410471030,12,1
410482562,410471030,18,1
410482562,410482570,10,1
410482562,410471005,11,1
410482562,410464255,9,1
410482562,410464255,15,1
410482562,410464255,16,1
410482562,410464255,18,3
410482562,410459494,15,1
410482491,410470959,9,2
410482491,410471030,13,1
410482491,410471081,9,3
410482491,410482570,12,4
410482491,410482564,17,1
410482491,410464255,7,1
410482491,410464255,8,1
410482491,410464255,9,1
410482491,410464255,10,1
410482491,410464255,12,4
410482491,410464255,13,1
410482491,410464255,19,1
410482491,-410478274,9,1
410482491,4623289717,10,1
410482491,4623289717,11,1
410482491,4623289717,14,1
410482491,4623289717,16,1
410482491,410467553,15,2
410482491,1268343846,7,1
410482491,1268343846,11,1
410482568,,13,1
410482568,410470959,11,1
410482568,410482570,9,3
410482568,410471005,13,1
410482568,410471005,15,1
410482568,410464255,9,1
410482568,410464255,10,1
410482568,410464255,11,1
410482568,410464255,12,3
410482568,410464255,13,1
410482568,410464255,16,1
410482568,410464255,18,1
410482568,-410478274,10,1
410482568,-410478274,17,1
410482568,410478275,9,1
410482568,4623289717,8,1
410482568,4623289717,10,2
410482568,4623289717,11,3
410482568,4623289717,18,1
410482568,410467567,20,1
410482568,410467571,13,1
410482568,410481783,13,2
410482572,,12,1
410482572,,15,1
410482572,410470959,8,1
410482572,410464255,6,1
410482572,410464255,7,1
410482572,410464255,8,2
410482572,410464255,9,1
410482572,410464255,10,1
410482572,410464255,11,2
410482572,410464255,13,1
410482572,410464255,14,2
410482572,410464255,15,2
410482572,410464255,19,1
410482572,-1849457018,11,1
410482572,410478275,7,2
410482572,410478275,11,1
410482572,410478275,15,2
410482572,4623289717,8,2
410482572,4623289717,9,3
410482572,4623289717,11,1
410482572,4623289717,14,1
410482572,410467564,7,1
410482572,410467564,18,1
410482572,410467571,14,1
410482572,410481783,7,1
410482520,,11,2
410482520,,17,1
410482520,410482562,13,1
410482520,410482491,13,1
410482520,410482568,7,1
410482520,410482568,10,1
410482520,410482572,8,1
410482520,410482572,10,1
410482520,410470959,10,2
410482520,410471030,9,1
410482520,410471081,9,2
410482520,410471081,10,1
410482520,410482551,7,1
410482520,410482551,12,1
410482520,410482570,12,1
410482520,410471005,6,1
410482520,410464255,8,1
410482520,410464255,9,2
410482520,410464255,10,4
410482520,410464255,11,1
410482520,410464255,12,4
410482520,410464255,13,4
410482520,410464255,14,5
410482520,410464255,18,2
410482520,-1849457018,15,1
410482520,-410478273,11,1
410482520,-410478273,18,1
410482520,-410478274,7,1
410482520,-410478274,14,2
410482520,410478275,7,2
410482520,410478275,9,1
410482520,410478275,12,2
410482520,410478275,19,1
410482520,4623289717,8,4
410482520,4623289717,9,2
410482520,4623289717,10,2
410482520,4623289717,11,4
410482520,4623289717,12,1
410482520,4623289717,14,5
410482520,4623289717,15,1
410482520,4623289717,17,1
410482520,4623289717,18,1
410482520,410467553,7,1
410482520,410467566,12,1
410482520,410467564,7,1
410482520,410478271,7,1
410482520,410459494,7,1
410482520,410459494,12,3
410482520,410459494,18,2
410482520,410467567,20,1
410482520,410481815,9,1
410483103,,9,1
410483103,410482562,9,1
410483103,410482568,10,1
410483103,410482568,13,1
410483103,410482568,18,1
410483103,410482572,11,1
410483103,410482572,14,1
410483103,410482520,8,1
410483103,410471081,9,1
410483103,410471081,15,1
410483103,410482564,11,1
410483103,410464255,12,1
410483103,410464255,19,1
410483103,410478275,14,1
410483103,4623289717,6,1
410483103,4623289717,8,1
410483103,4623289717,9,1
410483103,4623289717,10,1
410483103,410467564,10,1
410483103,410478271,7,1
410486516,410483103,7,1
410486516,410486293,11,1
410486516,1531005322,7,2
410486516,1531005322,11,1
410486516,1531005322,12,1
410486516,1531005322,13,1
410486516,1531005322,14,3
410486516,1531005322,15,2
410486516,1531005322,20,1
410486516,410475114,11,3
410486516,410475114,15,1
410486516,410471081,9,1
410486516,410464255,7,1
410486516,410464255,13,1
410486516,410478275,8,1
410486516,410478275,12,1
410486516,4623289717,10,1
410486516,4623289717,11,1
410486516,4623289717,14,3
410486516,410467574,16,1
410486966,1531005322,7,2
410486966,1531005322,8,1
410486966,1531005322,10,1
410486966,1531005322,14,1
410486966,1531005322,17,1
410486966,1531005322,18,1
410486966,1531005322,19,1
410486966,410475114,8,1
