Boarding Stop,Alighting Stop,Hour,Total
410482562,410464255,9,1
410482491,410470959,9,2
410482491,410471081,9,3
410482491,410464255,9,1
410482491,-410478274,9,1
410482568,410482570,9,3
410482568,410464255,9,1
410482568,410478275,9,1
410482572,410464255,9,1
410482572,4623289717,9,3
410482520,410471030,9,1
410482520,410471081,9,2
410482520,410464255,9,2
410482520,410478275,9,1
410482520,4623289717,9,2
410482520,410481815,9,1
410483103,410482562,9,1
410483103,410471081,9,1
410483103,4623289717,9,1
410486516,410471081,9,1
1855320978,410486293,9,1
1855320978,1531005322,9,7
1855320978,410475114,9,1
1855320978,410471030,9,1
1855320978,410464255,9,1
410486969,410486966,9,1
410486969,410486293,9,1
410486969,1531005322,9,4
410486969,410471081,9,3
410486969,410464255,9,1
410486969,4623289717,9,1
4430976208,1531005322,9,2
4430976208,410471081,9,2
410486293,1531005322,9,2
410486955,410482491,9,1
410486955,410482520,9,1
410486955,410486293,9,1
410486955,1531005322,9,12
410486955,410475114,9,1
410486955,410471081,9,1
410486955,410482551,9,1
410486955,410464255,9,2
410486955,4623289717,9,1
410486955,410459494,9,2
410486991,410482568,9,1
410486991,410482520,9,2
410486991,410483103,9,1
410486991,4430976208,9,5
410486991,1531005322,9,20
410486991,410475114,9,6
410486991,410471081,9,2
410486991,4623289717,9,1
410486991,410467566,9,1
410486991,410459494,9,2
410462293,4430976208,9,1
410462293,410486991,9,3
410462293,1531005322,9,7
410462293,410470959,9,1
410462293,410471030,9,1
410462293,410471081,9,2
410462293,410482570,9,2
410462293,410464255,9,1
410462293,4623289717,9,2
410462293,410459494,9,1
410462266,1531005322,9,3
410462266,410462291,9,1
410462266,410471081,9,2
410462266,410464255,9,2
410462266,410478275,9,1
410462266,4623289717,9,1
410462266,410459494,9,1
1847853709,410462293,9,1
1847853709,410462266,9,1
1847853709,1531005322,9,1
1847853709,410462291,9,2
1847853709,410478275,9,1
1847853709,4623289717,9,1
1847853709,410459494,9,1
1847853709,410482019,9,1
1849631331,410486955,9,1
1849631331,410474348,9,6
1849631331,2429952037,9,8
1849631331,1849631269,9,1
1849631331,-410478273,9,1
1849631331,4623289717,9,1
1531005322,410482572,9,1
1531005322,410482520,9,3
1531005322,410482564,9,1
410475114,410482572,9,2
410475114,410482520,9,2
410475114,1531005322,9,1
410475114,410459494,9,1
410462291,410482520,9,5
410462291,4430976208,9,8
410462291,410486991,9,1
410462291,1531005322,9,21
410462291,410475114,9,5
410462291,410471081,9,2
410462291,410464255,9,7
410462291,-410478274,9,3
410462291,410478275,9,2
410462291,4623289717,9,3
410462291,410467566,9,1
410462291,410459494,9,1
410462211,410486955,9,1
410462211,1531005322,9,7
410462211,410471005,9,1
410462211,410478275,9,3
410462211,4623289717,9,1
410462211,410467566,9,1
410474760,2429952037,9,1
410474760,410471030,9,1
410474760,4623289717,9,2
410474348,410462291,9,1
410474348,410470959,9,1
410474348,410471030,9,4
410474348,410471081,9,1
410474348,4623289717,9,6
2429952037,1855320978,9,1
2429952037,410486991,9,1
2429952037,410462293,9,2
2429952037,4623289717,9,4
2429952037,410459494,9,1
1849631269,4430976208,9,2
1849631269,410486955,9,1
1849631269,1531005322,9,1
1849631269,2429952037,9,6
1849631269,1849631273,9,1
1849631269,410470959,9,1
1849631269,410478275,9,2
1849631269,4623289717,9,1
1849631269,410459494,9,1
1849631273,410483103,9,2
1849631273,1531005322,9,2
1849631273,410475114,9,1
1849631273,410462291,9,1
1849631273,410462211,9,1
1849631273,410482551,9,1
1849631273,4623289717,9,3
1849631273,410459494,9,3
410470959,410467553,9,1
410471030,410478275,9,1
410482570,1268343846,9,1
410482570,410459494,9,2
410471005,4623289717,9,1
410464255,4623289717,9,1
-1849457018,410467553,9,1
-1849457018,410459494,9,2
-410478273,4623289717,9,2
-410478274,-1849457018,9,1
-410478274,4623289717,9,2
-410478274,410467567,9,1
4623289717,410481810,9,1
4623289717,410481815,9,1
410467564,410481781,9,1
410478271,410459494,9,1
410459494,4623289717,9,1
