,time,meanWaitTime,action,dispersion,headwaySD
0,16215.0,60.626506024096386,Hold,20.384391863843916,507.5580563016936
0,16229.0,57.0,No action,20.74909090909089,501.0280642784149
0,16240.0,59.65060240963855,No action,20.968488875465617,499.5479485575002
0,16249.0,61.83132530120482,Hold,21.090502338824482,494.37061717834456
0,16262.0,57.602409638554214,No action,21.016317016317014,483.1743404465085
0,16277.0,55.68674698795181,No action,20.754208754208754,468.17723786502114
0,16286.0,57.01204819277108,No action,20.754208754208754,469.31868263199675
0,16290.0,57.975903614457835,No action,20.754208754208754,469.0102055975838
0,16292.0,58.45783132530121,No action,20.874897624897624,469.52696636380796
0,16303.0,56.80722891566265,No action,20.33580705009276,459.4100794452346
0,16311.0,58.734939759036145,No action,20.487131589871314,463.09814393399876
0,16325.0,54.19277108433735,No action,20.243673851921276,463.0427538882767
0,16326.0,54.42168674698795,No action,20.243673851921276,463.0518136946052
0,16350.0,60.31325301204819,Hold,20.39772727272729,469.4453754074861
0,16362.0,58.1566265060241,Hold,19.959734329597335,476.64512833237006
0,16367.0,58.674698795180724,No action,20.052952735546594,480.15312393415
0,16388.0,57.01204819277108,No action,19.892255892255893,407.09143937302633
0,16393.0,58.036144578313255,No action,19.737373737373737,407.8067795318198
0,16395.0,58.51807228915663,No action,19.737373737373737,406.8864384780405
0,16414.0,63.74698795180723,No action,19.96165739022882,395.92025906202196
0,16427.0,66.48192771084338,No action,19.700718525460793,386.38849158644285
0,16431.0,67.5421686746988,No action,19.700718525460793,384.7273310559123
0,16438.0,64.93975903614458,No action,18.913020994932257,383.0247113996922
0,16448.0,59.903614457831324,No action,18.79958911145352,384.3631365153393
0,16466.0,60.36144578313253,No action,18.766789516789512,380.571823527157
0,16473.0,57.795180722891565,No action,18.949562741509048,378.8866143082324
0,16487.0,55.855421686746986,No action,19.155757575757566,380.0182691503813
0,16500.0,54.9277108433735,No action,19.155757575757566,384.53528383742645
0,16505.0,54.903614457831324,No action,19.11466827745897,385.2900894963994
0,16520.0,58.75903614457831,No action,19.149090909090898,387.17951135775223
0,16527.0,60.69879518072289,No action,18.71466341264999,387.2495586421705
0,16538.0,63.98795180722892,No action,18.794612794612796,392.56877451524053
0,16541.0,64.89156626506023,Hold,18.794612794612796,392.1898494239746
0,16553.0,68.50602409638554,No action,18.52137816521377,388.48818597330893
0,16557.0,66.08433734939759,No action,18.89450436569081,387.5084212247969
0,16558.0,64.1566265060241,No action,19.17171717171717,387.0230677051183
0,16571.0,60.566265060240966,No action,18.942760942760945,383.4905745931877
0,16618.0,72.01204819277109,No action,19.957811328836062,376.52075330703144
0,16619.0,72.3012048192771,Hold,19.957811328836062,376.6256994228659
0,16626.0,74.32530120481928,No action,19.23762807935469,372.0939951265038
0,16629.0,75.19277108433735,No action,19.23762807935469,370.0410085721746
0,16638.0,74.42168674698796,No action,19.608008658008664,362.87520220903235
0,16639.0,74.71084337349397,No action,19.608008658008664,362.12617325646306
0,16652.0,69.57831325301204,No action,19.526715922475642,391.1309529330057
0,16657.0,66.50602409638554,No action,19.425505050505066,390.48311362189463
0,16661.0,67.09638554216868,No action,19.42581524588444,390.2558456829007
0,16663.0,65.6144578313253,No action,19.07617268576172,389.4682094932967
0,16668.0,52.975903614457835,No action,18.616329407027074,388.361834894746
0,16669.0,53.204819277108435,No action,18.616329407027074,387.77574225290306
0,16686.0,51.80722891566265,No action,18.722424242424232,369.12466435443827
