,time,meanWaitTime,meanLow,action,dispersion,headwaySD
0,16215.0,264.6842105263158,60.59036144578313,Hold,20.384391863843916,507.5580563016936
0,16229.0,248.10526315789474,56.795180722891565,No action,20.681868855781897,501.0280642784149
0,16240.0,259.10526315789474,59.31325301204819,No action,20.74822045962985,499.5479485575002
0,16249.0,268.10526315789474,61.373493975903614,No action,20.867385721623016,494.37061717834456
0,16262.0,248.94736842105263,56.98795180722892,No action,20.793816543816543,485.631951635485
0,16277.0,228.8,55.13253012048193,No action,20.526283240568947,475.45075949978525
0,16286.0,216.63636363636363,57.42168674698795,No action,20.57855000517117,477.4708588768239
0,16290.0,220.63636363636363,58.48192771084337,No action,20.57855000517117,477.8102604434019
0,16292.0,222.63636363636363,59.01204819277108,No action,20.6994603569946,478.54605555481965
0,16303.0,227.61904761904762,57.59036144578313,No action,20.228583411974405,469.2497509203484
0,16311.0,224.95454545454547,59.626506024096386,Hold,20.379685355295106,473.89230429241627
0,16325.0,200.6086956521739,55.59036144578313,Hold,20.130536130536143,482.4765397581773
0,16326.0,201.6086956521739,55.86746987951807,No action,20.130536130536143,483.0115593255577
0,16334.0,209.6086956521739,58.08433734939759,No action,20.282899668058676,491.24170553028966
0,16350.0,216.70833333333334,62.66265060240964,No action,20.39232179445701,496.2570938837838
0,16362.0,210.5,60.86746987951807,No action,19.773413578291624,504.3608954611212
0,16367.0,220.7391304347826,61.16867469879518,No action,19.931005557303127,508.1135250498093
0,16388.0,216.43478260869566,59.975903614457835,No action,19.75077303648732,439.38681197456634
0,16393.0,221.43478260869566,61.36144578313253,No action,19.69117799151929,439.8864613427044
0,16412.0,222.04,66.87951807228916,No action,19.809049398090483,436.9607244522245
0,16414.0,224.04,67.48192771084338,No action,19.809049398090483,437.2701826233267
0,16416.0,226.04,68.08433734939759,No action,19.809049398090483,436.95233898096325
0,16426.0,225.29166666666666,65.144578313253,No action,19.274190177638456,432.1027118596273
0,16438.0,216.8,65.3012048192771,No action,19.329584504842238,432.8415226517563
0,16448.0,209.83333333333334,60.674698795180724,No action,19.165739022881876,430.20664380218955
0,16466.0,221.69565217391303,61.433734939759034,No action,19.104627354627347,424.06720447047695
0,16476.0,215.69565217391303,59.7710843373494,No action,19.19191919191919,421.90256347222356
0,16488.0,216.6818181818182,57.433734939759034,No action,19.370832066484237,426.3858243819248
0,16500.0,219.2173913043478,60.74698795180723,No action,18.90909090909091,429.0490717836519
0,16508.0,227.2173913043478,62.963855421686745,No action,18.854627354627347,431.776494060637
0,16539.0,238.24,71.75903614457832,No action,18.88094504365691,432.2098970122193
0,16548.0,237.84615384615384,74.50602409638554,Hold,18.559825054670412,428.47819008052045
0,16555.0,249.2,75.06024096385542,No action,18.435205295273555,425.5702029259325
0,16560.0,243.625,70.44578313253012,No action,18.677555213148437,423.5129449093966
0,16572.0,240.8695652173913,66.74698795180723,No action,18.489762489762484,417.3557202148709
0,16580.0,241.08695652173913,66.80722891566265,Hold,18.37037037037037,414.2478771768363
0,16587.0,248.08695652173913,68.74698795180723,No action,18.90800865800866,407.54131678189776
0,16609.0,258.875,74.855421686747,No action,19.11532592108131,397.9365981250431
0,16617.0,253.0,76.20481927710843,No action,19.040078201368527,396.083986424094
0,16626.0,262.0,78.91566265060241,No action,19.165685633311526,390.82073039897085
0,16629.0,265.0,79.81927710843374,No action,19.165685633311526,390.3005097498614
0,16630.0,255.80769230769232,80.13253012048193,No action,19.3721212121212,390.10939132384266
0,16639.0,252.54166666666666,73.02409638554217,No action,19.213458110516928,391.5019124858012
0,16647.0,260.5416666666667,75.33734939759036,No action,19.156882477915698,394.87491953272007
0,16648.0,261.5416666666667,75.62650602409639,No action,19.156882477915698,395.0430236533842
0,16652.0,234.52,70.63855421686748,No action,19.235516934046338,422.13481221231643
0,16655.0,239.91666666666666,69.37349397590361,No action,19.204848484848476,422.6620662739516
0,16656.0,240.91666666666666,69.66265060240964,No action,19.204848484848476,423.27573574589877
0,16670.0,228.95238095238096,57.9277108433735,No action,18.42924086223055,429.8201614837179
0,16681.0,239.95238095238096,60.71084337349398,No action,18.53625914315569,443.62990385164363
0,16682.0,240.95238095238096,60.963855421686745,No action,18.53625914315569,443.61451374933955
0,16686.0,233.9,56.36144578313253,No action,17.849116161616173,443.2417885312928
0,16725.0,232.23809523809524,58.75903614457831,No action,17.816474605207,441.6844812445177
0,16745.0,246.9047619047619,62.46987951807229,No action,17.929542777599316,375.18567354143386
0,16762.0,242.1304347826087,67.09638554216868,No action,17.809155383623466,374.96495369912134
0,16771.0,251.1304347826087,69.59036144578313,No action,17.69481289765987,375.2506084698369
0,16772.0,241.66666666666666,69.87951807228916,No action,17.69481289765987,375.2026163295774
0,16808.0,257.84615384615387,80.7710843373494,No action,17.465266382233885,530.9475254887967
