,time,meanWaitTime,meanLow,action,dispersion,headwaySD
0,16215.0,251.75,60.66265060240964,No action,20.384391863843916,507.98084621949374
0,16229.0,225.71428571428572,57.10843373493976,No action,20.681868855781897,510.0311387825951
0,16240.0,226.45454545454547,60.024096385542165,No action,20.74822045962985,515.0432522776777
0,16249.0,225.2608695652174,62.42168674698795,No action,20.867385721623016,514.722615444838
0,16262.0,203.16666666666666,58.74698795180723,No action,20.793816543816543,512.4824155909549
0,16273.0,203.69565217391303,56.44578313253012,No action,20.657216230097593,509.7700415809531
0,16277.0,207.69565217391303,57.55421686746988,No action,20.657216230097593,508.1820039557913
0,16286.0,214.34782608695653,59.397590361445786,No action,20.772470467385727,509.22515220106015
0,16292.0,220.34782608695653,61.06024096385542,No action,20.89363017934446,510.32718862055185
0,16293.0,221.34782608695653,61.33734939759036,No action,20.89363017934446,510.50960675898875
0,16303.0,225.5,59.7710843373494,No action,20.40862230552952,503.57126641463066
0,16311.0,233.5,61.89156626506024,No action,20.560763342770255,509.9654600162477
0,16325.0,228.0,57.68674698795181,No action,20.314393939393952,509.99557083713296
0,16326.0,218.63636363636363,57.95180722891566,No action,20.314393939393952,510.0421904771295
0,16334.0,226.63636363636363,60.0722891566265,No action,20.4688995215311,513.2478226593482
0,16350.0,242.63636363636363,64.3132530120482,No action,20.702772404900053,505.4610414436601
0,16367.0,220.375,63.72289156626506,No action,20.256410256410266,507.27645844912564
0,16387.0,225.04347826086956,62.36144578313253,No action,20.124777183600706,430.8840352441385
0,16388.0,226.04347826086956,62.63855421686747,No action,20.124777183600706,430.85733606364727
0,16394.0,245.95238095238096,62.2289156626506,No action,20.271165260855984,429.85024632995226
0,16417.0,268.95238095238096,68.04819277108433,No action,20.20522466039707,428.68896108194866
0,16418.0,269.95238095238096,68.3012048192771,No action,20.20522466039707,428.71050904926994
0,16420.0,271.95238095238096,68.80722891566265,No action,20.20522466039707,428.4077103333468
0,16426.0,273.95,66.01204819277109,No action,19.508838383838395,424.9604764790692
0,16434.0,267.5,64.4578313253012,No action,19.508838383838395,425.2759038291231
0,16438.0,271.5,65.42168674698796,No action,19.011655011655026,425.2696899242283
0,16448.0,250.25,60.30120481927711,No action,18.897727272727284,421.8315855381458
0,16467.0,252.5,60.8433734939759,No action,18.865261612666448,419.4224408758911
0,16468.0,253.5,61.08433734939759,No action,18.865261612666448,419.45355126594654
0,16497.0,265.1666666666667,57.506024096385545,No action,19.206536353294034,425.5884904408862
0,16499.0,267.1666666666667,57.93975903614458,No action,19.206536353294034,425.5413186254929
0,16505.0,271.8235294117647,55.674698795180724,No action,19.110973213362296,429.2500569739328
0,16524.0,290.8235294117647,59.566265060240966,No action,19.144665836446645,432.3320115466912
0,16527.0,293.8235294117647,60.18072289156626,No action,19.144665836446645,432.0715421044442
0,16533.0,283.44444444444446,61.46987951807229,No action,18.761455384292745,435.0172086283623
0,16542.0,292.44444444444446,63.42168674698795,No action,18.39872408293461,434.7879604666271
0,16549.0,310.05882352941177,63.506024096385545,No action,18.39872408293461,434.1746271116485
0,16555.0,304.375,58.674698795180724,No action,18.97074190177638,436.5261494544591
0,16556.0,305.375,58.86746987951807,No action,18.844500366991706,436.79704651201854
0,16557.0,306.375,59.06024096385542,No action,18.844500366991706,436.65312399216043
0,16604.0,335.1333333333333,60.566265060240966,No action,19.868247694334652,429.1456354964763
0,16623.0,327.375,63.10843373493976,No action,19.775735696313305,429.5434204718803
0,16624.0,328.375,63.30120481927711,No action,19.775735696313305,429.6415146232862
0,16625.0,329.375,63.493975903614455,No action,19.775735696313305,429.7547771740277
0,16628.0,332.375,64.07228915662651,No action,19.635697635697642,430.42507858863723
0,16636.0,344.3333333333333,62.2289156626506,No action,18.855919792722755,430.89683600959984
0,16637.0,345.3333333333333,62.40963855421687,No action,18.855919792722755,430.93202001066766
0,16648.0,342.64285714285717,57.795180722891565,No action,18.990728177295335,449.37472834111765
0,16656.0,350.64285714285717,59.144578313253014,No action,18.931562819203265,448.13322417123516
0,16657.0,351.64285714285717,59.31325301204819,No action,18.931562819203265,448.12979536944164
0,16669.0,291.1666666666667,42.096385542168676,No action,18.49775735696313,444.51315291901466
0,16670.0,292.1666666666667,42.24096385542169,No action,18.49775735696313,461.41941099069624
0,16681.0,288.8181818181818,38.27710843373494,No action,18.60737812911726,405.36752102054913
0,16734.0,219.73333333333332,39.71084337349398,No action,18.85025436850254,406.3483669284507
0,16739.0,224.73333333333332,40.6144578313253,No action,18.925074925074934,405.84761572724307
0,16746.0,231.73333333333332,41.87951807228916,No action,18.794340463458102,407.85176087718673
0,16751.0,236.73333333333332,42.78313253012048,No action,18.640404040404032,530.7961016376636
0,16755.0,227.21428571428572,38.325301204819276,No action,18.861679525886174,530.4779105131113
0,16778.0,211.21428571428572,35.626506024096386,No action,18.992869875222805,536.0578054006767
0,16790.0,198.42857142857142,33.46987951807229,No action,18.863354736960677,528.4144831643547
0,16797.0,214.53846153846155,33.602409638554214,No action,18.736700336700327,526.3785319775257
0,16808.0,195.86666666666667,35.397590361445786,No action,18.92356399819086,524.793950637112
0,16850.0,200.93333333333334,36.31325301204819,No action,18.92356399819086,525.3780224278884
0,16853.0,203.93333333333334,36.855421686746986,No action,18.92356399819086,525.4796561830863
0,16857.0,195.125,37.6144578313253,No action,18.672888581633828,507.78753861331825
0,16868.0,185.53333333333333,33.53012048192771,No action,18.652715837621503,508.2576648744967
0,16873.0,173.14285714285714,29.204819277108435,No action,19.029606408916745,507.0026723030235
0,16892.0,123.17647058823529,25.228915662650603,No action,19.625589225589216,503.0667051207228
0,16901.0,132.1764705882353,27.072289156626507,No action,18.983997276132097,509.96096304155657
0,16917.0,133.11764705882354,27.265060240963855,No action,19.125056535504296,514.6332341721778
0,16946.0,135.73684210526315,31.072289156626507,No action,19.178753830439216,503.0058755499463
0,16952.0,141.73684210526315,32.44578313253012,No action,19.179995443153338,504.6440266537858
0,16954.0,143.73684210526315,32.903614457831324,No action,19.179995443153338,504.93249422554413
0,16956.0,145.73684210526315,33.36144578313253,No action,19.188564894225273,504.43479758241637
0,16959.0,148.73684210526315,34.04819277108434,No action,19.0607212812536,501.5660007767544
0,16960.0,149.73684210526315,34.27710843373494,No action,19.0607212812536,500.5395453967786
0,16965.0,163.23529411764707,33.433734939759034,No action,18.946969696969695,498.1300709389671
0,16967.0,165.23529411764707,33.8433734939759,No action,18.946969696969695,498.48602936583296
0,16989.0,177.94444444444446,38.59036144578313,No action,18.549198549198554,496.82290489582005
0,16993.0,181.94444444444446,39.45783132530121,No action,18.549198549198554,496.6809579542489
0,16998.0,193.94117647058823,39.72289156626506,No action,18.200448060370245,514.935181714711
0,17001.0,196.94117647058823,40.33734939759036,No action,18.164299242424235,556.1490115854377
0,17013.0,215.75,41.59036144578313,No action,18.491895701198025,550.0961869269291
0,17021.0,222.53333333333333,40.21686746987952,No action,18.82270985719261,550.4899271892867
0,17046.0,247.53333333333333,44.734939759036145,No action,18.88275058275057,553.1787456202978
0,17055.0,241.0625,46.46987951807229,No action,18.888966888966895,555.2078826401382
0,17090.0,247.94444444444446,53.7710843373494,No action,19.202139037433152,556.0580976533731
0,17093.0,250.94444444444446,54.42168674698795,No action,19.202139037433152,555.6712498335708
0,17094.0,251.94444444444446,54.63855421686747,No action,19.202139037433152,555.7291680849107
0,17107.0,242.1764705882353,49.602409638554214,No action,19.24135472370766,551.137018349594
0,17109.0,230.66666666666666,50.024096385542165,No action,19.24135472370766,551.1287969922137
0,17113.0,230.41176470588235,47.19277108433735,No action,19.079825492276864,551.116311976682
0,17125.0,242.75,46.795180722891565,No action,18.926004228329802,547.8650213676801
0,17132.0,249.75,48.144578313253014,No action,18.877490861926674,590.7314023914205
0,17135.0,252.75,48.72289156626506,No action,18.68773674242424,590.7104869059833
0,17149.0,249.5625,48.10843373493976,No action,18.68773674242424,594.4150857736014
0,17152.0,237.76470588235293,48.69879518072289,No action,18.68773674242424,594.9163222386479
0,17172.0,244.55555555555554,53.036144578313255,No action,18.66139657444005,620.6406970840529
0,17183.0,258.0,52.8433734939759,No action,18.53137675972322,620.3895511889341
0,17198.0,243.94444444444446,52.903614457831324,No action,18.70802139037433,593.9215852665521
0,17202.0,234.94736842105263,53.78313253012048,No action,18.66139657444005,592.6813640491092
0,17204.0,236.94736842105263,54.24096385542169,No action,18.66139657444005,591.4067234416646
0,17208.0,213.83333333333334,46.373493975903614,No action,18.02650074893421,590.7482994939742
0,17230.0,202.23529411764707,41.42168674698795,No action,18.463393054633933,547.6166696095632
0,17231.0,203.23529411764707,41.626506024096386,No action,18.463393054633933,547.6038860392221
0,17238.0,183.875,35.44578313253012,No action,18.95520421607378,553.2198405226558
0,17254.0,168.73684210526315,38.626506024096386,No action,18.62522281639927,569.9622596204541
0,17258.0,172.73684210526315,39.54216867469879,No action,18.62522281639927,565.983611139187
0,17260.0,159.11111111111111,34.506024096385545,No action,19.14666666666666,564.9341280228425
0,17296.0,149.33333333333334,43.18072289156626,No action,18.581144781144776,541.2008449676374
0,17306.0,161.69565217391303,44.80722891566265,No action,18.811310127295243,537.0717188322483
0,17315.0,175.5,46.51807228915663,No action,18.72929292929292,534.0338755315556
0,17348.0,200.2173913043478,55.48192771084337,No action,18.84848484848483,530.2767919246548
0,17361.0,213.2173913043478,59.08433734939759,No action,19.074732285258598,529.2813072848129
0,17363.0,215.2173913043478,59.63855421686747,No action,19.074732285258598,529.1553719665536
0,17384.0,198.41666666666666,57.373493975903614,No action,18.42625517164264,506.26165704465967
0,17389.0,188.0,52.096385542168676,No action,17.766329966329955,508.15379145524355
0,17396.0,190.1818181818182,50.40963855421687,No action,17.629153993466254,515.0497771983394
0,17397.0,191.1818181818182,50.674698795180724,No action,17.629153993466254,515.812256000885
0,17412.0,197.47826086956522,54.72289156626506,No action,17.52586010480747,518.7059963044361
0,17416.0,201.47826086956522,55.83132530120482,No action,17.52586010480747,518.6958829422077
0,17418.0,203.47826086956522,56.3855421686747,No action,17.21969696969697,518.5420737528055
0,17440.0,212.22727272727272,56.25301204819277,No action,16.651515151515152,519.1002562661665
0,17468.0,213.68,64.36144578313252,No action,16.657679456158558,520.0056927228409
0,17477.0,222.68,67.07228915662651,No action,16.62890442890442,514.5874876935576
0,17481.0,226.68,68.27710843373494,No action,16.62890442890442,514.192319641424
0,17497.0,233.3846153846154,73.10843373493977,No action,15.518802482657911,505.3407786426551
0,17509.0,245.3846153846154,76.86746987951807,No action,15.588026009078643,508.2029395917534
0,17522.0,240.23076923076923,75.25301204819277,No action,15.374224169404897,509.4551482226784
0,17543.0,252.84,76.1566265060241,No action,15.080368906455865,510.047138077249
0,17544.0,253.84,76.4578313253012,No action,15.080368906455865,510.09222550737496
0,17548.0,257.84,77.66265060240964,No action,15.12554112554113,509.14598351654695
0,17558.0,260.4,78.43373493975903,No action,15.262187088274047,508.36118811050727
0,17567.0,269.4,81.144578313253,No action,15.101731601731606,507.89455504841646
0,17576.0,267.7692307692308,83.87951807228916,No action,15.20024242424243,510.63787372955346
0,17577.0,268.7692307692308,84.19277108433735,No action,15.20024242424243,580.8731438495167
0,17579.0,270.7692307692308,84.81927710843374,No action,15.20024242424243,581.256752480198
0,17591.0,255.8,77.04819277108433,No action,15.157356699525378,573.0349340034944
0,17595.0,259.8,78.25301204819277,No action,15.157356699525378,570.077074344625
0,17609.0,253.66666666666666,82.51807228915662,No action,15.171470805617147,570.4099781927728
0,17610.0,254.66666666666666,82.8433734939759,No action,15.171470805617147,570.3056714809724
0,17632.0,261.36,78.72289156626506,No action,14.968218773096822,571.2706295661006
0,17635.0,264.36,79.62650602409639,No action,14.968218773096822,571.0519768808639
0,17659.0,267.5769230769231,83.81927710843374,No action,14.74870657797487,559.7872743471361
0,17664.0,267.2692307692308,83.72289156626506,No action,14.915961231750707,559.3476440441041
0,17669.0,264.5833333333333,76.50602409638554,No action,14.90032858707558,559.4638463182966
0,17671.0,266.5833333333333,77.08433734939759,No action,14.90032858707558,559.7479083319444
0,17681.0,280.5652173913044,77.74698795180723,No action,14.860167944505298,563.0353514419087
0,17683.0,282.5652173913044,78.3012048192771,No action,14.860167944505298,563.302023190062
0,17694.0,276.04347826086956,76.49397590361446,No action,14.81197517342096,558.0295856380283
0,17699.0,281.04347826086956,77.87951807228916,No action,15.016999260901702,558.1705055373559
0,17704.0,286.04347826086956,79.26506024096386,No action,15.102288188002476,559.8047528144427
0,17705.0,274.0,75.92771084337349,No action,14.968719452590424,559.9674355118577
0,17716.0,275.0,76.20481927710843,No action,14.490043290043289,565.9949188240488
0,17730.0,277.2083333333333,80.1566265060241,No action,14.515896671634364,568.9220262865009
0,17742.0,268.09090909090907,71.06024096385542,No action,14.42350332594235,571.7074585967765
