,time,meanWaitTime,action,dispersion,headwaySD,disperion
0,16207.0,256.6842105263158,No action,,512.1895955208543,20.271382769676286
1,16215.0,264.6842105263158,No action,,508.6754850418781,20.384391863843916
2,16229.0,248.10526315789474,No action,,511.0440022374791,20.681868855781897
3,16240.0,259.10526315789474,No action,,516.054362906014,20.74822045962985
4,16249.0,254.75,No action,,515.6393493267741,20.867385721623016
5,16262.0,236.6,No action,,513.4379417211655,20.793816543816543
6,16277.0,240.68421052631578,No action,,508.95665459970223,20.526283240568947
7,16286.0,237.55,No action,,510.692141560648,20.57855000517117
8,16290.0,241.55,No action,,511.0390847399135,20.57855000517117
9,16292.0,243.55,No action,,511.75238469301564,20.6994603569946
10,16303.0,249.0,No action,,504.6173732925365,20.078725398313026
11,16311.0,257.0,No action,,511.16507448023907,20.228583411974405
12,16325.0,214.76190476190476,No action,,510.61164949008645,19.98106060606062
13,16326.0,215.76190476190476,No action,,510.63806345319307,19.98106060606062
14,16334.0,213.86363636363637,No action,,514.2029185965928,20.13205741626794
15,16350.0,220.04347826086956,No action,,508.14316138547264,20.36234687298516
16,16362.0,213.04347826086956,No action,,510.6646390188417,19.920745920745933
17,16367.0,226.1818181818182,No action,,511.79633620209603,20.16629967495019
18,16388.0,220.27272727272728,No action,,441.9450719135895,20.005171165580723
19,16412.0,244.27272727272728,No action,,441.73024662993976,19.94603569946035
20,16413.0,245.27272727272728,No action,,441.8535850312804,19.94603569946035
21,16414.0,246.27272727272728,No action,,441.80690484515327,19.94603569946035
22,16426.0,260.95,No action,,440.1187579454201,19.32274802822747
23,16427.0,261.95,No action,,440.3343286361033,19.32274802822747
24,16438.0,258.6,No action,,441.9711254160012,18.8466039707419
25,16448.0,249.3684210526316,No action,,439.1753598959139,18.733706932337057
26,16467.0,262.72222222222223,No action,,437.5882691312069,18.701416899369118
27,16481.0,242.52631578947367,No action,,435.0658006942828,18.791589363017927
28,16497.0,246.27777777777777,No action,,439.7175781977827,18.989762489762484
29,16499.0,248.27777777777777,No action,,439.7013413304132,18.989762489762484
30,16505.0,246.11111111111111,No action,,443.7417803831908,18.89516789516789
31,16518.0,233.35,No action,,446.19909921878156,18.928402670775554
32,16527.0,231.04761904761904,No action,,445.73763828417094,18.48298686523943
33,16529.0,233.04761904761904,No action,,445.86891980053235,18.48298686523943
34,16552.0,236.6818181818182,No action,,447.1753872906793,18.30470797944845
35,16555.0,229.3913043478261,No action,,447.6591391483878,18.30470797944845
36,16557.0,240.04545454545453,No action,,448.3880570073387,18.349116161616166
37,16558.0,241.04545454545453,No action,,448.602907982991,18.349116161616166
38,16559.0,242.04545454545453,No action,,448.0168631949665,18.349116161616166
39,16574.0,234.89473684210526,No action,,442.0662466980213,18.50346468093909
40,16603.0,263.89473684210526,No action,,440.87695293035773,19.626117287987782
41,16617.0,260.35,No action,,441.49164610638985,19.534701857282506
42,16623.0,253.71428571428572,No action,,440.77928707550745,18.666666666666657
43,16626.0,256.7142857142857,No action,,440.6993366608643,18.666666666666657
44,16627.0,257.7142857142857,No action,,441.1180135004913,18.666666666666657
45,16638.0,265.85,No action,,439.3164228862332,18.96000901205361
46,16640.0,267.85,No action,,438.57469960723523,18.96000901205361
47,16648.0,261.5263157894737,No action,,440.95021782763524,18.832996632996625
48,16657.0,270.5263157894737,No action,,438.97437646801944,19.005653550429667
49,16658.0,271.5263157894737,No action,,438.79266421213856,19.005653550429667
50,16665.0,217.58823529411765,No action,,460.77887739777464,18.25641025641027
51,16669.0,209.38888888888889,No action,,461.1103021488343,18.25641025641027
52,16680.0,221.41176470588235,No action,,404.8910460064705,18.04356060606062
53,16687.0,213.5,No action,,423.3026519455322,18.21626794258373
54,16724.0,192.94444444444446,No action,,422.3769952540179,18.21626794258373
55,16730.0,188.44444444444446,No action,,420.81664126988363,18.130536130536143
56,16742.0,180.9,No action,,420.96774060133504,18.365770379854883
57,16745.0,183.9,No action,,542.0987826847306,18.365770379854883
58,16760.0,160.0,No action,,545.8856371801321,18.22050290135396
59,16770.0,156.16666666666666,No action,,545.6018536525614,18.08627197239296
60,16783.0,169.16666666666666,No action,,540.1659497550629,17.95705253978635
61,16797.0,183.16666666666666,No action,,539.4599127665736,17.847937862378288
62,16804.0,190.16666666666666,No action,,539.3027891725334,18.02666666666666
63,16808.0,194.16666666666666,No action,,538.8710049818842,18.02666666666666
64,16841.0,204.125,No action,,538.3494915671711,18.127626631276264
65,16855.0,201.84615384615384,No action,,537.0316722223426,17.92669340463458
66,16858.0,204.84615384615384,No action,,513.729336758006,17.92669340463458
67,16873.0,200.11111111111111,No action,,516.5271617080833,17.87450715331756
68,16877.0,196.96428571428572,No action,,516.8340888820472,17.87450715331756
69,16883.0,189.57142857142858,No action,,517.098672855924,18.185148185148194
70,16885.0,185.60714285714286,No action,,516.8360541455098,18.519418006782615
71,16903.0,209.0,No action,,520.3397844296354,18.478163992869867
72,16904.0,210.0,No action,,520.2398666230031,18.478163992869867
73,16921.0,209.34615384615384,No action,,520.7685021618765,18.4925901349259
74,16929.0,209.33333333333334,No action,,521.4831614234001,18.544122544122555
75,16948.0,212.25,No action,,515.6507612019178,18.259552042160735
76,16949.0,213.25,No action,,515.6728907980954,18.259552042160735
77,16951.0,215.25,No action,,515.2058579971464,18.259552042160735
78,16955.0,214.44444444444446,No action,,513.5384343883289,18.463458110516925
79,16958.0,222.5,No action,,511.96124246457583,18.396734876439677
80,16965.0,215.52,No action,,502.2080674752186,18.31316886335473
81,16969.0,219.54166666666666,No action,,502.84970174551165,18.11786987522281
82,16985.0,220.375,No action,,502.7955512674857,18.0958110516934
83,16988.0,223.375,No action,,516.9779820409092,18.0958110516934
84,17000.0,239.17391304347825,No action,,502.7339407251082,17.844767376365883
85,17004.0,243.17391304347825,No action,,552.0952848470672,17.844767376365883
86,17010.0,241.42857142857142,No action,,552.7412858147286,17.549407114624504
87,17034.0,265.42857142857144,No action,,555.7767609523329,17.604848484848475
88,17046.0,264.85,No action,,557.7706082555356,18.258008658008663
89,17050.0,240.3,No action,,559.0506443348362,18.15744634961716
90,17053.0,243.3,No action,,560.4251966796667,18.15744634961716
91,17072.0,262.3,No action,,557.622728775558,18.057771964246772
92,17075.0,265.3,No action,,557.7346303069575,18.057771964246772
93,17080.0,270.3,No action,,557.9058031414451,18.617382617382628
94,17088.0,275.05263157894734,No action,,557.8201676283102,18.463030303030294
95,17103.0,262.76190476190476,No action,,552.2293416356503,18.192474192474204
96,17122.0,269.1818181818182,No action,,555.4687609161439,18.206105169340454
97,17123.0,270.1818181818182,No action,,555.4404529200328,18.206105169340454
98,17134.0,260.0,No action,,551.4374052845237,17.988940499889406
99,17135.0,261.0,No action,,551.3828685196298,17.988940499889406
100,17144.0,259.45454545454544,No action,,592.8053410940412,17.95804195804197
101,17155.0,258.82608695652175,No action,,590.6820340134466,17.75757575757575
102,17161.0,247.2173913043478,No action,,591.5698207802241,17.857989488985805
103,17170.0,242.95454545454547,No action,,615.2594993315001,18.34660473346605
104,17189.0,237.625,No action,,618.1157721374326,18.223030303030296
105,17205.0,243.68,No action,,613.6134919860139,18.170496170496182
106,17214.0,231.12,No action,,592.1594487714635,17.846508563899867
107,17218.0,235.12,No action,,594.4620998579445,17.846508563899867
108,17221.0,233.25,No action,,597.4705731032591,17.49988940499889
