,time,meanWaitTime,action,dispersion,headwaySD
0,16.0,11.19047619047619,[0.6882644],0,0
1,17.0,12.19047619047619,[0.],0,2393.8812107819226
2,18.0,13.19047619047619,[0.04903013],0,2391.40902430831
3,26.0,19.19047619047619,[0.25844526],8.33333333333333,2439.2333281667425
4,28.0,21.0,[0.6806674],8.33333333333333,2447.663286302518
5,34.0,26.428571428571427,[0.],8.33333333333333,2394.2500539154466
6,37.0,29.142857142857142,[0.9836515],8.33333333333333,2363.0256343303927
7,40.0,31.857142857142858,[0.],8.33333333333333,2337.1837611788173
8,43.0,34.57142857142857,[0.22258426],8.33333333333333,2310.2375286232414
9,51.0,41.80952380952381,[0.],8.33333333333333,2234.804742633956
10,53.0,43.666666666666664,[0.],8.33333333333333,2222.7825808128378
11,54.0,44.61904761904762,[1.],8.33333333333333,2222.1337217633336
12,60.0,47.285714285714285,[0.],12.416666666666659,2209.477551211664
13,63.0,49.714285714285715,[1.],12.31060606060606,2201.9186375919917
14,71.0,53.523809523809526,[1.],14.416666666666666,2150.8911934560333
15,72.0,54.333333333333336,[0.56828046],14.416666666666666,2143.1564372299545
16,77.0,58.38095238095238,[0.],14.416666666666666,2099.1269414147623
17,80.0,60.80952380952381,[0.],14.416666666666666,2081.2383806250746
18,82.0,62.42857142857143,[0.9773643],14.416666666666666,2074.17581327778
19,83.0,63.23809523809524,[0.86690366],14.416666666666666,2071.9232373330356
20,90.0,68.9047619047619,[0.],14.416666666666666,2088.8024309480406
21,96.0,73.47619047619048,[0.],18.791666666666668,2122.0605922428126
22,99.0,71.71428571428571,[1.],18.232269503546107,2141.120364791464
23,102.0,74.0,[0.1355114],18.232269503546107,2144.807362302847
24,103.0,74.80952380952381,[1.],18.232269503546107,2145.3874304006727
25,104.0,75.61904761904762,[0.99184847],18.232269503546107,2145.5787874154153
26,114.0,77.9047619047619,[0.7481631],19.583333333333336,2114.8503318535554
27,117.0,80.04761904761905,[0.],19.583333333333336,2104.9835469067957
28,120.0,82.19047619047619,[0.13623314],19.583333333333336,2093.099521335501
29,127.0,87.19047619047619,[0.46897185],19.583333333333336,2058.1873973803786
30,128.0,87.9047619047619,[0.],19.583333333333336,2056.4908348995095
31,139.0,89.33333333333333,[1.],22.86111111111111,2111.4019129452277
32,144.0,92.66666666666667,[1.],21.85109289617487,2100.298310584608
33,145.0,93.33333333333333,[0.],21.85109289617487,2094.703925799424
34,147.0,94.66666666666667,[0.39675575],21.85109289617487,2082.021789708948
35,159.0,95.61904761904762,[1.],25.539215686274506,2074.7946881654334
36,160.0,96.28571428571429,[1.],25.539215686274506,2079.680174629837
37,161.0,96.95238095238095,[0.4480638],25.539215686274506,2083.7956773699816
38,170.0,102.95238095238095,[0.],25.018115942028984,2124.533444674683
39,172.0,104.28571428571429,[1.],25.018115942028984,2129.97233536251
40,173.0,104.85714285714286,[0.],26.194444444444443,2135.2778007344045
41,176.0,106.76190476190476,[0.2900147],28.91025641025641,2139.334850022867
42,178.0,101.19047619047619,[0.26753813],30.94715447154471,2141.870319970033
43,185.0,104.38095238095238,[1.],27.91025641025641,2121.4420402257833
44,186.0,105.0,[0.6870504],27.91025641025641,2117.0264273798966
45,191.0,108.0952380952381,[0.],27.429324894514767,2095.854200152121
46,192.0,108.71428571428571,[0.],27.429324894514767,2093.3534334666233
47,200.0,104.38095238095238,[1.],31.075757575757578,2060.6604469113345
48,203.0,106.0952380952381,[0.5548235],29.333333333333336,2063.779415484138
49,206.0,107.80952380952381,[0.52533114],29.818273092369473,2081.130561281218
50,212.0,111.47619047619048,[0.],29.818273092369473,2097.8102290499055
51,213.0,112.0952380952381,[0.33031207],29.818273092369473,2098.5731670231758
52,216.0,113.85714285714286,[1.],32.03030303030304,2108.7716749557753
53,217.0,114.42857142857143,[0.],32.98888888888889,2113.590458475383
54,229.0,111.80952380952381,[0.],37.180272108843546,2124.3640736904686
55,232.0,113.66666666666667,[0.8601612],35.546491228070174,2117.6841437146163
56,233.0,114.28571428571429,[0.],35.546491228070174,2116.718079531296
