,time,meanWaitTime,action,dispersion,headwaySD
0,4.0,0.0,[1.],0,0
1,17.0,12.19047619047619,[1.],0,300.4063094409132
2,18.0,13.19047619047619,[0.],0,307.53118270381384
3,36.0,17.857142857142858,[1.],1.792857142857143,323.2366657683203
4,50.0,24.714285714285715,[0.9306288],0.91231884057971,252.10598475060846
5,61.0,29.333333333333332,[1.],0.039333333333333345,269.2384861416179
6,63.0,30.666666666666668,[0.],0.039333333333333345,270.2666741895291
7,65.0,31.80952380952381,[0.],0.18205128205128213,282.2816644837958
8,69.0,30.952380952380953,[0.99118197],1.2166666666666668,314.22117759373594
9,70.0,24.571428571428573,[1.],1.6481981981981983,319.16524751238023
10,75.0,25.19047619047619,[0.45993137],1.0,342.1647132591891
11,81.0,18.19047619047619,[1.],0.9996328928046989,322.64389804820894
12,95.0,16.142857142857142,[1.],0.6398186889818689,247.95027794986757
13,101.0,15.761904761904763,[0.9507261],0.6398186889818689,215.66124898286017
14,102.0,16.142857142857142,[1.],0.6398186889818689,212.24739974850104
15,109.0,17.047619047619047,[0.4186861],0.9555800293685756,242.3477650362297
16,119.0,16.142857142857142,[0.673091],1.10632183908046,283.212336519596
17,120.0,16.666666666666668,[1.],1.10632183908046,279.40171578976367
18,121.0,17.238095238095237,[1.],1.10632183908046,275.92576456549966
19,125.0,13.428571428571429,[1.],1.5194566813509545,250.52286302049882
20,141.0,15.285714285714286,[0.9895314],1.632183908045977,219.4010566609621
21,142.0,15.80952380952381,[1.],1.632183908045977,219.79983286935897
22,147.0,15.19047619047619,[1.],1.4743589743589745,206.8193422796493
23,148.0,15.619047619047619,[0.],1.4743589743589745,208.28998847073532
24,155.0,15.619047619047619,[0.5551175],1.8244047619047619,231.31568529134714
25,165.0,15.380952380952381,[1.],1.9912280701754388,300.5032721496371
26,166.0,15.80952380952381,[1.],1.9912280701754388,297.6386551974878
27,169.0,14.333333333333334,[0.59990484],1.9912280701754388,274.3244475474656
28,170.0,14.714285714285714,[1.],2.0011111111111113,260.8582402640787
29,172.0,12.238095238095237,[1.],1.969068413391558,233.8562918178926
30,182.0,12.285714285714286,[1.],1.603030303030303,174.27871052729165
31,188.0,13.619047619047619,[0.618237],2.2147435897435903,198.05140748100814
32,190.0,14.571428571428571,[1.],2.2147435897435903,202.95507839465506
33,193.0,14.0,[0.2669256],2.3576051779935274,197.9480115336826
34,201.0,13.476190476190476,[1.],2.6477663230240545,216.64863356205512
35,209.0,13.0,[0.84627587],2.799319727891157,226.33210691095073
36,210.0,13.428571428571429,[0.],2.799319727891157,224.32242001617578
37,213.0,14.857142857142858,[0.20386577],3.123015873015873,199.70236251940864
38,218.0,13.80952380952381,[0.51380306],3.3452380952380953,151.7962459186655
39,221.0,15.380952380952381,[0.0641316],3.110036832412523,138.8138224460493
40,227.0,18.523809523809526,[1.],2.640219560878244,188.76072866749408
41,228.0,19.047619047619047,[1.],2.640219560878244,188.97488735386264
42,233.0,16.333333333333332,[1.],2.821138211382114,194.14594523208012
43,236.0,16.761904761904763,[1.],2.5803393213572856,201.4138002141972
44,241.0,14.047619047619047,[0.],2.720883534136546,216.57446148066379
45,244.0,15.19047619047619,[1.],2.720883534136546,230.6579998793308
46,249.0,14.476190476190476,[0.8806772],2.5833333333333335,216.80290838070016
47,252.0,13.476190476190476,[1.],2.4012345679012346,212.66511049383283
48,255.0,14.619047619047619,[1.],2.706751054852321,201.70034376896592
49,261.0,14.142857142857142,[1.],3.114718614718614,132.50528116891897
50,262.0,14.523809523809524,[1.],3.1491228070175437,128.1024184957483
51,268.0,11.80952380952381,[1.],3.1666666666666665,112.77231207002023
52,269.0,12.142857142857142,[1.],3.1666666666666665,119.91843007954624
53,273.0,13.476190476190476,[0.],2.772727272727273,160.19621840409403
54,275.0,14.238095238095237,[1.],2.772727272727273,176.70533695290257
55,284.0,14.80952380952381,[1.],3.442111959287531,184.50612712085976
56,288.0,14.523809523809524,[1.],3.261111111111111,149.98395854270177
57,296.0,12.285714285714286,[0.],2.560077519379845,107.70456331248617
58,299.0,12.380952380952381,[0.80271417],2.4365079365079363,99.55481619424114
59,305.0,14.380952380952381,[1.],2.982782369146005,106.86410485076622
60,306.0,14.714285714285714,[1.],2.982782369146005,106.78667729273268
61,308.0,13.19047619047619,[0.],2.9972677595628414,104.25888652838613
62,309.0,12.857142857142858,[0.588107],2.999299719887955,102.59105045353483
63,311.0,12.285714285714286,[1.],4.126436781609195,103.22680074483517
64,315.0,11.428571428571429,[0.8673055],4.04047619047619,138.91506999682292
65,317.0,11.904761904761905,[0.6693036],4.04047619047619,155.44531620655385
66,332.0,15.333333333333334,[0.4627788],3.8537414965986394,185.66814514993726
67,333.0,15.666666666666666,[1.],3.8537414965986394,184.59469124757143
68,337.0,16.61904761904762,[0.],4.325268817204301,139.42388649795978
69,343.0,18.61904761904762,[1.],4.325268817204301,144.03506303925528
70,346.0,19.714285714285715,[1.],4.325268817204301,132.70678612011602
71,349.0,21.095238095238095,[1.],4.66941391941392,126.80146194834505
72,353.0,19.047619047619047,[1.],4.761494252873564,87.13808578996267
73,354.0,19.476190476190474,[1.],4.761494252873564,87.213557296953
74,356.0,17.333333333333332,[0.57767606],4.712121212121213,105.26736965737946
75,357.0,17.714285714285715,[0.],4.151960784313726,118.78971073889603
76,358.0,18.19047619047619,[0.39475727],3.866465863453815,132.19492938933033
77,364.0,15.714285714285714,[1.],3.551282051282051,191.34424997167332
78,377.0,21.285714285714285,[0.],3.087719298245615,186.50286277777482
79,379.0,22.428571428571427,[1.],3.087719298245615,190.04577073237877
80,384.0,22.857142857142858,[0.],3.6666666666666665,241.64754021489594
81,390.0,26.238095238095237,[1.],3.6666666666666665,237.44749851295106
82,393.0,26.238095238095237,[0.09375417],3.5194063926940644,232.70613621546434
83,394.0,26.80952380952381,[1.],3.5194063926940644,231.8170370880002
84,395.0,27.38095238095238,[1.],3.5194063926940644,231.5920120005301
85,398.0,24.523809523809526,[1.],3.472222222222222,236.5967655841707
86,399.0,25.0,[0.14163756],3.472222222222222,141.70682098497258
87,404.0,17.238095238095237,[0.2047801],3.782051282051282,207.58972217687523
88,411.0,18.38095238095238,[1.],6.167602996254681,266.51891083362597
89,413.0,19.428571428571427,[0.8606475],6.167602996254681,259.89189315785336
90,427.0,23.238095238095237,[0.2810483],5.76831501831502,183.12070229124527
91,429.0,24.19047619047619,[0.79079413],5.76831501831502,175.9312376367224
92,431.0,22.333333333333332,[0.],5.251773049645391,168.7605455346915
93,435.0,17.38095238095238,[0.8596237],4.484323432343235,157.21464572868916
94,436.0,17.80952380952381,[0.64307],4.588383838383838,157.99137412448528
95,437.0,18.238095238095237,[0.28934175],4.588383838383838,162.04241957108457
96,438.0,18.666666666666668,[0.],4.708333333333333,168.88597681757074
97,445.0,18.047619047619047,[0.28059375],4.78030303030303,229.71272321956982
98,450.0,18.095238095238095,[0.21980211],4.899425287356322,240.09513242611476
99,452.0,19.095238095238095,[1.],4.899425287356322,243.21550183197658
100,466.0,21.19047619047619,[0.14013398],5.922222222222222,136.9561943285286
101,471.0,20.19047619047619,[0.6447431],5.343537414965987,101.8354438121419
102,473.0,21.238095238095237,[1.],5.315656565656566,95.20672909044346
103,474.0,19.047619047619047,[1.],5.246666666666666,89.75996076427575
104,475.0,19.571428571428573,[0.9187733],5.404761904761906,86.87777049161738
105,479.0,11.80952380952381,[1.],5.520833333333333,104.80015217105462
106,486.0,14.904761904761905,[0.],5.76241134751773,148.77038114341025
107,492.0,15.523809523809524,[0.99698365],5.567543859649122,177.21217797969072
108,498.0,12.0,[1.],5.457070707070708,148.85048253357277
109,499.0,12.380952380952381,[0.4159211],4.79295532646048,148.66243656923353
110,509.0,14.857142857142858,[0.],4.1879432624113475,142.68514234923765
111,514.0,16.761904761904763,[0.],4.282258064516129,144.2128786291294
112,516.0,17.714285714285715,[0.7612643],4.282258064516129,147.21238661982747
113,517.0,18.19047619047619,[0.6435451],4.166666666666667,145.72708383667626
114,519.0,15.380952380952381,[1.],4.16760299625468,140.91330499760213
115,522.0,15.142857142857142,[0.4200732],4.464539007092199,145.43766117853846
116,523.0,15.619047619047619,[1.],4.368279569892473,152.52986061779302
117,532.0,16.047619047619047,[1.],4.443262411347517,248.3559285957814
118,537.0,15.0,[0.],4.561827956989247,225.58207906639072
119,538.0,15.380952380952381,[0.],4.561827956989247,227.04016198230525
120,540.0,16.142857142857142,[1.],4.724637681159418,233.03599564984358
121,541.0,16.523809523809526,[1.],4.724637681159418,234.2482178827605
122,542.0,16.904761904761905,[1.],4.724637681159418,232.43897668960517
123,548.0,15.523809523809524,[1.],3.795977011494253,200.6150837563207
124,555.0,17.238095238095237,[1.],3.830524344569288,195.36210212278468
125,559.0,15.19047619047619,[1.],3.8333333333333326,192.45275447820956
