,time,meanWaitTime,action,dispersion,headwaySD
0,1.0,0.0,No action,0,0
1,16.0,11.19047619047619,No action,0,295.4741113145415
2,17.0,12.19047619047619,No action,0,299.433831706003
3,18.0,13.19047619047619,No action,0,305.4425113405708
4,26.0,12.333333333333334,Hold,1.715686274509804,312.7676451536703
5,43.0,20.333333333333332,Hold,0.9123188405797102,209.57422369643396
6,53.0,24.428571428571427,No action,0.039333333333333345,273.2922879491058
7,60.0,29.095238095238095,Hold,0.039333333333333345,263.9769486530259
8,63.0,31.047619047619047,No action,0.08333333333333333,262.05860667330643
9,65.0,32.42857142857143,No action,0.3333333333333333,272.31618334742825
10,69.0,31.761904761904763,No action,1.1626016260162602,300.99428708459726
11,72.0,25.095238095238095,No action,1.6469171483622354,322.63706141640955
12,73.0,25.523809523809526,Hold,1.3234463276836157,328.06549360397867
13,76.0,26.666666666666668,Hold,1.0807952622673436,322.8964810397723
14,80.0,19.238095238095237,Hold,1.0878995433789955,280.95170181768503
15,91.0,17.80952380952381,Hold,0.5718390804597702,108.58946508013054
16,101.0,21.142857142857142,Hold,0.5718390804597702,126.72421625215226
17,103.0,22.095238095238095,No action,0.4932045779685263,119.96922281244564
18,109.0,25.238095238095237,No action,0.5032467532467533,92.58881781216435
19,113.0,23.238095238095237,Hold,0.6424050632911392,87.34256337198308
20,114.0,23.61904761904762,Hold,0.709915611814346,85.35237523545155
21,115.0,23.047619047619047,Hold,0.7062146892655368,83.59696845413843
22,120.0,16.19047619047619,No action,0.8583333333333334,100.17560452532283
23,126.0,18.761904761904763,Hold,0.6925287356321841,136.98151918385443
24,127.0,19.238095238095237,Hold,0.6925287356321841,138.56362225498745
25,129.0,20.19047619047619,Hold,0.7201601164483261,132.50589039809128
26,130.0,16.952380952380953,No action,0.7807017543859649,128.6900763334197
27,139.0,14.333333333333334,Hold,1.4081560283687942,207.63689428041417
28,146.0,15.476190476190476,Hold,1.4081560283687942,185.68044621774143
29,151.0,13.904761904761905,No action,1.3717948717948718,118.6352714140111
30,155.0,15.476190476190476,Skip,1.342989985693848,143.63447460529406
31,160.0,17.80952380952381,Hold,1.342989985693848,164.39318575044567
32,163.0,17.428571428571427,Hold,1.334733893557423,164.90313953643735
33,168.0,17.523809523809526,No action,1.4123376623376624,158.9391114201255
34,169.0,17.952380952380953,Hold,1.4123376623376624,157.9731240311016
35,175.0,12.380952380952381,No action,0.9774774774774774,119.57429456693671
36,178.0,10.333333333333334,No action,0.945814648729447,109.62661352306164
37,179.0,10.666666666666666,Hold,0.9774774774774774,108.15669584324944
38,180.0,11.0,No action,0.9774774774774774,104.84773775216942
39,182.0,11.714285714285714,Hold,1.1296296296296295,93.67260579063459
40,187.0,10.761904761904763,Hold,1.2389937106918236,72.15931187984138
41,196.0,12.523809523809524,Hold,1.2687793427230045,94.22313994655934
42,208.0,14.571428571428571,Hold,1.0833333333333333,101.350587614951
43,211.0,15.857142857142858,Hold,1.0897435897435899,102.66903171954253
44,213.0,15.523809523809524,Hold,1.2313915857605178,114.03756198312723
45,219.0,12.571428571428571,No action,1.6226968174204357,146.73609447829475
46,220.0,12.952380952380953,Hold,1.608714043993232,149.94876636403046
47,227.0,15.619047619047619,Hold,1.2011494252873565,139.41812613103986
48,230.0,14.238095238095237,Hold,1.155430711610487,119.43169099672942
49,237.0,14.285714285714286,No action,1.0748587570621468,174.7063168912783
50,249.0,11.523809523809524,No action,1.1065062388591798,177.8674548090429
51,257.0,14.571428571428571,Hold,1.1065062388591798,143.33989123079283
52,260.0,15.857142857142858,Hold,1.221014492753623,138.14399390269855
53,262.0,16.761904761904763,No action,1.6028864059590315,135.26282045933695
54,264.0,17.714285714285715,No action,1.674242424242424,129.17624820829175
55,268.0,9.428571428571429,Hold,1.5888888888888888,103.70464948468369
56,269.0,9.761904761904763,No action,1.6856060606060608,95.66141678455045
57,274.0,11.476190476190476,No action,1.843939393939394,78.27062737259283
58,275.0,11.857142857142858,Skip,1.843939393939394,85.98971906775317
59,276.0,12.238095238095237,No action,1.843939393939394,95.09092427656087
60,279.0,13.619047619047619,Hold,1.6871069182389937,110.43616631591098
61,300.0,21.142857142857142,Hold,1.1605145413870244,134.33766390352176
62,302.0,22.095238095238095,Hold,1.1605145413870244,133.50403302662804
63,304.0,21.761904761904763,No action,1.2990867579908678,123.63967699079805
64,307.0,20.666666666666668,No action,0.9202898550724639,100.97165369032204
65,308.0,19.333333333333332,Skip,0.6904761904761905,96.95420199352571
66,310.0,18.761904761904763,Hold,0.7691846522781773,84.42326045632434
67,312.0,19.428571428571427,Hold,1.038888888888889,67.61140878132791
68,316.0,17.428571428571427,Hold,1.4748062015503876,59.17472969529153
69,318.0,18.0,Hold,1.4748062015503876,71.52507352738085
70,335.0,19.476190476190474,Hold,1.5447658402203854,114.72429427902873
71,337.0,20.333333333333332,No action,1.5447658402203854,104.99020019622336
72,339.0,19.238095238095237,Hold,1.8174603174603174,99.58308081906617
73,341.0,18.19047619047619,No action,2.270833333333333,96.69180924210546
74,353.0,21.047619047619047,Hold,2.1332020997375323,87.53463932110753
75,355.0,22.0,Hold,2.1332020997375323,155.91314767757194
76,357.0,21.428571428571427,Hold,2.2059228650137745,150.28689462113311
77,360.0,22.047619047619047,Hold,2.1047008547008548,147.8998549457318
78,366.0,20.333333333333332,Hold,1.9508547008547008,123.84037579172863
79,367.0,20.714285714285715,No action,1.9508547008547008,121.25432551990866
80,369.0,21.571428571428573,No action,2.219298245614035,120.65815943120174
81,372.0,21.047619047619047,Hold,2.3637071651090347,120.94191218480319
82,383.0,18.761904761904763,Hold,2.4976190476190476,128.73577368004607
83,385.0,19.571428571428573,Hold,2.4685534591194966,133.95334108893633
84,402.0,21.952380952380953,Hold,2.176791277258567,120.73145170651186
85,404.0,23.095238095238095,No action,2.176791277258567,115.17048154078311
86,407.0,22.428571428571427,No action,2.176791277258567,100.37698995276148
87,409.0,23.333333333333332,Hold,2.261006289308176,99.83125882788701
88,412.0,24.904761904761905,No action,2.365511551155116,107.1449237748141
89,418.0,28.047619047619047,No action,2.323529411764706,125.88373843856303
90,419.0,28.571428571428573,No action,2.323529411764706,136.19033551289434
91,420.0,29.095238095238095,No action,2.323529411764706,148.82261085600877
92,422.0,30.142857142857142,Hold,2.4249174917491754,165.44029558981188
93,431.0,31.476190476190474,No action,2.625389408099688,174.67008484590977
94,432.0,32.0,No action,2.625389408099688,172.72933349959123
95,435.0,30.333333333333332,Hold,2.0865695792880254,165.76303100184518
96,440.0,32.80952380952381,No action,2.0865695792880254,134.9976317722001
97,444.0,34.904761904761905,Hold,2.0865695792880254,105.62440543077253
98,449.0,34.904761904761905,No action,1.9452380952380952,231.12729880746286
99,450.0,35.476190476190474,No action,1.9452380952380952,230.45716627094845
100,456.0,34.76190476190476,No action,1.9705882352941178,191.02144963838848
101,459.0,33.04761904761905,No action,1.792857142857143,174.16100079161043
102,460.0,30.285714285714285,No action,1.6572327044025155,171.01450154173668
103,464.0,28.952380952380953,Hold,1.7564102564102566,156.44297565977425
104,467.0,26.857142857142858,Hold,1.7357142857142858,135.91818823525614
105,470.0,28.0,Hold,1.834142394822006,96.246145433748
106,481.0,30.523809523809526,Hold,1.940251572327044,121.26873793708809
107,483.0,31.38095238095238,No action,1.940251572327044,126.44256419646189
108,485.0,28.523809523809526,Hold,1.9444444444444444,125.79001923838925
109,486.0,28.952380952380953,Hold,1.789308176100629,120.19865631772025
110,493.0,19.0,No action,1.888095238095238,107.32825682870696
111,494.0,19.428571428571427,No action,1.888095238095238,112.02979308831074
112,498.0,19.952380952380953,Hold,1.9452380952380952,127.36435506440651
113,507.0,14.0,No action,4.898907103825138,103.76805889184078
114,512.0,14.095238095238095,Hold,5.456989247311827,75.06461523756639
115,515.0,12.142857142857142,No action,5.330052493438319,74.99585358967194
116,516.0,12.523809523809524,Hold,5.330052493438319,79.23590390184427
117,518.0,9.476190476190476,Hold,5.330052493438319,82.92088374871375
118,526.0,9.571428571428571,Hold,5.319767441860465,81.24842296460886
119,527.0,9.857142857142858,Hold,5.319767441860465,84.22741590764637
120,531.0,9.761904761904763,Hold,5.645833333333334,116.21097758510062
121,538.0,11.428571428571429,No action,5.666666666666666,123.75377658916526
122,539.0,11.666666666666666,Hold,5.666666666666666,120.5611734206917
123,543.0,9.0,Hold,5.575333333333334,162.86936097445542
124,547.0,9.952380952380953,Hold,6.473958333333334,163.84947064048353
125,548.0,8.095238095238095,Hold,7.12051282051282,163.66480561887428
126,553.0,7.142857142857143,No action,5.487532808398949,145.8383185103804
127,558.0,8.761904761904763,Hold,5.487532808398949,145.82816022167358
128,563.0,10.666666666666666,Hold,5.484126984126984,178.4511534893895
129,568.0,10.333333333333334,Hold,5.505813953488372,202.61655563248635
130,575.0,12.619047619047619,No action,5.535897435897436,159.55320502369506
131,576.0,13.047619047619047,Hold,5.535897435897436,149.37088031627277
132,577.0,13.476190476190476,Hold,5.535897435897436,140.49675314061724
133,585.0,15.19047619047619,No action,6.390710382513664,130.20502831005516
134,591.0,18.0,Hold,6.633333333333333,123.36053046411924
135,595.0,17.38095238095238,Hold,6.536501377410467,117.66753251274919
136,599.0,16.80952380952381,Hold,6.471333333333335,110.30723595502488
137,600.0,17.285714285714285,Hold,6.489837398373983,106.40989262350024
138,606.0,11.476190476190476,Hold,5.449186991869919,96.88607622943604
139,608.0,12.238095238095237,Hold,5.449186991869919,106.37522779428603
140,610.0,11.095238095238095,No action,5.466666666666667,130.30243448680469
141,615.0,12.761904761904763,Hold,5.693526170798898,150.13095732529882
