,time,meanWaitTime,action,dispersion,headwaySD
0,4.0,0.0,No action,0,0
1,16.0,11.19047619047619,No action,0,295.4741113145415
2,17.0,12.19047619047619,No action,0,299.433831706003
3,18.0,13.19047619047619,No action,0,305.4425113405708
4,26.0,12.333333333333334,Hold,1.715686274509804,312.7676451536703
5,43.0,20.333333333333332,Hold,0.9123188405797102,209.57422369643396
6,53.0,24.428571428571427,No action,0.039333333333333345,273.96951496611393
7,60.0,29.095238095238095,Hold,0.039333333333333345,267.45267518194527
8,63.0,31.047619047619047,No action,0.08333333333333333,263.8868285120223
9,65.0,32.42857142857143,No action,0.3333333333333333,273.16182678005845
10,69.0,31.761904761904763,No action,1.117283950617284,308.46216118340317
11,70.0,25.428571428571427,No action,1.6030571992110452,314.0361284668556
12,73.0,25.38095238095238,Hold,1.1856060606060603,329.56692398486723
13,75.0,26.285714285714285,Hold,1.173758865248227,328.12816227341807
14,80.0,19.142857142857142,Hold,1.0462962962962963,278.15313063746044
15,92.0,18.333333333333332,Hold,0.6560205580029368,90.40662175001341
16,102.0,21.61904761904762,No action,0.5789473684210527,114.31873068190635
17,109.0,25.238095238095237,No action,0.6233333333333333,81.41810106528143
18,112.0,23.476190476190474,No action,0.788961038961039,80.63084886623035
19,114.0,23.714285714285715,No action,0.9967532467532467,81.71482448718969
20,115.0,23.095238095238095,No action,0.9967532467532467,82.23226285024761
21,120.0,16.285714285714285,No action,1.0175438596491226,96.8416385046426
22,126.0,18.857142857142858,No action,0.945814648729447,116.14200950323968
23,128.0,19.80952380952381,No action,0.945814648729447,108.99835050954711
24,129.0,16.61904761904762,No action,0.9815233785822021,105.70577948974562
25,140.0,14.80952380952381,Hold,1.583333333333334,197.08957598786503
26,146.0,15.523809523809524,Hold,1.583333333333334,192.85885635979943
27,150.0,13.523809523809524,No action,1.5287742899850523,200.84433851426024
28,153.0,14.666666666666666,Hold,1.6441441441441442,234.1761735918121
29,154.0,15.047619047619047,No action,1.6848484848484853,244.7514739923661
30,155.0,15.476190476190476,No action,1.6848484848484853,252.82138897402504
31,157.0,14.571428571428571,Hold,1.615007541478129,257.70254637124214
32,160.0,9.523809523809524,No action,1.7342342342342343,268.4380220561474
33,163.0,8.761904761904763,Hold,2.2453051643192485,253.44824074513826
34,165.0,7.380952380952381,Skip,2.3195718654434248,236.44040201744878
35,169.0,8.714285714285714,Hold,2.618589743589745,194.15043589291113
36,172.0,8.857142857142858,Hold,2.513285024154589,166.8633469082865
37,184.0,9.80952380952381,No action,2.627450980392157,139.58706426274145
38,187.0,11.047619047619047,Hold,2.737562189054726,144.4393964745601
39,191.0,11.095238095238095,No action,2.8033333333333332,147.85957040209038
40,194.0,9.714285714285714,Hold,2.9191419141914206,146.461155486481
41,197.0,8.0,Hold,3.029146141215107,149.4716926694316
42,200.0,9.0,No action,2.549301919720768,144.2252809192966
43,206.0,8.19047619047619,Hold,2.45409982174688,170.5224307734176
44,215.0,10.285714285714286,Hold,2.8663003663003668,193.58012362814753
45,217.0,11.142857142857142,Hold,2.8663003663003668,180.07212292347378
46,224.0,11.80952380952381,No action,2.13921568627451,157.59824763113429
47,227.0,12.952380952380953,Hold,2.2142857142857144,153.69699837125427
48,236.0,14.571428571428571,No action,2.0952380952380953,213.5835526611117
49,241.0,12.952380952380953,No action,1.948095238095238,222.7512772034555
50,245.0,12.047619047619047,No action,2.1880952380952383,238.6961285490763
51,249.0,13.380952380952381,Hold,1.8075757575757576,269.28398107392286
52,252.0,14.380952380952381,Hold,1.9567901234567902,286.71560486059417
53,253.0,14.714285714285714,Hold,2.0644654088050314,284.4971062362351
54,258.0,10.761904761904763,No action,1.8123655913978491,241.47761812548077
55,262.0,8.285714285714286,No action,1.6109341825902332,193.52676974942005
56,263.0,8.619047619047619,No action,1.6833333333333333,185.669495522327
57,266.0,6.857142857142857,Hold,1.8736203090507724,180.58337582850004
58,268.0,7.523809523809524,Hold,1.8736203090507724,178.1587367871034
59,273.0,9.19047619047619,No action,2.1619047619047618,148.1576109038952
60,276.0,9.333333333333334,Hold,2.2511737089201875,126.23427695822824
61,280.0,7.190476190476191,No action,2.2511737089201875,110.61872828423866
62,283.0,8.333333333333334,Hold,2.357843137254902,129.44399112700788
63,296.0,12.238095238095237,Hold,2.4050387596899228,191.97474265656822
64,297.0,12.666666666666666,No action,2.443589743589744,189.92174255914307
65,298.0,13.095238095238095,No action,2.443589743589744,186.97727399599185
66,300.0,12.666666666666666,No action,2.443589743589744,181.11697281307514
67,301.0,11.285714285714286,Hold,2.602417302798982,176.63071669603656
68,303.0,9.047619047619047,No action,2.668546365914787,164.12858578686343
69,308.0,10.619047619047619,Hold,2.8452380952380953,116.62366408369074
70,314.0,9.904761904761905,No action,2.0404761904761908,211.72119333930846
71,318.0,9.523809523809524,No action,1.9506472491909386,208.62458544380877
72,321.0,9.619047619047619,No action,2.154761904761905,199.6913299046833
73,328.0,11.761904761904763,No action,2.6372549019607843,180.63179594300144
74,331.0,12.761904761904763,Hold,2.6372549019607843,192.016239263694
75,335.0,14.142857142857142,Hold,3.012626262626263,207.33663489894673
76,338.0,11.80952380952381,No action,3.0666666666666664,182.11744517177397
77,343.0,12.619047619047619,No action,3.304901960784315,155.32710631295348
78,345.0,13.19047619047619,Hold,3.304901960784315,153.48331884569382
79,347.0,10.619047619047619,Hold,3.075757575757576,155.79782477354007
80,350.0,6.190476190476191,Hold,3.1,155.71277617200994
81,355.0,8.095238095238095,No action,3.288617886178862,173.72071829200138
82,359.0,9.80952380952381,Hold,3.288617886178862,176.05463727216815
83,360.0,10.285714285714286,Hold,3.288617886178862,172.0564085837032
84,378.0,19.80952380952381,No action,3.456827309236948,108.97079282072521
85,379.0,20.38095238095238,No action,3.456827309236948,108.0422342212564
86,381.0,19.285714285714285,No action,3.5081300813008136,108.10662635354558
87,382.0,19.80952380952381,Hold,3.5081300813008136,229.99672005587013
88,387.0,20.857142857142858,Hold,3.399019607843137,220.36743895809863
89,389.0,21.142857142857142,No action,4.032771535580523,210.83398495123276
90,394.0,21.61904761904762,Hold,4.988888888888889,197.44510069485642
91,395.0,22.142857142857142,No action,4.988888888888889,283.35101090967487
92,397.0,20.761904761904763,Skip,4.976591760299624,283.98704708788387
93,401.0,22.047619047619047,Hold,4.976591760299624,235.7458279550372
94,406.0,24.428571428571427,No action,4.976591760299624,242.40311027650927
95,409.0,26.0,No action,4.976591760299624,227.9908186896817
96,410.0,26.523809523809526,Hold,4.976591760299624,228.48054040647745
97,415.0,23.666666666666668,Hold,4.588888888888889,254.67084000231853
98,424.0,27.285714285714285,Hold,4.684456928838951,261.0365944763814
99,425.0,27.761904761904763,No action,4.684456928838951,258.1973181515467
100,427.0,25.761904761904763,No action,5.181159420289854,253.5550479716793
101,428.0,26.19047619047619,Hold,5.181159420289854,255.18382760629453
102,433.0,21.333333333333332,Hold,5.050724637681158,241.73484629938852
103,435.0,22.095238095238095,No action,5.050724637681158,225.3254133192703
104,442.0,21.61904761904762,No action,5.115942028985506,174.52918755819104
105,453.0,21.0,Hold,5.571428571428571,135.2702163238663
106,460.0,24.238095238095237,No action,5.571428571428571,132.36272563227752
107,462.0,25.285714285714285,No action,5.571428571428571,142.38737257295392
108,464.0,26.333333333333332,Hold,5.995934959349594,154.58764755491467
109,466.0,27.38095238095238,Hold,5.995934959349594,156.86322579597186
110,471.0,27.38095238095238,No action,6.758333333333335,154.2078613441845
111,472.0,27.857142857142858,Hold,6.1923076923076925,152.77597982237498
112,475.0,27.428571428571427,Hold,6.758333333333335,142.81049002925192
113,476.0,27.714285714285715,No action,6.9907407407407405,178.327207070452
114,478.0,28.666666666666668,No action,6.708333333333333,162.56279215464235
115,481.0,30.095238095238095,No action,6.708333333333333,154.3016089401159
116,490.0,30.095238095238095,No action,6.416666666666667,139.85331913725724
117,493.0,31.38095238095238,No action,6.531007751937984,152.0125618922081
118,494.0,31.80952380952381,Hold,6.531007751937984,159.43167330628114
119,503.0,33.19047619047619,Hold,5.944444444444445,173.34175353562756
120,504.0,33.61904761904762,No action,5.944444444444445,172.10615602796534
121,508.0,35.333333333333336,Hold,6.145131086142322,131.455681824983
122,512.0,34.0,No action,5.615942028985506,101.05586521202018
123,518.0,36.285714285714285,No action,5.529569892473118,99.08687682489581
124,519.0,36.666666666666664,No action,5.4007092198581566,110.03237908618958
125,520.0,37.04761904761905,Hold,5.4007092198581566,121.17358406148423
126,522.0,34.714285714285715,No action,5.102836879432624,139.13587158594004
127,523.0,30.428571428571427,No action,5.506802721088436,142.83920658140605
128,541.0,33.76190476190476,Hold,5.598484848484849,120.3602710853095
129,542.0,34.04761904761905,No action,5.598484848484849,119.92304423624722
130,544.0,34.857142857142854,Hold,5.598484848484849,119.28904745057986
131,549.0,28.095238095238095,Hold,5.329288025889968,127.24117476184475
132,550.0,28.476190476190474,No action,5.454620462046205,128.70818650916956
133,551.0,28.857142857142858,Hold,5.454620462046205,131.24171195491795
134,554.0,30.0,No action,5.0578231292517,131.32986563732584
135,561.0,22.0,Hold,5.037414965986395,151.16427961400484
136,566.0,22.904761904761905,No action,4.78859649122807,177.13062952500343
137,569.0,19.19047619047619,Hold,4.241496598639456,198.2194101957882
138,577.0,15.857142857142858,Hold,3.5392156862745097,236.6919652862232
139,580.0,16.095238095238095,Hold,3.5392156862745097,227.19479865957086
140,587.0,18.38095238095238,Hold,3.6011326860841426,202.5468485052526
141,594.0,19.952380952380953,Hold,3.6011326860841426,148.47747379653245
142,598.0,18.095238095238095,Hold,3.314814814814815,123.98903383268966
143,600.0,19.047619047619047,No action,3.314814814814815,182.27503241569886
144,601.0,19.523809523809526,No action,3.314814814814815,177.84687999012576
145,604.0,18.047619047619047,No action,3.487421383647799,156.36078693512704
146,612.0,21.476190476190474,No action,3.618686868686869,155.06760231030023
147,617.0,23.80952380952381,No action,3.441228070175438,191.63962577727915
148,625.0,27.61904761904762,Hold,3.441228070175438,186.74821080064748
149,628.0,29.047619047619047,Hold,3.441228070175438,165.9410305861617
150,632.0,28.38095238095238,Hold,3.506666666666667,132.20547743148074
151,634.0,28.714285714285715,No action,3.506666666666667,116.75156123243991
152,639.0,31.095238095238095,Hold,3.506666666666667,90.37019659711142
153,642.0,32.523809523809526,No action,3.506666666666667,86.53245530339088
154,644.0,33.523809523809526,Hold,3.506666666666667,96.94346303118725
