,time,meanWaitTime,action,dispersion,headwaySD
0,16.0,11.19047619047619,No action,0,0
1,17.0,12.19047619047619,No action,0,2391.9703617002515
2,18.0,13.19047619047619,Hold,0,2386.3509147411164
3,20.0,15.19047619047619,Hold,0,2380.965581848608
4,38.0,30.047619047619047,Skip,8.33333333333333,2330.5163438677673
5,39.0,30.952380952380953,No action,8.33333333333333,2322.6750266198223
6,41.0,32.76190476190476,No action,8.33333333333333,2305.9049317019303
7,42.0,33.666666666666664,No action,8.33333333333333,2298.9379845511894
8,43.0,34.57142857142857,Skip,8.33333333333333,2294.9229961197416
9,44.0,35.476190476190474,No action,8.33333333333333,2291.097420224411
10,45.0,36.38095238095238,Skip,8.33333333333333,2288.618163877711
11,46.0,37.285714285714285,No action,8.33333333333333,2285.959599652941
12,47.0,38.19047619047619,Hold,8.33333333333333,2284.1833653008803
13,48.0,39.095238095238095,Hold,8.33333333333333,2280.989760486836
14,66.0,55.38095238095238,Skip,7.439393939393939,2067.187245119962
15,68.0,57.19047619047619,No action,7.439393939393939,2054.955992003992
16,70.0,59.0,Hold,7.439393939393939,2053.8473882953163
17,77.0,54.95238095238095,Hold,8.858974358974361,2139.425619765891
18,89.0,64.0952380952381,No action,8.858974358974361,2302.4024105584017
19,92.0,66.38095238095238,No action,8.858974358974361,2322.4393031540394
20,94.0,67.9047619047619,No action,8.858974358974361,2319.1967765902946
21,95.0,68.66666666666667,Skip,8.858974358974361,2314.032109158189
22,97.0,70.19047619047619,Hold,8.858974358974361,2304.014281248809
23,104.0,75.61904761904762,No action,8.858974358974361,2252.0600261405816
24,116.0,84.66666666666667,Hold,8.514705882352942,2149.2685438866843
25,117.0,85.42857142857143,No action,8.514705882352942,2141.7068709334694
26,120.0,87.71428571428571,Skip,8.514705882352942,2123.400029359806
27,121.0,88.47619047619048,Hold,8.514705882352942,2120.095257022166
28,122.0,89.23809523809524,Hold,8.514705882352942,2118.0780115219663
29,124.0,90.66666666666667,No action,9.833333333333334,2118.196490414323
30,141.0,90.66666666666667,Hold,14.505707762557078,2076.8557805526198
31,142.0,91.33333333333333,Hold,14.505707762557078,2078.8814048113445
32,144.0,92.66666666666667,Hold,14.505707762557078,2085.3359057105563
33,147.0,94.66666666666667,Skip,14.857981220657278,2089.393117987406
34,162.0,105.0952380952381,No action,14.857981220657278,2010.8789385742675
35,163.0,105.80952380952381,No action,14.857981220657278,2009.552893132082
36,165.0,107.23809523809524,No action,14.857981220657278,2001.035153344869
37,168.0,109.38095238095238,Skip,14.857981220657278,1984.8212350779029
38,173.0,112.95238095238095,Hold,14.857981220657278,1944.204153396986
39,174.0,113.66666666666667,Hold,14.857981220657278,1937.865295461092
40,187.0,106.23809523809524,Hold,21.598039215686274,1960.0219381932739
41,190.0,108.23809523809524,No action,21.598039215686274,1979.4542277934354
42,195.0,110.42857142857143,Skip,19.880952380952383,1992.0521817869765
43,198.0,105.23809523809524,Skip,19.52259887005649,1993.4961687211744
44,203.0,106.14285714285714,Hold,19.52259887005649,1970.9516416715146
45,210.0,110.28571428571429,Hold,19.52259887005649,1942.572224834718
46,218.0,115.23809523809524,Hold,19.52259887005649,1932.7722101856916
47,225.0,119.76190476190476,Hold,19.200980392156872,1921.7925506822396
48,226.0,120.42857142857143,Skip,19.200980392156872,1920.6096367732907
49,228.0,121.66666666666667,Skip,19.83333333333334,1922.7999100261677
50,230.0,122.95238095238095,Skip,20.833333333333332,1928.8399869624718
51,236.0,121.66666666666667,Hold,24.76086956521739,1970.453775095434
52,238.0,119.85714285714286,Skip,26.335680751173705,1983.4004940724785
53,241.0,119.80952380952381,Hold,29.239795918367346,1997.9864310913838
54,247.0,123.80952380952381,Hold,27.916666666666668,1983.9865072401892
55,249.0,125.23809523809524,Hold,27.916666666666668,1972.7863579802395
56,250.0,125.95238095238095,No action,27.916666666666668,1966.0499378845086
57,257.0,118.47619047619048,Hold,24.984848484848484,1884.072519451527
58,258.0,119.0952380952381,Hold,24.984848484848484,1871.0436450830623
59,269.0,118.42857142857143,Skip,30.12090558766859,1809.7596986382598
60,270.0,115.57142857142857,No action,30.816666666666663,1809.6319689450586
61,273.0,115.76190476190476,Hold,30.816666666666663,1815.3829380179668
62,274.0,116.38095238095238,Skip,30.12090558766859,1819.958882446566
63,277.0,118.23809523809524,Skip,29.45175438596491,1833.5133735828479
64,282.0,121.80952380952381,No action,29.45175438596491,1864.6755903605253
65,283.0,122.52380952380952,Hold,29.45175438596491,1866.5579920220373
66,293.0,126.23809523809524,Hold,28.56896551724138,1849.4401039469858
67,296.0,128.23809523809524,Skip,28.88391136801541,1834.6476346363747
68,298.0,129.57142857142858,No action,28.88391136801541,1824.6240867954803
69,301.0,131.47619047619048,Hold,28.594696969696972,1813.9932890191963
70,305.0,130.9047619047619,Hold,30.09929078014185,1808.7474259916726
71,313.0,110.23809523809524,No action,33.68627450980392,1773.223081857856
72,315.0,111.38095238095238,Hold,32.01119402985075,1770.261710027213
73,320.0,114.0,Hold,33.22168284789643,1799.5636607144443
74,327.0,107.61904761904762,Skip,37.805052790346906,1874.7489913013023
75,329.0,106.38095238095238,Hold,39.06047197640119,1897.07898320688
76,340.0,107.52380952380952,Hold,35.04761904761905,1964.6993487595923
77,342.0,108.66666666666667,Hold,35.04761904761905,1935.7727317026206
78,356.0,116.33333333333333,Hold,33.904761904761905,1820.6103961042443
79,360.0,118.85714285714286,No action,34.963768115942024,1772.7116265724317
80,364.0,121.23809523809524,Hold,37.39355742296919,1755.0770444720965
81,371.0,125.76190476190476,Hold,34.08766233766234,1753.844512601226
82,372.0,126.42857142857143,Hold,34.08766233766234,1758.2479234785674
83,375.0,128.33333333333334,Hold,34.58757062146891,1785.934434981095
84,395.0,121.85714285714286,Hold,34.651234567901234,1821.360848113704
85,399.0,124.52380952380952,No action,34.825,1854.6358199305268
86,401.0,126.04761904761905,Hold,35.17231638418079,1880.942502988047
87,402.0,126.80952380952381,Skip,35.17231638418079,1888.162931529078
88,411.0,132.85714285714286,Hold,34.016666666666666,1842.8630871653593
89,415.0,135.71428571428572,Hold,34.016666666666666,1804.0908006859697
90,421.0,140.0,Hold,34.016666666666666,1751.6442292470524
91,422.0,140.71428571428572,Skip,34.016666666666666,1743.2064149306198
92,429.0,145.71428571428572,No action,35.186879432624124,1705.1485420581275
93,433.0,148.66666666666666,Hold,36.26106500691564,1706.3092134753565
94,442.0,155.33333333333334,Skip,39.48188405797103,1782.470655389872
95,448.0,144.38095238095238,Skip,37.825203252032516,1838.479638533444
96,450.0,141.8095238095238,No action,37.56646423751687,1855.3412358354326
97,462.0,149.33333333333334,Hold,34.186708860759495,1949.0300576489012
98,468.0,153.9047619047619,No action,31.79268292682927,1903.8717254353642
99,469.0,154.66666666666666,Skip,31.365591397849453,1902.8912418410196
100,471.0,156.1904761904762,No action,31.365591397849453,1894.4115689689424
101,476.0,160.1904761904762,Skip,31.59885290148448,1840.5140952431636
102,477.0,161.04761904761904,No action,31.59885290148448,1831.497701715639
103,478.0,161.9047619047619,Hold,31.59885290148448,1822.8464490789688
104,482.0,149.33333333333334,Hold,32.741769547325106,1786.1259018776589
105,497.0,160.76190476190476,No action,32.445355191256844,1317.3774282641057
106,498.0,161.52380952380952,Hold,32.445355191256844,1310.572353940957
